edge_index0,edge_index1,pred,gr
519,57,1.0,1.0
507,530,1.0,1.0
732,637,1.0,1.0
484,240,1.0,1.0
683,295,1.0,1.0
8,33,1.0,1.0
227,93,1.0,1.0
218,445,1.0,1.0
713,181,1.0,1.0
717,300,1.0,1.0
555,293,0.0,1.0
805,662,1.0,1.0
509,417,1.0,1.0
391,79,1.0,1.0
857,858,1.0,1.0
549,881,1.0,1.0
248,57,1.0,1.0
421,57,1.0,1.0
366,57,1.0,1.0
693,361,1.0,1.0
691,412,1.0,1.0
185,371,1.0,1.0
570,68,0.0,1.0
819,57,1.0,1.0
425,248,1.0,1.0
279,273,1.0,1.0
371,707,1.0,1.0
40,89,1.0,1.0
359,690,1.0,1.0
47,98,1.0,1.0
139,74,1.0,1.0
268,57,1.0,1.0
712,716,1.0,1.0
629,338,1.0,1.0
527,531,1.0,1.0
130,280,1.0,1.0
57,457,1.0,1.0
107,256,1.0,1.0
117,727,0.0,1.0
45,103,1.0,1.0
532,500,1.0,1.0
286,663,1.0,1.0
170,289,1.0,1.0
25,356,1.0,1.0
468,853,1.0,1.0
357,76,1.0,1.0
595,140,1.0,1.0
153,339,1.0,1.0
336,558,1.0,1.0
98,45,1.0,1.0
57,819,1.0,1.0
178,365,1.0,1.0
274,534,1.0,1.0
451,831,1.0,1.0
57,194,1.0,1.0
602,853,1.0,1.0
748,631,1.0,1.0
878,475,1.0,1.0
149,151,1.0,1.0
821,654,1.0,1.0
107,463,1.0,1.0
830,511,1.0,1.0
493,322,1.0,1.0
57,523,1.0,1.0
231,462,1.0,1.0
705,350,1.0,1.0
290,568,1.0,1.0
44,98,1.0,1.0
378,720,1.0,1.0
771,439,1.0,1.0
77,79,1.0,1.0
144,152,1.0,1.0
400,361,1.0,1.0
458,453,1.0,1.0
354,683,1.0,1.0
404,197,1.0,1.0
502,199,1.0,1.0
361,1,1.0,1.0
453,837,1.0,1.0
194,93,1.0,1.0
611,387,1.0,1.0
540,274,1.0,1.0
508,200,1.0,1.0
444,430,1.0,1.0
267,57,1.0,1.0
802,820,1.0,1.0
508,57,1.0,1.0
352,681,1.0,1.0
520,57,1.0,1.0
243,489,1.0,1.0
357,687,0.0,1.0
323,630,1.0,1.0
93,112,0.0,1.0
720,389,1.0,1.0
776,407,1.0,1.0
801,800,1.0,1.0
141,308,1.0,1.0
665,666,1.0,1.0
160,34,1.0,1.0
358,286,1.0,1.0
812,212,1.0,1.0
166,165,1.0,1.0
212,812,1.0,1.0
548,206,1.0,1.0
265,496,0.0,1.0
609,364,1.0,1.0
57,502,1.0,1.0
389,184,1.0,1.0
255,500,1.0,1.0
538,276,1.0,1.0
530,507,1.0,1.0
536,538,1.0,1.0
257,504,1.0,1.0
160,343,1.0,1.0
552,132,1.0,1.0
134,166,1.0,1.0
412,127,1.0,1.0
444,429,1.0,1.0
499,230,1.0,1.0
98,100,1.0,1.0
140,592,1.0,1.0
