edge_index0,edge_index1,pred,gr
1085,792,1.0,1.0
791,1699,1.0,1.0
4494,5834,1.0,1.0
1298,1328,1.0,1.0
3283,3758,1.0,1.0
5971,2009,1.0,1.0
3841,721,1.0,1.0
4963,5325,1.0,1.0
1087,2988,1.0,1.0
1378,4005,1.0,1.0
3977,2855,1.0,1.0
1166,3399,1.0,1.0
2279,1794,1.0,1.0
2990,4080,1.0,1.0
614,1898,1.0,1.0
265,3733,1.0,1.0
3918,1432,1.0,1.0
1696,4960,1.0,1.0
938,2876,1.0,1.0
931,2860,1.0,1.0
5562,5696,1.0,1.0
258,255,1.0,1.0
4821,3759,1.0,1.0
706,1489,1.0,1.0
1211,3061,1.0,1.0
5623,5235,1.0,1.0
3382,2265,1.0,1.0
3236,3414,1.0,1.0
65,839,1.0,1.0
881,829,1.0,1.0
619,1926,1.0,1.0
3867,3381,1.0,1.0
627,5682,0.0,1.0
4759,1715,1.0,1.0
4444,4100,1.0,1.0
1376,3966,1.0,1.0
5103,1683,1.0,1.0
1570,1011,1.0,1.0
1317,3802,1.0,1.0
1379,3994,1.0,1.0
773,1699,1.0,1.0
1174,1378,1.0,1.0
777,796,1.0,1.0
967,721,1.0,1.0
1240,3679,1.0,1.0
3379,4305,1.0,1.0
2486,1836,1.0,1.0
4292,989,1.0,1.0
1798,2644,1.0,1.0
1195,4535,1.0,1.0
1460,4177,1.0,1.0
761,803,1.0,1.0
2535,565,1.0,1.0
543,336,1.0,1.0
393,456,1.0,1.0
5423,1918,1.0,1.0
1706,1877,1.0,1.0
4449,1233,1.0,1.0
836,202,1.0,1.0
2041,124,1.0,1.0
2412,542,1.0,1.0
1607,4585,0.0,1.0
92,459,1.0,1.0
217,62,1.0,1.0
2866,4821,1.0,1.0
2240,2813,1.0,1.0
1213,1224,1.0,1.0
1539,4369,1.0,1.0
2075,5739,1.0,1.0
94,484,1.0,1.0
5129,5133,1.0,1.0
178,199,1.0,1.0
3393,3216,1.0,1.0
1795,1399,1.0,1.0
1496,914,1.0,1.0
310,1155,1.0,1.0
5966,5153,1.0,1.0
2051,2138,1.0,1.0
288,1141,1.0,1.0
635,5658,1.0,1.0
3836,3994,1.0,1.0
995,4356,1.0,1.0
1298,3850,1.0,1.0
3436,967,1.0,1.0
786,197,1.0,1.0
845,5083,1.0,1.0
5808,4167,1.0,1.0
3737,3829,1.0,1.0
2126,6036,1.0,1.0
1492,4444,0.0,1.0
2368,862,1.0,1.0
3688,3458,1.0,1.0
2556,273,1.0,1.0
2961,2811,1.0,1.0
2747,1951,1.0,1.0
899,401,1.0,1.0
610,1874,1.0,1.0
1798,1064,1.0,1.0
273,165,0.0,1.0
1565,90,1.0,1.0
2216,3922,1.0,1.0
1548,1110,1.0,1.0
952,2898,1.0,1.0
3858,1298,1.0,1.0
281,274,1.0,1.0
1129,3345,1.0,1.0
365,2827,1.0,1.0
3945,3113,1.0,1.0
39,335,1.0,1.0
1656,494,1.0,1.0
650,2065,1.0,1.0
131,668,1.0,1.0
1678,2549,1.0,1.0
796,2458,0.0,1.0
2685,212,1.0,1.0
39,815,1.0,1.0
2237,1046,1.0,1.0
1899,2053,1.0,1.0
230,293,1.0,1.0
5782,5586,1.0,1.0
2010,5745,1.0,1.0
2487,2449,1.0,1.0
3508,1598,1.0,1.0
722,2234,1.0,1.0
3332,3237,1.0,1.0
2454,863,1.0,1.0
2950,4303,1.0,1.0
2002,5712,1.0,1.0
2966,3174,1.0,1.0
2861,363,1.0,1.0
5060,4603,1.0,1.0
308,1183,1.0,1.0
1383,3216,1.0,1.0
500,67,0.0,1.0
3792,4101,1.0,1.0
1765,550,1.0,1.0
5571,3714,1.0,1.0
1736,5090,1.0,1.0
4828,3296,1.0,1.0
3445,3155,1.0,1.0
5698,2190,1.0,1.0
1405,4050,1.0,1.0
1670,1811,1.0,1.0
3039,3538,1.0,1.0
1835,713,1.0,1.0
21,96,1.0,1.0
1733,5076,1.0,1.0
819,335,1.0,1.0
3746,3177,1.0,1.0
878,2666,1.0,1.0
4328,274,1.0,1.0
1092,1504,1.0,1.0
3700,3544,1.0,1.0
3780,2945,1.0,1.0
683,2114,1.0,1.0
819,2513,1.0,1.0
342,857,1.0,1.0
2056,622,1.0,1.0
2236,3430,1.0,1.0
2268,2233,1.0,1.0
1805,5309,1.0,1.0
2037,5818,1.0,1.0
4717,3508,1.0,1.0
3696,4298,1.0,1.0
3756,2945,1.0,1.0
1916,1766,1.0,1.0
2948,3966,1.0,1.0
1202,3128,1.0,1.0
434,0,1.0,1.0
67,285,1.0,1.0
1307,3841,1.0,1.0
781,1055,1.0,1.0
1387,4002,1.0,1.0
968,374,1.0,1.0
396,2309,1.0,1.0
3445,3379,1.0,1.0
753,43,1.0,1.0
3994,1379,1.0,1.0
1798,75,1.0,1.0
4100,3407,1.0,1.0
3923,3538,1.0,1.0
4003,75,1.0,1.0
3906,3945,1.0,1.0
373,160,1.0,1.0
4676,1611,1.0,1.0
780,778,1.0,1.0
735,2277,1.0,1.0
2652,1328,1.0,1.0
1688,4466,1.0,1.0
1220,3601,1.0,1.0
3732,5282,1.0,1.0
1710,5037,1.0,1.0
426,868,1.0,1.0
3463,3393,1.0,1.0
1495,3061,1.0,1.0
1622,4648,1.0,1.0
2866,3865,1.0,1.0
1696,477,1.0,1.0
911,916,1.0,1.0
1298,1363,1.0,1.0
2883,3064,1.0,1.0
2168,6075,1.0,1.0
2431,5891,1.0,1.0
925,2848,1.0,1.0
3957,3954,1.0,1.0
5514,4540,1.0,1.0
1103,3051,1.0,1.0
862,851,1.0,1.0
4181,1251,1.0,1.0
5024,1692,1.0,1.0
1346,1349,1.0,1.0
2516,752,1.0,1.0
3155,3445,1.0,1.0
2375,796,1.0,1.0
4686,1806,1.0,1.0
4341,4345,1.0,1.0
87,393,1.0,1.0
365,1387,1.0,1.0
2827,1371,1.0,1.0
2701,63,1.0,1.0
2848,1139,1.0,1.0
811,796,1.0,1.0
274,229,1.0,1.0
871,3480,1.0,1.0
336,315,1.0,1.0
15,735,1.0,1.0
3535,3239,1.0,1.0
1698,507,1.0,1.0
3938,3987,1.0,1.0
1809,1652,0.0,1.0
1387,1792,1.0,1.0
5375,2985,1.0,1.0
2265,3758,0.0,1.0
495,1658,1.0,1.0
5379,1830,1.0,1.0
2749,106,1.0,1.0
3905,1365,1.0,1.0
4817,1667,1.0,1.0
124,630,1.0,1.0
5260,1792,1.0,1.0
3975,3406,1.0,1.0
1127,2250,1.0,1.0
1436,3236,1.0,1.0
451,280,1.0,1.0
5783,1741,1.0,1.0
720,2245,1.0,1.0
204,574,1.0,1.0
2906,3686,1.0,1.0
1802,1298,1.0,1.0
360,1366,1.0,1.0
1000,3046,1.0,1.0
1103,1447,0.0,1.0
1087,3272,1.0,1.0
1163,374,1.0,1.0
5588,4173,1.0,1.0
5915,1835,1.0,1.0
427,1203,1.0,1.0
3254,2588,1.0,1.0
3564,3036,1.0,1.0
2032,5793,1.0,1.0
171,206,1.0,1.0
3401,1159,1.0,1.0
25,110,1.0,1.0
2005,6043,1.0,1.0
766,2458,1.0,1.0
3738,3158,1.0,1.0
1733,5079,1.0,1.0
288,1144,0.0,1.0
2080,5993,1.0,1.0
5347,5888,1.0,1.0
851,806,1.0,1.0
2265,4099,1.0,1.0
1657,4808,1.0,1.0
3629,801,1.0,1.0
3770,2795,1.0,1.0
2258,37,1.0,1.0
88,441,1.0,1.0
1570,2877,1.0,1.0
684,1848,1.0,1.0
1494,63,1.0,1.0
704,2133,1.0,1.0
778,807,1.0,1.0
1224,3613,1.0,1.0
85,413,0.0,1.0
3623,3837,1.0,1.0
1663,4811,1.0,1.0
1951,5632,1.0,1.0
1310,2644,1.0,1.0
901,905,1.0,1.0
2021,2023,1.0,1.0
1265,1261,1.0,1.0
1691,2458,1.0,1.0
1961,1773,1.0,1.0
955,958,1.0,1.0
803,172,1.0,1.0
825,205,1.0,1.0
4121,1298,1.0,1.0
2943,2941,1.0,1.0
3936,1798,1.0,1.0
229,1494,1.0,1.0
822,2429,1.0,1.0
3187,3736,1.0,1.0
2077,5776,1.0,1.0
527,525,1.0,1.0
856,2451,1.0,1.0
1774,477,1.0,1.0
872,426,1.0,1.0
869,2457,1.0,1.0
2501,574,1.0,1.0
4161,5594,1.0,1.0
1916,5184,1.0,1.0
1750,5136,1.0,1.0
757,806,1.0,1.0
775,1048,0.0,1.0
1224,1227,1.0,1.0
3142,5130,1.0,1.0
1670,4156,1.0,1.0
90,87,1.0,1.0
1549,570,1.0,1.0
648,2060,1.0,1.0
1533,4347,1.0,1.0
2005,5714,1.0,1.0
1265,2531,1.0,1.0
4831,5591,1.0,1.0
432,92,1.0,1.0
2008,5728,1.0,1.0
354,79,1.0,1.0
1555,1556,1.0,1.0
3381,3865,1.0,1.0
3420,3801,1.0,1.0
2005,2041,1.0,1.0
244,996,1.0,1.0
494,1664,1.0,1.0
2070,375,1.0,1.0
866,2627,1.0,1.0
849,4223,1.0,1.0
160,373,1.0,1.0
206,863,1.0,1.0
1659,4819,1.0,1.0
1160,3976,1.0,1.0
1625,486,1.0,1.0
3812,80,1.0,1.0
2548,418,1.0,1.0
5335,5456,1.0,1.0
204,764,1.0,1.0
2564,1073,1.0,1.0
3760,3991,1.0,1.0
2208,2206,1.0,1.0
