edge_index0,edge_index1,pred,gr
2043,0,1.0,1.0
4288,0,1.0,1.0
5,0,1.0,1.0
776,0,1.0,1.0
214,0,1.0,1.0
14,0,1.0,1.0
963,0,1.0,1.0
6,0,1.0,1.0
7,0,1.0,1.0
2087,0,1.0,1.0
8,0,1.0,1.0
12,0,1.0,1.0
1540,0,1.0,1.0
257,0,1.0,1.0
892,0,1.0,1.0
9,0,1.0,1.0
10,0,1.0,1.0
484,0,1.0,1.0
11,0,1.0,1.0
762,0,1.0,1.0
13,0,1.0,1.0
15,1,1.0,1.0
16,2,1.0,1.0
17,2,1.0,1.0
18,2,1.0,1.0
19,3,1.0,1.0
20,3,1.0,1.0
21,3,1.0,1.0
22,3,1.0,1.0
23,4,1.0,1.0
24,4,1.0,1.0
25,4,1.0,1.0
26,4,1.0,1.0
27,4,1.0,1.0
28,4,1.0,1.0
29,4,1.0,1.0
30,4,1.0,1.0
31,5,1.0,1.0
32,5,1.0,1.0
38,5,1.0,1.0
33,5,1.0,1.0
34,5,1.0,1.0
35,5,1.0,1.0
36,5,1.0,1.0
37,5,1.0,1.0
0,5,1.0,1.0
658,5,1.0,1.0
39,5,1.0,1.0
40,6,1.0,1.0
41,6,1.0,1.0
928,7,1.0,1.0
42,7,1.0,1.0
882,7,1.0,1.0
245,7,1.0,1.0
43,7,1.0,1.0
44,7,1.0,1.0
792,7,1.0,1.0
47,7,1.0,1.0
45,7,1.0,1.0
46,7,1.0,1.0
1000,7,1.0,1.0
48,7,1.0,1.0
0,7,1.0,1.0
49,7,1.0,1.0
50,7,1.0,1.0
0,8,1.0,1.0
0,9,1.0,1.0
0,10,1.0,1.0
0,11,1.0,1.0
51,12,1.0,1.0
52,12,1.0,1.0
53,12,1.0,1.0
54,12,1.0,1.0
55,12,1.0,1.0
56,12,1.0,1.0
57,13,1.0,1.0
58,13,1.0,1.0
59,13,1.0,1.0
60,13,1.0,1.0
61,13,1.0,1.0
62,13,1.0,1.0
63,13,1.0,1.0
64,13,1.0,1.0
0,13,1.0,1.0
65,13,1.0,1.0
33,14,1.0,1.0
66,14,1.0,1.0
67,14,1.0,1.0
68,14,1.0,1.0
69,14,1.0,1.0
71,15,1.0,1.0
390,15,1.0,1.0
75,15,1.0,1.0
77,15,1.0,1.0
79,15,1.0,1.0
1,15,1.0,1.0
76,15,1.0,1.0
