edge_index0,edge_index1,pred,gr
864,2806,1.0,1.0
3069,3046,1.0,1.0
136,687,1.0,1.0
644,1936,1.0,1.0
259,258,1.0,1.0
432,390,1.0,1.0
136,287,1.0,1.0
4102,1163,1.0,1.0
2749,3202,1.0,1.0
3773,2030,1.0,1.0
960,256,1.0,1.0
1463,481,1.0,1.0
44,223,1.0,1.0
1188,2919,1.0,1.0
1767,4886,1.0,1.0
4855,3299,1.0,1.0
2716,2594,1.0,1.0
682,839,1.0,1.0
2941,3132,1.0,1.0
913,3721,0.0,1.0
829,2442,0.0,1.0
39,153,1.0,1.0
626,1854,1.0,1.0
3293,3435,1.0,1.0
678,661,1.0,1.0
964,2994,1.0,1.0
707,4348,1.0,1.0
1057,4033,1.0,1.0
3389,3447,1.0,1.0
1527,4461,0.0,1.0
111,98,1.0,1.0
3072,858,1.0,1.0
2713,3444,1.0,1.0
977,3498,1.0,1.0
1365,3895,1.0,1.0
2886,51,1.0,1.0
3284,1421,1.0,1.0
32,126,1.0,1.0
465,1295,1.0,1.0
110,512,1.0,1.0
3412,1150,1.0,1.0
5077,1893,1.0,1.0
258,1035,1.0,1.0
4669,3820,1.0,1.0
2493,2603,1.0,1.0
2306,2629,1.0,1.0
3119,1527,1.0,1.0
2824,253,1.0,1.0
287,835,1.0,1.0
3205,3392,1.0,1.0
1832,5222,1.0,1.0
5044,1786,1.0,1.0
3678,4806,1.0,1.0
619,1372,1.0,1.0
2517,3738,1.0,1.0
723,121,1.0,1.0
45,321,1.0,1.0
655,227,1.0,1.0
533,385,1.0,1.0
4525,3821,1.0,1.0
1513,353,1.0,1.0
88,377,1.0,1.0
964,3329,1.0,1.0
2048,4385,1.0,1.0
4383,695,1.0,1.0
4485,1294,1.0,1.0
564,1786,1.0,1.0
2923,2926,1.0,1.0
107,571,1.0,1.0
2736,1542,1.0,1.0
1076,3258,1.0,1.0
616,128,1.0,1.0
1393,3980,1.0,1.0
112,530,1.0,1.0
826,2420,1.0,1.0
1806,1811,1.0,1.0
898,1140,1.0,1.0
85,4298,1.0,1.0
5079,1799,1.0,1.0
525,1606,1.0,1.0
976,65,1.0,1.0
3348,2943,1.0,1.0
1644,4769,1.0,1.0
2741,1193,1.0,1.0
1790,5041,1.0,1.0
1287,3683,1.0,1.0
153,625,1.0,1.0
3241,703,1.0,1.0
448,1479,1.0,1.0
1318,3783,0.0,1.0
709,987,1.0,1.0
4477,1986,1.0,1.0
1284,3645,1.0,1.0
81,159,1.0,1.0
3378,3388,1.0,1.0
329,1162,1.0,1.0
3545,1372,1.0,1.0
1471,4240,1.0,1.0
4962,106,1.0,1.0
1731,1766,1.0,1.0
2587,2837,1.0,1.0
1171,251,1.0,1.0
3870,1067,1.0,1.0
1520,231,1.0,1.0
3464,2696,1.0,1.0
120,723,1.0,1.0
3152,629,1.0,1.0
4328,4788,1.0,1.0
309,1095,1.0,1.0
1339,697,1.0,1.0
411,1324,1.0,1.0
1513,4409,1.0,1.0
1696,4862,1.0,1.0
859,84,1.0,1.0
818,1359,0.0,1.0
1891,155,1.0,1.0
2761,3143,1.0,1.0
935,2890,1.0,1.0
1502,4371,1.0,1.0
2740,344,1.0,1.0
233,131,1.0,1.0
4525,881,0.0,1.0
605,1857,1.0,1.0
257,292,1.0,1.0
566,1745,1.0,1.0
142,1112,1.0,1.0
1410,399,1.0,1.0
615,153,1.0,1.0
2694,2317,1.0,1.0
1969,3202,1.0,1.0
896,2725,1.0,1.0
552,1726,1.0,1.0
2729,2960,1.0,1.0
1634,4792,1.0,1.0
3217,284,1.0,1.0
38,172,1.0,1.0
3490,2633,1.0,1.0
172,637,1.0,1.0
4582,1573,1.0,1.0
396,75,1.0,1.0
5249,5250,1.0,1.0
2755,3713,1.0,1.0
835,1000,1.0,1.0
823,1615,1.0,1.0
1379,1723,0.0,1.0
724,2068,1.0,1.0
3484,2600,1.0,1.0
1073,299,1.0,1.0
993,649,1.0,1.0
2694,2651,1.0,1.0
864,2558,1.0,1.0
2824,954,1.0,1.0
2806,386,1.0,1.0
4227,3560,0.0,1.0
1424,4104,0.0,1.0
1638,539,1.0,1.0
75,3151,1.0,1.0
4788,1625,1.0,1.0
1469,4222,1.0,1.0
1766,1781,1.0,1.0
1498,4018,1.0,1.0
319,117,1.0,1.0
925,2840,1.0,1.0
4776,1631,1.0,1.0
1294,447,1.0,1.0
926,916,1.0,1.0
671,157,1.0,1.0
3348,2841,1.0,1.0
2698,1971,1.0,1.0
20,86,1.0,1.0
2290,811,1.0,1.0
2772,5237,1.0,1.0
323,1024,1.0,1.0
689,683,1.0,1.0
3148,985,1.0,1.0
3730,723,0.0,1.0
4881,1731,1.0,1.0
34,702,1.0,1.0
1785,4995,1.0,1.0
557,1759,1.0,1.0
713,387,1.0,1.0
940,2300,1.0,1.0
2885,955,1.0,1.0
