edge_index0,edge_index1,pred,gr
1255,2517,0.0,1.0
1585,3073,1.0,1.0
1541,1934,1.0,1.0
3213,3214,0.0,1.0
2245,710,0.0,1.0
3218,3808,0.0,1.0
391,1093,0.0,1.0
2352,2355,0.0,1.0
2217,1457,0.0,1.0
1609,940,0.0,1.0
2368,3624,0.0,1.0
1418,91,1.0,1.0
487,158,0.0,1.0
3578,3314,1.0,1.0
2196,2195,1.0,1.0
2917,1078,0.0,1.0
1529,3206,0.0,1.0
2174,839,0.0,1.0
2797,3068,0.0,1.0
1785,3453,0.0,1.0
2610,2575,1.0,1.0
2957,979,1.0,1.0
3598,770,0.0,1.0
2185,623,0.0,1.0
3043,992,1.0,1.0
264,472,1.0,1.0
3206,1974,0.0,1.0
742,1463,1.0,1.0
3061,2433,1.0,1.0
3659,1542,0.0,1.0
1413,1482,1.0,1.0
958,2394,0.0,1.0
1640,3046,0.0,1.0
3564,1695,0.0,1.0
394,392,0.0,1.0
237,839,0.0,1.0
1432,1343,1.0,1.0
2708,2395,0.0,1.0
1262,2594,0.0,1.0
1866,2844,1.0,1.0
3312,1613,0.0,1.0
3045,3048,0.0,1.0
1988,1256,1.0,1.0
2867,1298,0.0,1.0
989,2178,1.0,1.0
2380,2399,0.0,1.0
3215,1681,0.0,1.0
82,886,1.0,1.0
1788,717,0.0,1.0
2706,3326,1.0,1.0
913,2299,0.0,1.0
99,122,0.0,1.0
2237,3283,1.0,1.0
1400,229,1.0,1.0
191,315,0.0,1.0
3125,1616,1.0,1.0
67,68,0.0,1.0
2801,3014,1.0,1.0
2975,2601,0.0,1.0
389,1181,1.0,1.0
2504,1019,1.0,1.0
2769,2887,0.0,1.0
2210,1992,1.0,1.0
1232,2823,1.0,1.0
2080,2078,0.0,1.0
2570,2433,1.0,1.0
345,730,0.0,1.0
1383,2180,0.0,1.0
3107,3438,0.0,1.0
2589,1439,0.0,1.0
3606,3669,0.0,1.0
1127,2392,1.0,1.0
2834,3083,1.0,1.0
