edge_index0,edge_index1,pred,gr
1917,1849,0.0,1.0
2126,3595,0.0,1.0
1028,1031,1.0,1.0
3559,1021,0.0,1.0
3190,3350,0.0,1.0
3473,2919,1.0,1.0
1004,995,0.0,1.0
145,147,0.0,1.0
2515,2514,0.0,1.0
3486,3484,0.0,1.0
1183,737,0.0,1.0
524,521,1.0,1.0
1187,442,0.0,1.0
3805,2944,0.0,1.0
718,721,1.0,1.0
1687,3071,1.0,1.0
2339,2871,0.0,1.0
2226,2349,0.0,1.0
123,69,1.0,1.0
2665,3632,0.0,1.0
1441,812,0.0,1.0
299,291,1.0,1.0
2923,2728,0.0,1.0
1864,3785,0.0,1.0
1132,2166,0.0,1.0
246,49,1.0,1.0
1278,1274,0.0,1.0
126,128,0.0,1.0
3253,3069,1.0,1.0
554,39,1.0,1.0
727,728,1.0,1.0
1257,171,1.0,1.0
2048,3341,1.0,1.0
3536,1675,1.0,1.0
2868,1692,0.0,1.0
45,288,1.0,1.0
1524,2846,0.0,1.0
686,687,0.0,1.0
1002,51,0.0,1.0
1638,1634,0.0,1.0
63,166,1.0,1.0
1185,1183,0.0,1.0
3113,2951,1.0,1.0
1381,2880,1.0,1.0
3108,3110,0.0,1.0
1284,233,1.0,1.0
3403,1839,1.0,1.0
1289,3147,1.0,1.0
131,283,0.0,1.0
998,125,1.0,1.0
2077,2339,1.0,1.0
1930,1961,0.0,1.0
183,694,0.0,1.0
2456,1518,0.0,1.0
1995,2737,1.0,1.0
440,1249,1.0,1.0
1445,1120,0.0,1.0
203,201,1.0,1.0
1359,758,1.0,1.0
1863,3408,1.0,1.0
3301,2009,0.0,1.0
292,935,0.0,1.0
2425,355,1.0,1.0
323,1002,1.0,1.0
219,774,0.0,1.0
552,426,0.0,1.0
793,457,0.0,1.0
2065,3027,0.0,1.0
2762,1790,0.0,1.0
1403,2390,1.0,1.0
995,293,0.0,1.0
2720,2538,1.0,1.0
2743,2989,1.0,1.0
640,1070,1.0,1.0
1002,1003,1.0,1.0
3599,3598,0.0,1.0
3796,2158,0.0,1.0
1548,1541,1.0,1.0
2635,2636,1.0,1.0
1678,674,1.0,1.0
3301,3513,1.0,1.0
1823,1038,1.0,1.0
552,555,1.0,1.0
2579,2583,1.0,1.0
233,464,1.0,1.0
2322,2319,1.0,1.0
1312,1877,1.0,1.0
2357,1627,0.0,1.0
208,754,0.0,1.0
2114,2112,1.0,1.0
1712,776,1.0,1.0
2391,2393,1.0,1.0
2418,1952,1.0,1.0
2216,1667,1.0,1.0
1759,1756,0.0,1.0
1489,1488,1.0,1.0
1620,1825,1.0,1.0
1695,1694,0.0,1.0
3685,2167,0.0,1.0
3534,2645,1.0,1.0
2414,3721,1.0,1.0
2573,2576,0.0,1.0
3373,2148,0.0,1.0
2389,1211,1.0,1.0
2983,2925,0.0,1.0
1231,2691,0.0,1.0
2671,2570,0.0,1.0
2573,2149,0.0,1.0
3751,3859,0.0,1.0
1938,1754,1.0,1.0
2350,2349,0.0,1.0
3237,1269,0.0,1.0
2306,2305,0.0,1.0
946,944,0.0,1.0
3321,3320,1.0,1.0
873,871,1.0,1.0
2764,1221,1.0,1.0
393,271,1.0,1.0
681,1350,1.0,1.0
3370,3487,0.0,1.0
295,297,0.0,1.0
2323,2327,0.0,1.0
389,388,1.0,1.0
3532,1996,1.0,1.0
3791,3792,1.0,1.0
1712,2193,1.0,1.0
1129,2259,1.0,1.0
1534,1674,1.0,1.0
146,258,1.0,1.0
2800,1385,1.0,1.0
2425,992,1.0,1.0
3551,2637,0.0,1.0
831,830,0.0,1.0
537,379,1.0,1.0
948,2213,1.0,1.0
718,1183,1.0,1.0
506,758,1.0,1.0
2702,1342,1.0,1.0
2330,3362,1.0,1.0
3799,2645,1.0,1.0
584,1014,1.0,1.0
3295,1527,0.0,1.0
971,413,1.0,1.0
1565,758,0.0,1.0
2671,3689,0.0,1.0
3803,2669,1.0,1.0
1148,1143,0.0,1.0
2050,1843,1.0,1.0
3426,2601,1.0,1.0
318,302,0.0,1.0
1891,1889,1.0,1.0
2277,1809,1.0,1.0
853,63,1.0,1.0
2434,1455,0.0,1.0
1703,736,1.0,1.0
2276,748,0.0,1.0
570,530,1.0,1.0
1796,1938,1.0,1.0
83,457,1.0,1.0
2177,797,0.0,1.0
557,1458,0.0,1.0
1069,1071,0.0,1.0
1552,801,1.0,1.0
3102,2515,0.0,1.0
1224,3458,1.0,1.0
3212,2382,0.0,1.0
956,454,1.0,1.0
2669,3678,0.0,1.0
269,438,1.0,1.0
3014,3770,1.0,1.0
103,474,1.0,1.0
295,794,1.0,1.0
1443,513,0.0,1.0
3810,2742,0.0,1.0
2296,2966,0.0,1.0
3181,1897,0.0,1.0
259,844,0.0,1.0
3498,2120,1.0,1.0
1452,2092,1.0,1.0
81,400,0.0,1.0
3282,684,0.0,1.0
2810,1913,0.0,1.0
3929,1600,0.0,1.0
2984,2925,0.0,1.0
3227,2319,1.0,1.0
2944,2947,0.0,1.0
3156,758,1.0,1.0
2720,2468,1.0,1.0
1082,1081,0.0,1.0
2274,2545,1.0,1.0
1483,2550,0.0,1.0
1961,1257,1.0,1.0
990,615,0.0,1.0
2032,2210,1.0,1.0
1986,2747,1.0,1.0
2312,3693,1.0,1.0
2677,2902,0.0,1.0
2890,2162,1.0,1.0
1288,2749,1.0,1.0
1008,2187,1.0,1.0
716,715,0.0,1.0
2795,1420,0.0,1.0
840,623,1.0,1.0
1241,2485,1.0,1.0
441,1250,1.0,1.0
3712,2481,0.0,1.0
2359,2252,1.0,1.0
2739,1759,1.0,1.0
157,155,0.0,1.0
3454,2239,1.0,1.0
1143,3406,0.0,1.0
3124,980,1.0,1.0
641,643,0.0,1.0
1710,3147,1.0,1.0
2693,1207,0.0,1.0
1202,2638,0.0,1.0
2686,902,1.0,1.0
2209,3765,0.0,1.0
2559,1569,0.0,1.0
1697,3265,0.0,1.0
2825,3782,0.0,1.0
2808,1347,1.0,1.0
3592,2242,0.0,1.0
758,3461,1.0,1.0
3215,1632,0.0,1.0
3782,2595,0.0,1.0
517,12,0.0,1.0
1535,1491,1.0,1.0
365,2021,0.0,1.0
1940,1088,1.0,1.0
3797,1721,0.0,1.0
3071,785,1.0,1.0
1092,2467,0.0,1.0
3672,3245,0.0,1.0
11,112,0.0,1.0
2607,2608,1.0,1.0
3677,3948,0.0,1.0
1573,2229,0.0,1.0
1408,1889,1.0,1.0
1068,542,0.0,1.0
3156,3748,1.0,1.0
3817,3329,0.0,1.0
394,551,0.0,1.0
512,1836,1.0,1.0
978,2239,0.0,1.0
2274,3747,0.0,1.0
2636,1442,1.0,1.0
1303,2251,1.0,1.0
2025,2032,1.0,1.0
2779,2888,1.0,1.0
564,2355,1.0,1.0
1633,2590,0.0,1.0
2433,3259,1.0,1.0
357,946,0.0,1.0
3258,2100,0.0,1.0
446,98,0.0,1.0
3092,2470,1.0,1.0
2635,3795,0.0,1.0
