edge_index0,edge_index1,pred,gr
2032,2244,1.0,1.0
1297,802,1.0,1.0
788,290,1.0,1.0
481,2707,1.0,1.0
1465,651,1.0,1.0
2149,518,1.0,1.0
1089,2707,1.0,1.0
2662,410,1.0,1.0
1987,1002,1.0,1.0
304,645,1.0,1.0
591,615,1.0,1.0
533,1152,1.0,1.0
1352,2748,1.0,1.0
258,187,1.0,1.0
1848,1126,1.0,1.0
1477,1125,1.0,1.0
1391,634,1.0,1.0
553,2581,1.0,1.0
692,1566,1.0,1.0
1698,534,1.0,1.0
1581,707,1.0,1.0
1576,546,0.0,1.0
505,2192,1.0,1.0
1030,633,1.0,1.0
1427,1771,1.0,1.0
691,1566,1.0,1.0
441,790,1.0,1.0
1342,767,1.0,1.0
1621,729,1.0,1.0
1919,846,1.0,1.0
586,1277,1.0,1.0
554,268,1.0,1.0
677,2284,1.0,1.0
541,547,1.0,1.0
740,1639,1.0,1.0
1187,2557,1.0,1.0
2205,781,1.0,1.0
867,1079,1.0,1.0
829,777,1.0,1.0
1089,1072,1.0,1.0
1191,546,1.0,1.0
2162,967,1.0,1.0
591,283,1.0,1.0
248,739,1.0,1.0
300,2764,1.0,1.0
1636,735,1.0,1.0
438,989,0.0,1.0
2141,372,1.0,1.0
916,2066,1.0,1.0
1996,876,1.0,1.0
948,951,1.0,1.0
1427,1525,1.0,1.0
1416,872,1.0,1.0
1950,2588,1.0,1.0
1447,645,1.0,1.0
1080,1284,1.0,1.0
563,744,1.0,1.0
552,268,1.0,1.0
1416,641,1.0,1.0
1794,849,1.0,1.0
137,900,1.0,1.0
248,1083,1.0,1.0
1888,2784,1.0,1.0
1455,655,1.0,1.0
1666,751,1.0,1.0
2001,187,1.0,1.0
2319,2318,1.0,1.0
1943,1914,1.0,1.0
1462,1046,1.0,1.0
1797,219,1.0,1.0
1462,789,1.0,1.0
1892,372,1.0,1.0
1321,615,1.0,1.0
1738,815,1.0,1.0
2329,1067,1.0,1.0
1495,848,1.0,1.0
2414,1102,0.0,1.0
1348,1513,1.0,1.0
1647,1953,1.0,1.0
1786,790,1.0,1.0
2602,2032,1.0,1.0
801,1079,1.0,1.0
2305,1044,1.0,1.0
1343,187,1.0,1.0
1342,614,1.0,1.0
1680,753,1.0,1.0
1407,638,1.0,1.0
460,1034,1.0,1.0
2596,1227,1.0,1.0
2045,238,1.0,1.0
1913,1079,1.0,1.0
813,187,1.0,1.0
1940,1691,1.0,1.0
2606,2085,1.0,1.0
2280,410,1.0,1.0
1858,787,1.0,1.0
1170,2537,1.0,1.0
1401,777,1.0,1.0
1743,1884,1.0,1.0
188,301,0.0,1.0
615,1098,1.0,1.0
2490,518,1.0,1.0
304,302,1.0,1.0
183,283,1.0,1.0
448,370,1.0,1.0
2602,2620,1.0,1.0
851,518,1.0,1.0
1155,760,0.0,1.0
1750,370,1.0,1.0
455,238,1.0,1.0
861,1965,1.0,1.0
806,1829,1.0,1.0
359,1861,1.0,1.0
660,873,1.0,1.0
2307,2779,1.0,1.0
1440,411,1.0,1.0
481,2631,1.0,1.0
906,405,0.0,1.0
1893,1692,1.0,1.0
1695,1693,1.0,1.0
2123,963,1.0,1.0
1453,645,1.0,1.0
1534,613,1.0,1.0
2672,1284,1.0,1.0
531,1144,1.0,1.0
167,171,1.0,1.0
1331,1629,1.0,1.0
1343,922,1.0,1.0
1559,370,1.0,1.0
2094,962,1.0,1.0
592,1286,1.0,1.0
2026,290,1.0,1.0
484,1067,1.0,1.0
1494,1963,0.0,1.0
1660,410,0.0,1.0
1330,2718,0.0,1.0
2316,613,1.0,1.0
844,380,1.0,1.0
2280,1030,1.0,1.0
2175,975,1.0,1.0
617,1833,1.0,1.0
832,2475,1.0,1.0
529,518,1.0,1.0
1521,290,1.0,1.0
918,2073,1.0,1.0
930,187,1.0,1.0
1964,861,1.0,1.0
2691,1846,1.0,1.0
1769,370,1.0,1.0
1318,1300,1.0,1.0
1859,370,1.0,1.0
1352,1657,1.0,1.0
1806,615,1.0,1.0
1556,933,1.0,1.0
2195,986,0.0,1.0
2490,1136,1.0,1.0
359,518,1.0,1.0
1796,187,1.0,1.0
1352,410,1.0,1.0
1585,1812,1.0,1.0
1330,187,1.0,1.0
2471,2451,1.0,1.0
1822,363,1.0,1.0
2135,1657,1.0,1.0
507,1107,1.0,1.0
918,1144,1.0,1.0
826,851,1.0,1.0
2765,1770,1.0,1.0
137,136,1.0,1.0
1846,2736,1.0,1.0
1471,454,1.0,1.0
1022,546,1.0,1.0
383,1136,1.0,1.0
1493,848,1.0,1.0
1370,1044,1.0,1.0
2187,979,1.0,1.0
1649,1352,1.0,1.0
2520,1160,1.0,1.0
855,662,1.0,1.0
948,187,1.0,1.0
2215,998,1.0,1.0
2135,1657,1.0,1.0
599,410,1.0,1.0
2474,412,1.0,1.0
595,1006,1.0,1.0
2768,410,1.0,1.0
2484,372,1.0,1.0
2654,1271,1.0,1.0
1719,1691,1.0,1.0
1670,622,0.0,1.0
2019,1418,1.0,1.0
1374,613,1.0,1.0
1088,855,1.0,1.0
1391,1034,1.0,1.0
2691,841,1.0,1.0
1754,1829,1.0,1.0
477,598,1.0,1.0
798,246,1.0,1.0
1080,2327,1.0,1.0
2307,1044,1.0,1.0
2032,1889,1.0,1.0
1085,2387,1.0,1.0
527,869,1.0,1.0
428,982,0.0,1.0
936,2101,1.0,1.0
1806,1526,1.0,1.0
1622,724,1.0,1.0
941,2107,1.0,1.0
446,440,1.0,1.0
2356,1072,1.0,1.0
586,1275,1.0,1.0
2032,1889,1.0,1.0
1811,284,1.0,1.0
2157,1970,1.0,1.0
924,290,1.0,1.0
682,613,1.0,1.0
147,232,1.0,1.0
2005,882,1.0,1.0
2222,1002,1.0,1.0
671,654,1.0,1.0
1542,370,1.0,1.0
1352,410,1.0,1.0
418,410,1.0,1.0
361,928,1.0,1.0
1182,542,1.0,1.0
327,193,1.0,1.0
2250,1549,0.0,1.0
213,849,1.0,1.0
1424,2117,1.0,1.0
794,793,1.0,1.0
1089,493,1.0,1.0
599,1097,1.0,1.0
2599,1231,1.0,1.0
1343,464,1.0,1.0
300,290,1.0,1.0
313,703,0.0,1.0
2152,2122,1.0,1.0
183,284,1.0,1.0
1314,1643,1.0,1.0
1482,1480,1.0,1.0
1370,2787,1.0,1.0
2674,651,1.0,1.0
2260,1022,0.0,1.0
1474,1125,1.0,1.0
553,1215,1.0,1.0
1909,2549,1.0,1.0
2204,994,0.0,1.0
1463,1133,1.0,1.0
2064,917,1.0,1.0
2271,1067,1.0,1.0
441,232,1.0,1.0
358,240,1.0,1.0
939,370,1.0,1.0
2500,1136,1.0,1.0
1403,621,1.0,1.0
2523,187,1.0,1.0
527,854,1.0,1.0
