edge_index0,edge_index1,pred,gr
709,1595,1.0,1.0
860,587,1.0,1.0
1271,2639,1.0,1.0
1176,2517,0.0,1.0
872,617,1.0,1.0
2002,888,1.0,1.0
1359,613,1.0,1.0
1322,600,1.0,1.0
1191,2363,1.0,1.0
522,355,1.0,1.0
2049,912,1.0,1.0
445,1032,1.0,1.0
1069,470,1.0,1.0
182,265,1.0,1.0
1781,354,1.0,1.0
2295,1418,1.0,1.0
552,704,1.0,1.0
1361,1780,1.0,1.0
1751,714,1.0,1.0
2467,1139,1.0,1.0
379,215,0.0,1.0
2342,1072,1.0,1.0
901,587,1.0,1.0
2347,2523,0.0,1.0
586,354,1.0,1.0
396,918,1.0,1.0
1192,536,1.0,1.0
1043,1097,1.0,1.0
290,276,1.0,1.0
2431,1141,1.0,1.0
386,882,0.0,1.0
1747,1071,1.0,1.0
803,1152,1.0,1.0
129,203,1.0,1.0
441,2110,1.0,1.0
2346,1074,1.0,1.0
326,716,0.0,1.0
1747,1757,1.0,1.0
1091,2378,1.0,1.0
2222,2344,0.0,1.0
1473,655,1.0,1.0
1007,1067,1.0,1.0
1737,770,1.0,1.0
167,74,1.0,1.0
1695,648,1.0,1.0
1986,885,1.0,1.0
2125,1170,1.0,1.0
1361,648,1.0,1.0
1735,1754,1.0,1.0
390,276,1.0,1.0
911,220,1.0,1.0
1606,715,1.0,1.0
1980,883,1.0,1.0
713,1600,1.0,1.0
2431,355,1.0,1.0
846,375,0.0,1.0
419,227,1.0,1.0
461,659,1.0,1.0
1314,2151,1.0,1.0
808,414,1.0,1.0
2645,354,1.0,1.0
1534,684,1.0,1.0
775,1596,1.0,1.0
801,1798,0.0,1.0
1467,648,1.0,1.0
795,214,1.0,1.0
634,2154,1.0,1.0
2306,1055,1.0,1.0
2009,892,1.0,1.0
633,288,1.0,1.0
1849,618,1.0,1.0
1509,694,1.0,1.0
1789,735,1.0,1.0
639,1441,0.0,1.0
364,617,1.0,1.0
542,648,1.0,1.0
1449,1208,1.0,1.0
1043,2281,1.0,1.0
1465,740,1.0,1.0
1772,186,1.0,1.0
1404,1407,1.0,1.0
1893,735,1.0,1.0
1865,829,1.0,1.0
2459,1579,1.0,1.0
1036,500,1.0,1.0
914,2055,1.0,1.0
2331,1067,1.0,1.0
1699,1373,1.0,1.0
1879,214,1.0,1.0
1862,735,1.0,1.0
1934,861,1.0,1.0
792,1773,1.0,1.0
2557,1220,1.0,1.0
2141,681,1.0,1.0
605,414,1.0,1.0
1326,659,1.0,1.0
808,1851,1.0,1.0
1045,273,1.0,1.0
2298,2663,1.0,1.0
396,922,1.0,1.0
2078,929,1.0,1.0
998,1733,1.0,1.0
1028,234,1.0,1.0
947,1707,1.0,1.0
1672,880,1.0,1.0
1235,728,1.0,1.0
1026,1239,1.0,1.0
2594,2282,1.0,1.0
1069,828,1.0,1.0
941,2106,1.0,1.0
899,1428,1.0,1.0
2016,728,1.0,1.0
1726,1201,1.0,1.0
507,252,1.0,1.0
539,1195,1.0,1.0
899,554,1.0,1.0
589,1239,1.0,1.0
1264,676,1.0,1.0
2159,414,1.0,1.0
342,346,1.0,1.0
946,623,1.0,1.0
2072,922,1.0,1.0
1891,1763,1.0,1.0
1896,843,0.0,1.0
649,276,1.0,1.0
2538,2536,1.0,1.0
