edge_index0,edge_index1,pred,gr
299,675,1.0,1.0
972,1809,1.0,1.0
813,1697,1.0,1.0
1566,607,1.0,1.0
2145,188,1.0,1.0
2525,769,1.0,1.0
756,363,1.0,1.0
664,1494,1.0,1.0
851,787,1.0,1.0
454,1062,1.0,1.0
2708,1201,1.0,1.0
777,992,1.0,1.0
2014,828,1.0,1.0
978,1414,1.0,1.0
2187,896,1.0,1.0
422,895,1.0,1.0
1844,2228,1.0,1.0
1970,2593,1.0,1.0
356,1704,1.0,1.0
2479,1233,1.0,1.0
2327,2392,1.0,1.0
1667,606,1.0,1.0
154,252,1.0,1.0
1968,1983,1.0,1.0
376,221,1.0,1.0
1929,2812,1.0,1.0
1879,2089,1.0,1.0
1706,1739,1.0,1.0
640,289,1.0,1.0
1189,607,1.0,1.0
2707,2720,1.0,1.0
801,364,0.0,1.0
393,2386,1.0,1.0
800,364,1.0,1.0
908,734,1.0,1.0
761,634,1.0,1.0
814,771,1.0,1.0
1516,734,1.0,1.0
1722,2593,1.0,1.0
2319,2740,1.0,1.0
1234,551,1.0,1.0
1683,2399,1.0,1.0
1700,756,1.0,1.0
969,895,1.0,1.0
356,913,1.0,1.0
1345,1127,1.0,1.0
296,1202,1.0,1.0
1432,643,1.0,1.0
2670,831,1.0,1.0
144,239,1.0,1.0
587,787,1.0,1.0
575,1284,1.0,1.0
1434,607,1.0,1.0
2627,2620,1.0,1.0
617,1370,1.0,1.0
1034,2263,1.0,1.0
1448,188,1.0,1.0
2814,1399,0.0,1.0
1633,734,1.0,1.0
724,227,1.0,1.0
454,1065,1.0,1.0
1981,286,1.0,1.0
2557,1824,1.0,1.0
313,709,1.0,1.0
724,387,1.0,1.0
1930,227,1.0,1.0
1411,188,1.0,1.0
1999,997,1.0,1.0
2435,607,1.0,1.0
2678,714,1.0,1.0
2099,227,1.0,1.0
2256,769,1.0,1.0
1629,734,1.0,1.0
2209,188,1.0,1.0
1255,1015,1.0,1.0
1031,1499,1.0,1.0
2792,2790,1.0,1.0
2233,1019,1.0,1.0
374,648,1.0,1.0
1975,387,1.0,1.0
2751,607,1.0,1.0
849,277,1.0,1.0
1009,835,1.0,1.0
1826,1821,1.0,1.0
1518,2790,1.0,1.0
523,836,0.0,1.0
819,1777,0.0,1.0
1698,1007,1.0,1.0
1146,1150,1.0,1.0
919,2641,0.0,1.0
724,1601,1.0,1.0
448,235,1.0,1.0
1197,1201,1.0,1.0
1802,728,1.0,1.0
870,734,1.0,1.0
1635,297,1.0,1.0
356,1481,1.0,1.0
1880,832,1.0,1.0
299,1181,1.0,1.0
1068,2318,1.0,1.0
1291,607,1.0,1.0
376,889,1.0,1.0
1518,188,1.0,1.0
1980,932,1.0,1.0
1901,1252,1.0,1.0
2131,959,1.0,1.0
2468,2751,1.0,1.0
777,2055,1.0,1.0
796,1229,1.0,1.0
2018,892,0.0,1.0
1917,843,1.0,1.0
1802,1666,1.0,1.0
2693,728,1.0,1.0
393,2019,1.0,1.0
418,2101,1.0,1.0
1632,188,1.0,1.0
1771,2260,1.0,1.0
2122,734,1.0,1.0
2290,766,0.0,1.0
376,971,1.0,1.0
777,764,1.0,1.0
1706,1807,1.0,1.0
389,216,0.0,1.0
2191,1817,1.0,1.0
1209,762,1.0,1.0
1297,2684,1.0,1.0
1999,2237,1.0,1.0
1450,606,1.0,1.0
1924,1708,1.0,1.0
1928,847,1.0,1.0
2502,2504,1.0,1.0
1969,188,1.0,1.0
430,923,1.0,1.0
2162,911,1.0,1.0
1899,734,1.0,1.0
1618,1821,1.0,1.0
1392,606,1.0,1.0
132,22,1.0,1.0
2514,425,1.0,1.0
782,1781,1.0,1.0
954,227,1.0,1.0
1696,755,1.0,1.0
1891,1062,1.0,1.0
2333,1078,1.0,1.0
1409,931,1.0,1.0
2007,864,1.0,1.0
2305,1064,1.0,1.0
2134,2138,1.0,1.0
1731,957,0.0,1.0
407,931,1.0,1.0
865,1288,1.0,1.0
2078,922,0.0,1.0
1774,778,1.0,1.0
2169,748,1.0,1.0
1198,1315,1.0,1.0
394,888,1.0,1.0
1400,387,1.0,1.0
412,931,1.0,1.0
1751,883,1.0,1.0
1107,1804,1.0,1.0
1629,387,1.0,1.0
2158,971,1.0,1.0
1368,2773,0.0,1.0
235,450,1.0,1.0
1115,1396,1.0,1.0
1433,643,0.0,1.0
1696,896,1.0,1.0
393,963,1.0,1.0
1127,2403,1.0,1.0
431,231,1.0,1.0
296,2537,1.0,1.0
899,2034,1.0,1.0
254,2646,1.0,1.0
860,976,1.0,1.0
374,370,1.0,1.0
1797,445,1.0,1.0
1544,714,1.0,1.0
372,787,1.0,1.0
2435,607,1.0,1.0
835,1220,1.0,1.0
629,1128,1.0,1.0
2609,267,1.0,1.0
1837,815,1.0,1.0
2224,1803,1.0,1.0
431,1472,1.0,1.0
825,857,0.0,1.0
1714,761,0.0,1.0
173,74,1.0,1.0
466,1086,1.0,1.0
2454,1151,1.0,1.0
426,971,1.0,1.0
1737,368,1.0,1.0
261,896,1.0,1.0
2027,910,1.0,1.0
2591,364,0.0,1.0
640,1129,1.0,1.0
944,414,1.0,1.0
1103,244,1.0,1.0
1531,687,1.0,1.0
1130,2412,1.0,1.0
1614,368,1.0,1.0
2318,514,1.0,1.0
1047,1035,1.0,1.0
852,840,1.0,1.0
786,1787,1.0,1.0
2000,1160,1.0,1.0
1062,762,1.0,1.0
2528,256,1.0,1.0
1237,734,1.0,1.0
1731,957,0.0,1.0
812,368,1.0,1.0
1535,734,0.0,1.0
2525,2746,1.0,1.0
1543,1531,0.0,1.0
1203,2546,0.0,1.0
1472,1565,1.0,1.0
1215,1821,1.0,1.0
938,2593,1.0,1.0
1392,1029,1.0,1.0
393,2112,1.0,1.0
878,425,1.0,1.0
2000,1767,1.0,1.0
777,1740,1.0,1.0
2472,1767,1.0,1.0
2614,768,1.0,1.0
374,213,1.0,1.0
947,2112,1.0,1.0
2154,2553,1.0,1.0
2166,188,1.0,1.0
2140,1810,1.0,1.0
813,1697,1.0,1.0
1116,286,1.0,1.0
606,1496,1.0,1.0
715,2403,1.0,1.0
1343,627,1.0,1.0
2045,728,1.0,1.0
812,762,1.0,1.0
570,607,1.0,1.0
354,207,1.0,1.0
1795,1809,1.0,1.0
2129,1989,1.0,1.0
1620,366,1.0,1.0
1292,714,1.0,1.0
254,458,1.0,1.0
2367,1603,1.0,1.0
1802,769,1.0,1.0
1790,1989,0.0,1.0
1732,1252,1.0,1.0
1512,743,1.0,1.0
2542,728,1.0,1.0
790,227,1.0,1.0
2131,2138,1.0,1.0
1701,645,1.0,1.0
296,1496,1.0,1.0
673,728,1.0,1.0
2226,188,1.0,1.0
2166,2282,1.0,1.0
2147,2146,1.0,1.0
1614,878,1.0,1.0
2096,956,1.0,1.0
2597,1232,1.0,1.0
1889,1890,0.0,1.0
2459,1153,1.0,1.0
2792,1496,1.0,1.0
452,387,1.0,1.0
603,1154,1.0,1.0
430,1002,1.0,1.0
427,728,1.0,1.0
776,286,1.0,1.0
1686,286,1.0,1.0
1626,1624,1.0,1.0
1940,972,1.0,1.0
542,262,1.0,1.0
661,1392,1.0,1.0
1190,1077,1.0,1.0
426,2111,1.0,1.0
1441,1125,1.0,1.0
2517,446,1.0,1.0
1292,1150,1.0,1.0
186,607,1.0,1.0
1040,1353,1.0,1.0
756,1181,1.0,1.0
587,378,1.0,1.0
1093,951,1.0,1.0
2207,2757,1.0,1.0
1356,1144,1.0,1.0
2166,1008,1.0,1.0
666,286,1.0,1.0
479,728,1.0,1.0
158,256,1.0,1.0
2089,931,1.0,1.0
1034,1354,1.0,1.0
296,2790,1.0,1.0
2113,1810,1.0,1.0
1189,607,1.0,1.0
2266,1232,1.0,1.0
2578,1224,0.0,1.0
1108,484,1.0,1.0
1392,1029,1.0,1.0
1748,1853,1.0,1.0
850,378,1.0,1.0
527,256,1.0,1.0
374,728,1.0,1.0
317,707,1.0,1.0
2418,1258,1.0,1.0
1260,2146,1.0,1.0
462,238,1.0,1.0
296,1526,1.0,1.0
1514,675,1.0,1.0
776,188,1.0,1.0
2570,2618,1.0,1.0
1366,613,1.0,1.0
2256,743,1.0,1.0
158,61,0.0,1.0
2153,831,1.0,1.0
1443,647,1.0,1.0
1757,387,1.0,1.0
1389,627,1.0,1.0
2609,267,1.0,1.0
777,813,1.0,1.0
1789,972,1.0,1.0
1543,1531,0.0,1.0
1574,647,1.0,1.0
2210,1181,1.0,1.0
2167,1047,1.0,1.0
947,1849,1.0,1.0
418,959,1.0,1.0
662,1483,1.0,1.0
1771,2259,1.0,1.0
1762,774,1.0,1.0
1176,2505,1.0,1.0
1840,1025,1.0,1.0
2109,942,1.0,1.0
1353,888,1.0,1.0
2006,934,1.0,1.0
1605,726,1.0,1.0
292,1150,1.0,1.0
393,1987,1.0,1.0
189,286,1.0,1.0
306,190,1.0,1.0
624,286,1.0,1.0
1728,773,1.0,1.0
628,1393,1.0,1.0
343,205,1.0,1.0
398,898,1.0,1.0
2511,1857,1.0,1.0
2775,1371,1.0,1.0
1214,541,1.0,1.0
2673,1288,1.0,1.0
950,951,1.0,1.0
1690,1689,1.0,1.0
1767,937,1.0,1.0
1443,1187,1.0,1.0
1515,775,1.0,1.0
1266,188,1.0,1.0
811,1827,1.0,1.0
1818,1826,1.0,1.0
339,188,1.0,1.0
1297,580,1.0,1.0
1882,848,1.0,1.0
2557,2565,1.0,1.0
1070,514,1.0,1.0
1031,728,1.0,1.0
809,960,0.0,1.0
1728,1009,1.0,1.0
2000,863,1.0,1.0
1470,1029,1.0,1.0
760,424,1.0,1.0
281,609,1.0,1.0
2472,886,1.0,1.0
796,2187,1.0,1.0
1233,787,1.0,1.0
1009,922,1.0,1.0
1790,1035,1.0,1.0
1778,954,1.0,1.0
481,734,1.0,1.0
401,910,1.0,1.0
139,1840,1.0,1.0
2284,1053,0.0,1.0
2284,2308,1.0,1.0
470,469,1.0,1.0
1587,718,1.0,1.0
565,1043,1.0,1.0
1790,1035,1.0,1.0
2301,1062,1.0,1.0
1165,2601,1.0,1.0
1534,2264,1.0,1.0
1635,728,1.0,1.0
792,831,1.0,1.0
661,1000,1.0,1.0
822,1856,1.0,1.0
1076,462,1.0,1.0
1407,728,1.0,1.0
2402,238,1.0,1.0
2501,1336,1.0,1.0
356,1704,1.0,1.0
477,1099,1.0,1.0
1757,2371,1.0,1.0
1401,1940,1.0,1.0
1815,387,1.0,1.0
2044,728,1.0,1.0
418,1064,1.0,1.0
367,815,1.0,1.0
1123,1338,1.0,1.0
990,1689,1.0,1.0
2630,1773,0.0,1.0
1353,1414,1.0,1.0
792,728,1.0,1.0
874,387,1.0,1.0
639,289,1.0,1.0
1473,286,1.0,1.0
1401,446,1.0,1.0
1344,606,1.0,1.0
714,1569,1.0,1.0
2604,1234,1.0,1.0
2502,1233,1.0,1.0
2014,1233,1.0,1.0
308,191,1.0,1.0
819,1783,0.0,1.0
625,607,1.0,1.0
1211,188,1.0,1.0
1774,357,1.0,1.0
1560,711,1.0,1.0
2287,734,1.0,1.0
1022,438,1.0,1.0
976,2179,1.0,1.0
2673,834,1.0,1.0
1303,1502,1.0,1.0
2258,628,1.0,1.0
802,2089,1.0,1.0
2031,366,1.0,1.0
921,2070,1.0,1.0
1750,771,1.0,1.0
2365,769,1.0,1.0
901,827,1.0,1.0
1961,1178,1.0,1.0
871,188,1.0,1.0
578,1125,1.0,1.0
1438,1154,1.0,1.0
2043,227,1.0,1.0
1174,1151,1.0,1.0
1273,568,1.0,1.0
434,1012,1.0,1.0
1655,1081,0.0,1.0
2076,188,1.0,1.0
376,1983,1.0,1.0
1486,796,1.0,1.0
1353,953,1.0,1.0
2156,969,1.0,1.0
791,363,1.0,1.0
373,425,1.0,1.0
2600,728,1.0,1.0
2667,2491,0.0,1.0
1310,2702,1.0,1.0
578,1289,1.0,1.0
376,1821,1.0,1.0
1690,2228,1.0,1.0
438,232,1.0,1.0
2207,1002,0.0,1.0
1914,227,1.0,1.0
603,1334,1.0,1.0
2245,1821,1.0,1.0
1435,1125,1.0,1.0
1405,992,1.0,1.0
1971,762,1.0,1.0
2243,1846,0.0,1.0
1839,1908,1.0,1.0
303,190,1.0,1.0
981,425,1.0,1.0
2274,1045,1.0,1.0
567,272,1.0,1.0
489,1118,0.0,1.0
2304,976,1.0,1.0
1123,1338,1.0,1.0
860,1945,0.0,1.0
1790,1926,1.0,1.0
645,831,1.0,1.0
269,177,1.0,1.0
571,1152,1.0,1.0
1981,969,1.0,1.0
1411,363,1.0,1.0
