edge_index0,edge_index1,pred,gr
457,2127,1.0,1.0
1124,2814,1.0,1.0
509,2869,1.0,1.0
2168,1452,1.0,1.0
725,690,1.0,1.0
1681,748,0.0,1.0
2006,575,1.0,1.0
1207,2869,1.0,1.0
630,451,1.0,1.0
2206,2283,1.0,1.0
2372,689,1.0,1.0
577,2655,1.0,1.0
263,190,1.0,1.0
1871,1233,1.0,1.0
354,444,1.0,1.0
1986,905,1.0,1.0
417,936,1.0,1.0
2656,584,1.0,1.0
581,1305,1.0,1.0
320,733,1.0,1.0
2469,2686,1.0,1.0
1731,776,1.0,1.0
2904,1150,0.0,1.0
532,2882,1.0,1.0
865,690,1.0,1.0
2795,190,1.0,1.0
1190,1851,0.0,1.0
1653,733,1.0,1.0
627,662,1.0,1.0
479,704,1.0,1.0
1452,805,1.0,1.0
1720,773,1.0,1.0
1953,888,1.0,1.0
1457,2858,1.0,1.0
624,1403,1.0,1.0
583,1294,1.0,1.0
582,273,1.0,1.0
1521,714,1.0,1.0
2134,2675,1.0,1.0
780,1735,1.0,1.0
915,402,0.0,1.0
1799,1024,1.0,1.0
426,994,1.0,1.0
877,935,1.0,1.0
1020,222,1.0,1.0
1207,1196,1.0,1.0
1309,1150,0.0,1.0
2157,451,1.0,1.0
1916,1747,1.0,1.0
1276,1108,1.0,1.0
1597,707,1.0,1.0
256,781,1.0,1.0
312,2631,1.0,1.0
1675,743,1.0,1.0
305,382,1.0,1.0
1914,575,1.0,1.0
1975,898,1.0,1.0
1560,2604,1.0,1.0
479,1089,1.0,1.0
2201,2248,1.0,1.0
914,1917,1.0,1.0
1190,1643,1.0,1.0
2209,1007,1.0,1.0
1073,1009,1.0,1.0
1538,689,1.0,1.0
1079,903,1.0,1.0
752,1688,1.0,1.0
825,1738,1.0,1.0
599,784,1.0,1.0
580,273,1.0,1.0
1073,1866,1.0,1.0
1819,431,1.0,1.0
139,231,1.0,1.0
256,1398,1.0,1.0
975,1748,1.0,1.0
395,218,1.0,1.0
1523,384,1.0,1.0
2210,190,1.0,1.0
2444,1433,1.0,1.0
1593,706,1.0,1.0
1683,1156,1.0,1.0
1371,227,1.0,1.0
1683,1530,1.0,1.0
2259,382,1.0,1.0
1984,455,0.0,1.0
1467,298,1.0,1.0
2480,1181,1.0,1.0
2582,382,1.0,1.0
2162,451,1.0,1.0
2445,1210,1.0,1.0
1494,2906,1.0,1.0
1254,2100,0.0,1.0
1417,2079,0.0,1.0
627,626,1.0,1.0
1618,716,1.0,1.0
2199,704,1.0,1.0
1582,935,1.0,1.0
954,190,1.0,1.0
1452,644,1.0,1.0
1753,789,0.0,1.0
1815,977,1.0,1.0
2726,1359,1.0,1.0
1545,293,1.0,1.0
2036,935,1.0,1.0
385,190,1.0,1.0
2025,1243,1.0,1.0
975,971,1.0,1.0
569,1271,1.0,1.0
1877,1132,1.0,1.0
2603,2313,1.0,1.0
420,222,1.0,1.0
416,957,1.0,1.0
