edge_index0,edge_index1,pred,gr
733,1781,1.0,1.0
516,1175,1.0,1.0
2066,936,1.0,1.0
2403,360,1.0,1.0
1998,1057,1.0,1.0
1284,2697,1.0,1.0
1240,2642,1.0,1.0
768,821,1.0,1.0
1999,1289,1.0,1.0
1033,2182,1.0,1.0
1762,1853,1.0,1.0
1269,2676,1.0,1.0
544,439,1.0,1.0
2041,922,1.0,1.0
1059,2303,1.0,1.0
2823,381,1.0,1.0
852,855,1.0,1.0
183,272,1.0,1.0
2420,2387,1.0,1.0
2311,965,1.0,1.0
2042,922,1.0,1.0
1706,1737,1.0,1.0
1769,808,1.0,1.0
725,324,1.0,1.0
397,219,1.0,1.0
1670,740,0.0,1.0
1070,2331,1.0,1.0
1130,1125,1.0,1.0
1460,2240,1.0,1.0
1937,892,1.0,1.0
2232,360,1.0,1.0
2543,2677,1.0,1.0
610,359,1.0,1.0
371,787,1.0,1.0
1503,563,1.0,1.0
578,1165,1.0,1.0
296,282,1.0,1.0
1923,1287,1.0,1.0
446,1049,1.0,1.0
414,957,1.0,1.0
800,1783,1.0,1.0
782,358,1.0,1.0
819,1217,1.0,1.0
129,205,1.0,1.0
1431,2556,1.0,1.0
655,1166,1.0,1.0
2439,1127,1.0,1.0
2711,1289,1.0,1.0
782,1358,1.0,1.0
1151,1540,1.0,1.0
2435,2434,1.0,1.0
1524,685,1.0,1.0
1073,1135,1.0,1.0
2359,374,1.0,1.0
167,74,1.0,1.0
1707,382,1.0,1.0
2136,972,1.0,1.0
2628,1232,1.0,1.0
1706,382,1.0,1.0
844,1881,1.0,1.0
1690,282,1.0,1.0
852,227,1.0,1.0
1587,282,1.0,1.0
1923,439,1.0,1.0
387,215,1.0,1.0
445,233,1.0,1.0
488,648,1.0,1.0
1443,1520,1.0,1.0
1311,525,1.0,1.0
801,359,1.0,1.0
2528,711,1.0,1.0
2801,1815,1.0,1.0
1104,359,1.0,1.0
2044,1634,1.0,1.0
816,1812,1.0,1.0
1314,956,1.0,1.0
1664,1833,1.0,1.0
1103,1415,1.0,1.0
2428,1121,1.0,1.0
1031,969,0.0,1.0
654,294,1.0,1.0
1562,1092,1.0,1.0
1804,381,1.0,1.0
665,1496,1.0,1.0
368,821,1.0,1.0
1819,2151,1.0,1.0
561,382,1.0,1.0
1904,2760,1.0,1.0
1095,2385,1.0,1.0
578,1295,1.0,1.0
1430,765,1.0,1.0
2077,381,1.0,1.0
1871,836,1.0,1.0
978,419,1.0,1.0
776,1183,1.0,1.0
924,2051,1.0,1.0
2464,1135,1.0,1.0
