edge_index0,edge_index1,pred,gr
256,536,0.0,1.0
296,702,1.0,1.0
1324,845,1.0,1.0
283,2193,1.0,1.0
1431,2313,1.0,1.0
1444,360,1.0,1.0
1424,1414,1.0,1.0
1385,2815,1.0,1.0
2213,844,1.0,1.0
454,1766,1.0,1.0
1428,1864,1.0,1.0
1469,1562,1.0,1.0
1376,902,1.0,1.0
800,934,1.0,1.0
1553,846,1.0,1.0
1017,2254,1.0,1.0
1828,902,1.0,1.0
2229,1004,1.0,1.0
2691,1299,1.0,1.0
2876,1419,1.0,1.0
1790,788,0.0,1.0
632,880,1.0,1.0
799,925,1.0,1.0
2165,2298,1.0,1.0
2898,612,1.0,1.0
153,248,1.0,1.0
369,217,1.0,1.0
946,1873,1.0,1.0
1436,1711,1.0,1.0
2449,1489,1.0,1.0
2088,1000,0.0,1.0
2481,2752,0.0,1.0
1409,1423,1.0,1.0
2897,361,1.0,1.0
912,650,1.0,1.0
791,1239,1.0,1.0
1625,1682,0.0,1.0
981,1975,1.0,1.0
832,2018,1.0,1.0
959,650,1.0,1.0
1770,1419,1.0,1.0
2459,2781,1.0,1.0
1256,552,1.0,1.0
1211,1710,1.0,1.0
1691,2126,1.0,1.0
1927,1444,1.0,1.0
806,902,1.0,1.0
632,1036,1.0,1.0
624,1403,1.0,1.0
2052,924,0.0,1.0
293,1154,1.0,1.0
2320,1069,1.0,1.0
143,235,1.0,1.0
424,844,1.0,1.0
580,1305,1.0,1.0
600,279,1.0,1.0
1447,2661,0.0,1.0
1658,186,1.0,1.0
2493,2701,1.0,1.0
756,224,1.0,1.0
454,1107,1.0,1.0
1561,282,1.0,1.0
1811,1961,1.0,1.0
2629,891,1.0,1.0
313,723,1.0,1.0
2571,1214,1.0,1.0
756,429,1.0,1.0
1084,2344,1.0,1.0
1932,224,1.0,1.0
2613,186,1.0,1.0
2060,1959,1.0,1.0
514,279,1.0,1.0
2317,610,1.0,1.0
805,224,1.0,1.0
1462,2313,1.0,1.0
2290,1043,1.0,1.0
2090,186,1.0,1.0
1276,1043,1.0,1.0
2625,1249,1.0,1.0
2865,1425,1.0,1.0
544,186,1.0,1.0
2295,2301,1.0,1.0
402,739,1.0,1.0
794,279,1.0,1.0
