edge_index0,edge_index1,pred,gr
692,301,1.0,1.0
638,1476,1.0,1.0
1150,372,1.0,1.0
2129,420,1.0,1.0
278,1343,1.0,1.0
1478,204,1.0,1.0
718,743,1.0,1.0
1107,208,1.0,1.0
355,333,0.0,1.0
351,236,0.0,1.0
2451,2192,1.0,1.0
404,554,1.0,1.0
824,1445,0.0,1.0
278,2397,0.0,1.0
1655,1217,0.0,1.0
1405,372,1.0,1.0
1272,208,1.0,1.0
2051,1170,0.0,1.0
1000,1280,1.0,1.0
235,548,1.0,1.0
1347,751,1.0,1.0
2313,2312,0.0,1.0
1440,822,0.0,1.0
2147,2370,1.0,1.0
1179,1219,1.0,1.0
1759,441,1.0,1.0
1650,2399,0.0,1.0
439,310,0.0,1.0
1553,677,0.0,1.0
339,303,1.0,1.0
852,441,1.0,1.0
1608,1072,0.0,1.0
278,279,1.0,1.0
2488,1747,1.0,1.0
1263,204,1.0,1.0
1490,856,1.0,1.0
460,895,0.0,1.0
718,1295,0.0,1.0
510,981,0.0,1.0
898,1156,0.0,1.0
223,322,1.0,1.0
1133,420,0.0,1.0
762,796,0.0,1.0
1000,230,1.0,1.0
2066,549,1.0,1.0
1637,2380,0.0,1.0
1093,1782,0.0,1.0
1480,845,0.0,1.0
582,322,1.0,1.0
1894,2254,1.0,1.0
936,1587,0.0,1.0
359,919,1.0,1.0
588,392,1.0,1.0
1314,735,1.0,1.0
244,243,1.0,1.0
565,2061,1.0,1.0
427,1098,0.0,1.0
719,373,1.0,1.0
758,208,1.0,1.0
825,1446,1.0,1.0
1768,1735,0.0,1.0
692,971,1.0,1.0
1980,322,1.0,1.0
182,1058,1.0,1.0
1353,743,0.0,1.0
190,96,0.0,1.0
462,247,1.0,1.0
2574,1847,1.0,1.0
943,1597,0.0,1.0
292,1083,0.0,1.0
2051,1295,0.0,1.0
178,1280,1.0,1.0
1436,1297,1.0,1.0
1729,1280,1.0,1.0
1491,322,1.0,1.0
2180,692,1.0,1.0
645,677,1.0,1.0
658,208,1.0,1.0
235,413,1.0,1.0
786,1447,0.0,1.0
937,481,0.0,1.0
398,818,1.0,1.0
451,677,1.0,1.0
231,208,1.0,1.0
2273,648,0.0,1.0
565,560,1.0,1.0
708,364,0.0,1.0
1300,664,0.0,1.0
329,1983,0.0,1.0
563,303,1.0,1.0
435,21,0.0,1.0
1023,2216,1.0,1.0
743,2049,0.0,1.0
164,269,0.0,1.0
1125,420,1.0,1.0
2617,1295,1.0,1.0
2180,1427,1.0,1.0
365,420,1.0,1.0
821,1975,0.0,1.0
1227,195,1.0,1.0
1547,195,1.0,1.0
1480,1131,1.0,1.0
2559,1098,0.0,1.0
1830,236,1.0,1.0
1840,2568,0.0,1.0
1472,606,0.0,1.0
1178,1266,1.0,1.0
2479,892,0.0,1.0
559,250,0.0,1.0
770,26,1.0,1.0
1262,897,1.0,1.0
1267,673,1.0,1.0
1225,819,1.0,1.0
1764,204,1.0,1.0
1135,2573,0.0,1.0
1749,1066,0.0,1.0
1255,677,0.0,1.0
1832,2554,0.0,1.0
299,1063,1.0,1.0
1878,1161,0.0,1.0
721,660,0.0,1.0
1438,2195,0.0,1.0
1157,632,0.0,1.0
658,644,0.0,1.0
1187,195,1.0,1.0
883,262,1.0,1.0
2005,208,1.0,1.0
1197,666,1.0,1.0
1653,1888,1.0,1.0
376,2501,0.0,1.0
1528,1147,0.0,1.0
2558,1835,0.0,1.0
2141,660,0.0,1.0
682,699,1.0,1.0
570,612,1.0,1.0
2125,2393,0.0,1.0
182,2482,1.0,1.0
1873,420,1.0,1.0
656,666,1.0,1.0
1440,2198,0.0,1.0
691,208,1.0,1.0
572,676,1.0,1.0
584,1310,1.0,1.0
1027,195,1.0,1.0
2603,1877,0.0,1.0
2460,556,1.0,1.0
1301,195,1.0,1.0
1491,1365,1.0,1.0
2479,621,1.0,1.0
446,909,0.0,1.0
362,1259,1.0,1.0
283,542,0.0,1.0
1472,677,0.0,1.0
1413,2170,1.0,1.0
1125,1834,1.0,1.0
1178,420,1.0,1.0
886,208,1.0,1.0
446,204,1.0,1.0
275,166,1.0,1.0
794,208,1.0,1.0
579,616,0.0,1.0
1135,1136,0.0,1.0
1030,909,0.0,1.0
889,245,1.0,1.0
1556,208,1.0,1.0
1440,2195,1.0,1.0
1228,1259,1.0,1.0
690,365,1.0,1.0
2037,1730,0.0,1.0
676,234,0.0,1.0
782,795,1.0,1.0
484,1747,0.0,1.0
323,1834,1.0,1.0
1516,2073,1.0,1.0
2247,312,0.0,1.0
697,2029,0.0,1.0
2144,1378,0.0,1.0
182,1054,1.0,1.0
1684,992,1.0,1.0
580,446,1.0,1.0
2562,1076,1.0,1.0
1716,1850,0.0,1.0
1088,344,1.0,1.0
230,281,1.0,1.0
2569,2595,0.0,1.0
1030,909,0.0,1.0
1092,1364,0.0,1.0
715,204,1.0,1.0
847,1483,0.0,1.0
576,311,0.0,1.0
783,1155,1.0,1.0
295,175,0.0,1.0
1958,204,1.0,1.0
2135,397,0.0,1.0
1864,1570,0.0,1.0
252,939,0.0,1.0
1641,660,1.0,1.0
824,1447,0.0,1.0
1238,1982,1.0,1.0
572,394,1.0,1.0
419,236,1.0,1.0
1683,2428,0.0,1.0
1652,991,0.0,1.0
1894,1170,0.0,1.0
809,1425,0.0,1.0
692,859,1.0,1.0
213,340,0.0,1.0
1094,1099,1.0,1.0
442,870,0.0,1.0
386,219,0.0,1.0
1869,1463,1.0,1.0
167,279,0.0,1.0
1168,1891,0.0,1.0
692,859,1.0,1.0
579,305,1.0,1.0
374,303,0.0,1.0
213,667,0.0,1.0
1086,1772,0.0,1.0
816,666,1.0,1.0
1298,660,1.0,1.0
681,408,1.0,1.0
1626,966,1.0,1.0
2344,1598,0.0,1.0
1686,396,1.0,1.0
1759,2494,0.0,1.0
1205,195,1.0,1.0
278,1649,1.0,1.0
2158,204,1.0,1.0
446,204,1.0,1.0
1141,621,0.0,1.0
611,545,1.0,1.0
1016,1015,0.0,1.0
1241,621,0.0,1.0
320,243,1.0,1.0
425,1474,1.0,1.0
890,394,0.0,1.0
278,2194,1.0,1.0
715,637,1.0,1.0
1637,2379,1.0,1.0
1923,2033,0.0,1.0
2078,2079,0.0,1.0
658,1210,0.0,1.0
1436,666,1.0,1.0
2617,1335,1.0,1.0
1352,1008,0.0,1.0
1767,2303,0.0,1.0
2030,208,1.0,1.0
1620,2366,0.0,1.0
1162,397,0.0,1.0
253,484,0.0,1.0
468,554,1.0,1.0
2330,2411,0.0,1.0
1757,243,0.0,1.0
1687,743,1.0,1.0
851,375,0.0,1.0
775,1070,1.0,1.0
1897,1888,1.0,1.0
853,204,1.0,1.0
1615,2362,0.0,1.0
1980,1237,0.0,1.0
1658,992,1.0,1.0
605,321,1.0,1.0
772,340,1.0,1.0
1024,208,1.0,1.0
1094,1564,1.0,1.0
351,236,0.0,1.0
575,974,1.0,1.0
705,303,1.0,1.0
398,485,1.0,1.0
180,75,1.0,1.0
1512,648,1.0,1.0
816,917,1.0,1.0
769,311,1.0,1.0
385,217,1.0,1.0
1133,1134,0.0,1.0
2000,2306,0.0,1.0
1644,743,0.0,1.0
345,352,0.0,1.0
154,256,0.0,1.0
1978,1214,1.0,1.0
1697,2439,0.0,1.0
1966,2380,0.0,1.0
452,303,1.0,1.0
2440,1014,1.0,1.0
916,1129,0.0,1.0
231,1769,1.0,1.0
1956,208,1.0,1.0
1147,243,0.0,1.0
2313,1574,0.0,1.0
1034,140,0.0,1.0
1535,1364,0.0,1.0
1516,877,0.0,1.0
1324,1325,0.0,1.0
712,517,1.0,1.0
1895,1896,1.0,1.0
1725,1033,0.0,1.0
383,756,0.0,1.0
532,1002,0.0,1.0
1513,320,1.0,1.0
726,204,1.0,1.0
1137,1849,0.0,1.0
2617,1294,0.0,1.0
773,322,1.0,1.0
635,1005,0.0,1.0
1980,1402,1.0,1.0
2532,2531,0.0,1.0
1567,312,1.0,1.0
903,905,0.0,1.0
584,311,1.0,1.0
716,1291,0.0,1.0
178,250,0.0,1.0
1568,1033,0.0,1.0
1556,194,0.0,1.0
1209,1641,1.0,1.0
824,660,0.0,1.0
1182,441,1.0,1.0
2392,1647,1.0,1.0
1978,312,1.0,1.0
2356,664,1.0,1.0
2284,394,0.0,1.0
2414,1666,0.0,1.0
1642,2387,0.0,1.0
2184,1429,1.0,1.0
1864,748,1.0,1.0
1460,1549,1.0,1.0
1204,212,1.0,1.0
523,279,0.0,1.0
169,279,0.0,1.0
1436,917,1.0,1.0
145,2022,1.0,1.0
1746,1188,0.0,1.0
1257,446,1.0,1.0
1218,666,1.0,1.0
1561,676,1.0,1.0
650,1190,0.0,1.0
2110,1350,1.0,1.0
500,1088,1.0,1.0
1963,985,0.0,1.0
278,208,1.0,1.0
1915,195,1.0,1.0
1224,208,1.0,1.0
2453,666,1.0,1.0
452,882,1.0,1.0
674,1245,0.0,1.0
717,1295,1.0,1.0
959,406,1.0,1.0
782,792,0.0,1.0
720,311,1.0,1.0
788,1388,1.0,1.0
715,373,1.0,1.0
590,312,1.0,1.0
2303,2499,0.0,1.0
1024,546,1.0,1.0
1082,654,0.0,1.0
515,1217,0.0,1.0
2268,322,1.0,1.0
689,344,1.0,1.0
452,1885,1.0,1.0
824,1429,1.0,1.0
593,553,1.0,1.0
1138,311,0.0,1.0
429,1518,1.0,1.0
1577,928,1.0,1.0
820,1184,0.0,1.0
1561,677,1.0,1.0
1137,1454,0.0,1.0
278,2397,0.0,1.0
497,965,1.0,1.0
323,312,1.0,1.0
362,204,1.0,1.0
1094,1047,1.0,1.0
760,1359,1.0,1.0
1508,335,0.0,1.0
1637,974,1.0,1.0
639,338,0.0,1.0
146,1430,1.0,1.0
1436,372,1.0,1.0
1356,2126,0.0,1.0
2503,1772,0.0,1.0
1608,1072,0.0,1.0
419,818,1.0,1.0
182,306,1.0,1.0
658,208,1.0,1.0
2000,420,0.0,1.0
1856,208,1.0,1.0
498,968,1.0,1.0
2317,1576,0.0,1.0
1779,664,1.0,1.0
224,26,1.0,1.0
231,436,1.0,1.0
585,310,0.0,1.0
187,317,0.0,1.0
560,1053,0.0,1.0
1352,992,0.0,1.0
298,1052,1.0,1.0
1240,673,0.0,1.0
611,1025,1.0,1.0
1887,1217,1.0,1.0
893,248,1.0,1.0
1205,208,1.0,1.0
2547,194,1.0,1.0
2207,208,1.0,1.0
1640,976,1.0,1.0
780,656,0.0,1.0
497,1104,1.0,1.0
1197,204,1.0,1.0
280,749,1.0,1.0
1810,1109,0.0,1.0
1135,2133,0.0,1.0
1290,917,1.0,1.0
1225,344,1.0,1.0
2260,250,1.0,1.0
892,311,0.0,1.0
856,335,1.0,1.0
790,1394,0.0,1.0
515,997,0.0,1.0
1471,2246,0.0,1.0
1745,1905,1.0,1.0
1314,1047,0.0,1.0
497,770,1.0,1.0
1082,1099,0.0,1.0
763,976,1.0,1.0
1208,660,1.0,1.0
575,26,1.0,1.0
2488,743,1.0,1.0
959,1613,1.0,1.0
1253,204,1.0,1.0
960,1616,1.0,1.0
239,232,0.0,1.0
1423,2179,0.0,1.0
428,251,0.0,1.0
1070,208,1.0,1.0
1399,819,1.0,1.0
1266,438,1.0,1.0
1057,917,1.0,1.0
1746,230,0.0,1.0
1905,208,1.0,1.0
1213,204,1.0,1.0
552,553,1.0,1.0
855,204,1.0,1.0
806,281,0.0,1.0
1178,204,1.0,1.0
1419,1214,1.0,1.0
2133,195,1.0,1.0
182,845,1.0,1.0
446,230,1.0,1.0
552,553,1.0,1.0
1057,484,1.0,1.0
2578,598,0.0,1.0
1799,2264,0.0,1.0
1211,1209,1.0,1.0
1944,1205,1.0,1.0
196,1793,0.0,1.0
