edge_index0,edge_index1,pred,gr
440,430,1.0,1.0
195,331,1.0,1.0
240,942,1.0,1.0
412,370,1.0,1.0
601,331,1.0,1.0
570,1054,1.0,1.0
446,824,1.0,1.0
187,1674,0.0,1.0
1167,146,1.0,1.0
1196,617,1.0,1.0
1153,468,1.0,1.0
373,916,1.0,1.0
1675,462,1.0,1.0
567,1050,1.0,1.0
907,270,1.0,1.0
480,308,1.0,1.0
801,1112,1.0,1.0
179,1600,1.0,1.0
942,624,1.0,1.0
198,612,1.0,1.0
570,572,1.0,1.0
837,454,1.0,1.0
699,1242,1.0,1.0
372,633,1.0,1.0
627,450,1.0,1.0
208,477,1.0,1.0
601,536,1.0,1.0
912,762,1.0,1.0
1528,637,1.0,1.0
247,813,1.0,1.0
955,177,1.0,1.0
283,370,1.0,1.0
1521,296,0.0,1.0
885,476,1.0,1.0
892,1517,0.0,1.0
1691,1028,1.0,1.0
717,521,1.0,1.0
709,1313,1.0,1.0
565,564,1.0,1.0
1693,1030,1.0,1.0
533,1658,1.0,1.0
1422,431,1.0,1.0
952,146,1.0,1.0
1163,636,0.0,1.0
949,1345,1.0,1.0
1539,177,1.0,1.0
670,251,1.0,1.0
896,655,1.0,1.0
70,155,0.0,1.0
1545,1017,1.0,1.0
748,1307,1.0,1.0
801,796,1.0,1.0
461,1044,1.0,1.0
228,402,1.0,1.0
1348,177,1.0,1.0
1520,554,1.0,1.0
874,450,1.0,1.0
779,146,1.0,1.0
942,1640,1.0,1.0
841,1390,1.0,1.0
169,146,1.0,1.0
471,391,1.0,1.0
1535,296,1.0,1.0
879,474,1.0,1.0
446,424,1.0,1.0
1520,893,0.0,1.0
358,370,1.0,1.0
573,1052,1.0,1.0
1147,467,1.0,1.0
247,1445,0.0,1.0
914,174,0.0,1.0
19,134,1.0,1.0
1556,144,1.0,1.0
185,314,1.0,1.0
697,1286,1.0,1.0
213,142,1.0,1.0
650,353,1.0,1.0
845,459,0.0,1.0
425,692,1.0,1.0
712,382,1.0,1.0
242,241,1.0,1.0
1583,939,1.0,1.0
1367,824,1.0,1.0
1031,1270,1.0,1.0
166,258,1.0,1.0
779,542,1.0,1.0
222,174,1.0,1.0
142,215,1.0,1.0
647,1513,0.0,1.0
819,430,1.0,1.0
591,786,1.0,1.0
679,1238,1.0,1.0
1325,743,0.0,1.0
547,258,1.0,1.0
163,1339,1.0,1.0
1570,1198,1.0,1.0
1347,430,1.0,1.0
761,486,1.0,1.0
704,864,1.0,1.0
1396,251,1.0,1.0
973,1619,1.0,1.0
697,370,1.0,1.0
704,382,1.0,1.0
242,226,1.0,1.0
644,352,1.0,1.0
730,864,1.0,1.0
925,1644,0.0,1.0
728,389,1.0,1.0
570,1063,1.0,1.0
1425,358,1.0,1.0
713,1289,1.0,1.0
486,756,1.0,1.0
695,496,1.0,1.0
1452,1440,1.0,1.0
1326,1609,1.0,1.0
659,1033,1.0,1.0
1401,326,1.0,1.0
1473,858,1.0,1.0
892,704,1.0,1.0
541,516,1.0,1.0
313,515,1.0,1.0
730,864,1.0,1.0
729,400,1.0,1.0
811,382,1.0,1.0
1127,178,1.0,1.0
812,979,1.0,1.0
944,382,1.0,1.0
1137,391,1.0,1.0
821,258,1.0,1.0
1675,1390,1.0,1.0
761,384,1.0,1.0
409,144,1.0,1.0
1105,1089,1.0,1.0
1083,327,1.0,1.0
554,931,1.0,1.0
1596,1517,1.0,1.0
350,628,1.0,1.0
585,536,1.0,1.0
705,1587,1.0,1.0
554,931,1.0,1.0
1368,332,1.0,1.0
1636,477,1.0,1.0
669,1222,1.0,1.0
256,430,1.0,1.0
822,258,1.0,1.0
422,494,1.0,1.0
1397,438,1.0,1.0
1019,174,1.0,1.0
852,382,1.0,1.0
704,382,1.0,1.0
1267,1317,1.0,1.0
739,1255,1.0,1.0
1387,850,1.0,1.0
204,481,1.0,1.0
975,1622,1.0,1.0
576,513,1.0,1.0
1643,384,0.0,1.0
601,1061,1.0,1.0
811,436,1.0,1.0
247,430,1.0,1.0
673,1043,1.0,1.0
1677,456,1.0,1.0
883,916,1.0,1.0
1681,251,1.0,1.0
522,977,0.0,1.0
1171,911,1.0,1.0
962,1609,0.0,1.0
1539,1248,0.0,1.0
943,177,1.0,1.0
744,881,1.0,1.0
1666,146,1.0,1.0
1455,1418,1.0,1.0
873,391,1.0,1.0
975,469,1.0,1.0
256,424,1.0,1.0
283,504,1.0,1.0
1665,1188,1.0,1.0
1381,251,1.0,1.0
1649,1001,1.0,1.0
857,1471,0.0,1.0
693,916,1.0,1.0
1690,1028,1.0,1.0
750,477,1.0,1.0
465,466,1.0,1.0
1529,642,0.0,1.0
1598,146,1.0,1.0
1238,481,1.0,1.0
198,336,1.0,1.0
689,472,1.0,1.0
693,374,1.0,1.0
249,785,1.0,1.0
1249,146,1.0,1.0
1407,1104,1.0,1.0
782,1041,1.0,1.0
110,181,0.0,1.0
1299,382,1.0,1.0
548,515,1.0,1.0
831,177,1.0,1.0
882,1503,1.0,1.0
651,634,1.0,1.0
928,1320,1.0,1.0
272,178,1.0,1.0
1170,1051,0.0,1.0
826,824,1.0,1.0
255,821,1.0,1.0
1675,258,1.0,1.0
1523,1242,1.0,1.0
583,296,1.0,1.0
1276,384,1.0,1.0
557,1033,0.0,1.0
86,170,1.0,1.0
921,1554,0.0,1.0
1142,202,1.0,1.0
194,536,1.0,1.0
586,536,1.0,1.0
247,424,1.0,1.0
601,1101,0.0,1.0
1525,704,1.0,1.0
1340,752,1.0,1.0
561,1040,0.0,1.0
1429,430,1.0,1.0
884,486,1.0,1.0
552,1086,1.0,1.0
667,258,1.0,1.0
1629,984,1.0,1.0
671,787,1.0,1.0
601,146,0.0,1.0
392,174,1.0,1.0
1364,146,1.0,1.0
834,1438,0.0,1.0
750,1568,1.0,1.0
394,467,1.0,1.0
647,796,1.0,1.0
695,374,1.0,1.0
1660,1011,1.0,1.0
811,431,1.0,1.0
1666,1480,1.0,1.0
518,1616,0.0,1.0
899,1016,1.0,1.0
962,477,0.0,1.0
682,177,1.0,1.0
989,515,1.0,1.0
750,1156,1.0,1.0
1377,436,1.0,1.0
1675,437,1.0,1.0
1095,314,1.0,1.0
224,207,1.0,1.0
1062,1050,1.0,1.0
1305,1096,0.0,1.0
884,450,1.0,1.0
221,388,1.0,1.0
960,737,1.0,1.0
875,471,1.0,1.0
1326,634,1.0,1.0
350,1185,1.0,1.0
198,337,1.0,1.0
1341,758,1.0,1.0
1530,1250,1.0,1.0
1698,251,1.0,1.0
1691,1009,1.0,1.0
247,308,1.0,1.0
1383,1382,1.0,1.0
409,467,1.0,1.0
779,146,1.0,1.0
1665,370,1.0,1.0
621,146,1.0,1.0
889,258,1.0,1.0
288,353,1.0,1.0
169,506,1.0,1.0
348,633,1.0,1.0
673,326,1.0,1.0
1542,1359,1.0,1.0
828,1428,1.0,1.0
739,1013,1.0,1.0
1268,382,1.0,1.0
1019,146,1.0,1.0
441,146,1.0,1.0
489,1347,1.0,1.0
1148,851,1.0,1.0
958,424,1.0,1.0
90,174,0.0,1.0
819,382,1.0,1.0
533,602,1.0,1.0
878,474,0.0,1.0
826,177,1.0,1.0
