edge_index0,edge_index1,pred,gr
210,4,1.0,1.0
452,903,1.0,1.0
822,648,1.0,1.0
698,701,1.0,1.0
339,324,1.0,1.0
631,119,1.0,1.0
119,264,1.0,1.0
1041,1066,1.0,1.0
205,185,1.0,1.0
79,191,1.0,1.0
566,294,1.0,1.0
1168,1255,1.0,1.0
206,490,1.0,1.0
211,209,1.0,1.0
81,209,1.0,1.0
119,668,1.0,1.0
1143,46,1.0,1.0
703,127,1.0,1.0
26,73,1.0,1.0
360,1180,1.0,1.0
90,229,1.0,1.0
67,172,1.0,1.0
608,566,1.0,1.0
582,98,1.0,1.0
586,572,0.0,1.0
526,992,1.0,1.0
568,1044,0.0,1.0
413,823,1.0,1.0
613,516,1.0,1.0
567,259,1.0,1.0
17,23,1.0,1.0
254,532,1.0,1.0
807,806,1.0,1.0
573,571,1.0,1.0
260,597,1.0,1.0
196,243,1.0,1.0
340,64,1.0,1.0
207,493,1.0,1.0
666,747,1.0,1.0
371,337,1.0,1.0
256,183,1.0,1.0
782,306,1.0,1.0
457,912,1.0,1.0
149,369,1.0,1.0
72,237,1.0,1.0
367,720,1.0,1.0
1166,264,1.0,1.0
127,61,1.0,1.0
764,190,1.0,1.0
171,687,1.0,1.0
902,975,0.0,1.0
354,744,1.0,1.0
493,495,1.0,1.0
364,63,1.0,1.0
1226,131,1.0,1.0
96,98,1.0,1.0
775,170,1.0,1.0
71,72,1.0,1.0
824,191,1.0,1.0
576,1054,1.0,1.0
62,152,1.0,1.0
66,368,1.0,1.0
999,511,1.0,1.0
81,217,1.0,1.0
1228,711,1.0,1.0
835,883,0.0,1.0
1040,284,1.0,1.0
444,69,1.0,1.0
212,280,1.0,1.0
883,835,0.0,1.0
1185,360,1.0,1.0
60,148,1.0,1.0
306,66,1.0,1.0
1162,119,0.0,1.0
346,347,1.0,1.0
893,981,1.0,1.0
43,31,1.0,1.0
701,694,1.0,1.0
69,180,1.0,1.0
314,321,1.0,1.0
753,921,1.0,1.0
1133,1131,1.0,1.0
585,1068,1.0,1.0
413,69,1.0,1.0
661,1156,1.0,1.0
42,41,1.0,1.0
303,408,0.0,1.0
258,567,1.0,1.0
52,133,1.0,1.0
54,141,1.0,1.0
421,458,1.0,1.0
577,1059,1.0,1.0
848,69,1.0,1.0
1093,1094,1.0,1.0
91,232,1.0,1.0
693,696,1.0,1.0
824,69,1.0,1.0
62,67,1.0,1.0
976,702,0.0,1.0
289,652,1.0,1.0
1050,1057,1.0,1.0
230,1013,1.0,1.0
419,848,1.0,1.0
1067,1064,1.0,1.0
569,567,1.0,1.0
754,1262,1.0,1.0
