edge_index0,edge_index1,pred,gr
20,0,1.0,1.0
21,0,1.0,1.0
22,0,1.0,1.0
23,0,1.0,1.0
24,1,1.0,1.0
25,2,1.0,1.0
26,3,1.0,1.0
27,4,1.0,1.0
28,4,1.0,1.0
29,6,1.0,1.0
30,6,1.0,1.0
31,6,1.0,1.0
32,6,1.0,1.0
8,7,1.0,1.0
33,8,1.0,1.0
7,8,1.0,1.0
34,8,1.0,1.0
35,9,1.0,1.0
36,9,1.0,1.0
10,9,1.0,1.0
9,10,1.0,1.0
10,12,1.0,1.0
9,12,1.0,1.0
37,14,1.0,1.0
38,14,1.0,1.0
39,15,1.0,1.0
40,15,1.0,1.0
41,15,1.0,1.0
42,16,1.0,1.0
43,16,1.0,1.0
23,17,1.0,1.0
21,17,1.0,1.0
20,17,1.0,1.0
22,17,1.0,1.0
44,18,1.0,1.0
45,18,1.0,1.0
46,18,1.0,1.0
47,18,1.0,1.0
48,19,1.0,1.0
49,19,1.0,1.0
50,19,1.0,1.0
51,20,1.0,1.0
17,20,1.0,1.0
0,20,1.0,1.0
0,21,1.0,1.0
17,21,1.0,1.0
0,22,1.0,1.0
52,22,1.0,1.0
17,22,1.0,1.0
53,23,1.0,1.0
54,23,1.0,1.0
55,23,1.0,1.0
56,23,1.0,1.0
0,23,1.0,1.0
57,23,1.0,1.0
58,23,1.0,1.0
1,24,1.0,1.0
59,25,1.0,1.0
2,25,1.0,1.0
60,25,1.0,1.0
61,25,1.0,1.0
61,25,1.0,1.0
3,26,1.0,1.0
62,27,1.0,1.0
63,27,1.0,1.0
4,27,1.0,1.0
4,28,1.0,1.0
64,28,1.0,1.0
31,29,1.0,1.0
31,29,1.0,1.0
6,29,1.0,1.0
30,29,1.0,1.0
29,30,1.0,1.0
6,30,1.0,1.0
31,30,1.0,1.0
31,30,1.0,1.0
30,31,1.0,1.0
30,31,1.0,1.0
65,31,1.0,1.0
32,31,1.0,1.0
29,31,1.0,1.0
66,31,1.0,1.0
6,31,1.0,1.0
29,31,1.0,1.0
6,32,1.0,1.0
31,32,1.0,1.0
288,34,1.0,1.0
67,34,1.0,1.0
70,34,1.0,1.0
68,34,1.0,1.0
69,34,1.0,1.0
71,34,1.0,1.0
8,34,1.0,1.0
73,34,1.0,1.0
60,34,1.0,1.0
152,34,1.0,1.0
72,34,1.0,1.0
166,34,1.0,1.0
170,34,1.0,1.0
74,34,1.0,1.0
75,34,1.0,1.0
9,35,1.0,1.0
35,36,1.0,1.0
9,36,1.0,1.0
10,36,1.0,1.0
76,37,1.0,1.0
77,37,1.0,1.0
78,37,1.0,1.0
79,37,1.0,1.0
80,37,1.0,1.0
81,37,1.0,1.0
14,37,1.0,1.0
82,37,1.0,1.0
83,38,1.0,1.0
84,38,1.0,1.0
85,38,1.0,1.0
86,38,1.0,1.0
14,38,1.0,1.0
87,38,1.0,1.0
88,39,1.0,1.0
89,39,1.0,1.0
15,39,1.0,1.0
90,40,1.0,1.0
88,40,1.0,1.0
91,40,1.0,1.0
15,40,1.0,1.0
92,40,1.0,1.0
57,41,1.0,1.0
88,41,1.0,1.0
15,41,1.0,1.0
93,42,1.0,1.0
94,42,1.0,1.0
16,42,1.0,1.0
95,43,1.0,1.0
16,43,1.0,1.0
96,44,1.0,1.0
97,44,1.0,1.0
98,44,1.0,1.0
99,44,1.0,1.0
