edge_index0,edge_index1,pred,gr
582,297,1.0,1.0
707,186,1.0,1.0
486,249,1.0,1.0
8,33,1.0,1.0
235,94,1.0,1.0
226,449,1.0,1.0
717,189,1.0,1.0
721,295,1.0,1.0
632,638,1.0,1.0
691,164,0.0,1.0
411,757,1.0,1.0
409,80,1.0,1.0
816,817,1.0,1.0
586,840,1.0,1.0
257,57,1.0,1.0
433,57,1.0,1.0
515,57,1.0,1.0
693,423,1.0,1.0
677,279,1.0,1.0
193,389,0.0,1.0
605,70,1.0,1.0
215,57,1.0,1.0
603,336,1.0,1.0
437,257,1.0,1.0
494,813,1.0,1.0
389,712,1.0,1.0
40,90,1.0,1.0
377,692,1.0,1.0
47,99,1.0,1.0
716,720,1.0,1.0
280,644,1.0,1.0
57,460,1.0,1.0
108,267,1.0,1.0
310,133,1.0,1.0
118,780,0.0,1.0
45,104,1.0,1.0
781,504,1.0,1.0
357,663,1.0,1.0
156,347,1.0,1.0
25,138,0.0,1.0
359,77,1.0,1.0
731,304,1.0,1.0
154,338,1.0,1.0
365,670,1.0,1.0
57,566,1.0,1.0
99,45,1.0,1.0
554,553,1.0,1.0
57,215,1.0,1.0
186,383,1.0,1.0
131,807,0.0,1.0
57,124,1.0,1.0
362,405,1.0,1.0
837,477,1.0,1.0
150,152,1.0,1.0
265,500,1.0,1.0
349,659,1.0,1.0
797,128,1.0,1.0
108,466,1.0,1.0
805,294,1.0,1.0
240,465,1.0,1.0
710,350,1.0,1.0
305,600,1.0,1.0
44,99,1.0,1.0
396,723,1.0,1.0
527,532,1.0,1.0
78,80,1.0,1.0
149,153,1.0,1.0
461,456,1.0,1.0
388,703,1.0,1.0
415,204,1.0,1.0
505,206,1.0,1.0
456,809,1.0,1.0
124,94,1.0,1.0
633,638,1.0,1.0
387,708,1.0,1.0
443,444,1.0,1.0
565,57,1.0,1.0
445,448,1.0,1.0
353,662,1.0,1.0
252,492,1.0,1.0
359,673,1.0,1.0
94,113,1.0,1.0
723,407,1.0,1.0
765,418,1.0,1.0
794,793,1.0,1.0
295,572,1.0,1.0
141,317,1.0,1.0
501,503,1.0,1.0
686,687,1.0,1.0
330,630,1.0,1.0
513,509,1.0,1.0
169,34,1.0,1.0
360,357,1.0,1.0
182,176,1.0,1.0
585,213,1.0,1.0
623,514,1.0,1.0
57,505,1.0,1.0
336,389,1.0,1.0
407,192,1.0,1.0
266,504,1.0,1.0
262,499,1.0,1.0
169,367,1.0,1.0
589,133,1.0,1.0
140,182,1.0,1.0
423,776,1.0,1.0
443,441,1.0,1.0
503,239,1.0,1.0
99,101,1.0,1.0
405,421,1.0,1.0
304,574,1.0,1.0
571,574,1.0,1.0
72,169,1.0,1.0
444,89,1.0,1.0
241,95,1.0,1.0
766,41,1.0,1.0
414,83,1.0,1.0
123,292,1.0,1.0
304,579,1.0,1.0
171,173,1.0,1.0
438,457,1.0,1.0
133,302,1.0,1.0
477,824,1.0,1.0
319,192,1.0,1.0
413,120,1.0,1.0
211,436,1.0,1.0
416,57,1.0,1.0
466,131,1.0,1.0
57,796,1.0,1.0
292,123,1.0,1.0
802,565,1.0,1.0
365,72,1.0,1.0
84,204,1.0,1.0
256,55,1.0,1.0
690,669,1.0,1.0
34,75,1.0,1.0
280,624,1.0,1.0
788,280,1.0,1.0
818,243,1.0,1.0
236,124,1.0,1.0
295,731,1.0,1.0
546,287,1.0,1.0
365,681,1.0,1.0
726,362,0.0,1.0
436,439,1.0,1.0
259,466,1.0,1.0
60,139,1.0,1.0
166,62,1.0,1.0
154,340,1.0,1.0
455,808,1.0,1.0
124,89,1.0,1.0
178,74,1.0,1.0
72,170,1.0,1.0
164,361,1.0,1.0
161,302,1.0,1.0
384,557,1.0,1.0
220,443,1.0,1.0
404,574,1.0,1.0
585,800,1.0,1.0
808,213,1.0,1.0
80,82,1.0,1.0
542,436,1.0,1.0
367,685,1.0,1.0
474,475,1.0,1.0
222,224,1.0,1.0
454,131,1.0,1.0
703,197,1.0,1.0
351,661,1.0,1.0
159,34,1.0,1.0
703,736,1.0,1.0
277,516,1.0,1.0
267,108,1.0,1.0
134,2,0.0,1.0
153,311,1.0,1.0
169,171,1.0,1.0
435,786,1.0,1.0
247,485,1.0,1.0
506,501,1.0,1.0
584,422,1.0,1.0
108,260,1.0,1.0
77,192,1.0,1.0
280,282,1.0,1.0
213,438,1.0,1.0
797,585,1.0,1.0
280,535,1.0,1.0
447,216,1.0,1.0
293,192,1.0,1.0
176,174,1.0,1.0
757,411,1.0,1.0
421,705,1.0,1.0
420,769,1.0,1.0
491,617,1.0,1.0
77,193,1.0,1.0
265,94,1.0,1.0
588,184,0.0,1.0
368,684,1.0,1.0
428,781,1.0,1.0
57,428,1.0,1.0
616,532,1.0,1.0
370,690,1.0,1.0
720,192,1.0,1.0
720,395,1.0,1.0
407,606,1.0,1.0
680,62,1.0,1.0
173,133,1.0,1.0
57,783,1.0,1.0
168,506,1.0,1.0
602,141,1.0,1.0
755,757,1.0,1.0
465,456,1.0,1.0
243,470,1.0,1.0
796,516,1.0,1.0
362,726,0.0,1.0
57,263,1.0,1.0
717,395,1.0,1.0
768,451,1.0,1.0
632,192,1.0,1.0
338,649,1.0,1.0
57,320,1.0,1.0
2,134,0.0,1.0
794,793,1.0,1.0
39,88,1.0,1.0
124,281,1.0,1.0
780,118,0.0,1.0
70,605,1.0,1.0
304,592,1.0,1.0
150,145,1.0,1.0
245,480,1.0,1.0
190,192,1.0,1.0
415,702,1.0,1.0
297,580,1.0,1.0
814,237,1.0,1.0
566,294,1.0,1.0
171,365,1.0,1.0
186,844,1.0,1.0
720,393,1.0,1.0
439,541,1.0,1.0
280,615,0.0,1.0
57,581,1.0,1.0
40,225,1.0,1.0
214,441,1.0,1.0
357,140,1.0,1.0
840,586,1.0,1.0
479,247,1.0,1.0
83,203,1.0,1.0
409,703,1.0,1.0
475,476,1.0,1.0
570,443,1.0,1.0
74,347,1.0,1.0
138,25,0.0,1.0
198,37,1.0,1.0
682,546,1.0,1.0
673,67,1.0,1.0
349,357,1.0,1.0
806,335,1.0,1.0
399,737,1.0,1.0
497,738,1.0,1.0
90,40,1.0,1.0
487,839,1.0,1.0
214,221,1.0,1.0
337,497,1.0,1.0
447,89,1.0,1.0
296,581,1.0,1.0
466,108,1.0,1.0
417,206,1.0,1.0
369,689,1.0,1.0
648,649,1.0,1.0
500,54,0.0,1.0
457,459,1.0,1.0
452,508,1.0,1.0
273,55,1.0,1.0
314,615,1.0,1.0
422,772,1.0,1.0
121,499,1.0,1.0
726,725,1.0,1.0
276,510,1.0,1.0
207,779,1.0,1.0
66,154,1.0,1.0
295,577,1.0,1.0
712,407,1.0,1.0
736,703,1.0,1.0
135,311,1.0,1.0
247,248,1.0,1.0
616,644,1.0,1.0
735,186,1.0,1.0
77,192,1.0,1.0
40,91,1.0,1.0
287,546,1.0,1.0
240,241,1.0,1.0
159,133,1.0,1.0
437,259,1.0,1.0
693,57,1.0,1.0
517,57,1.0,1.0
247,482,0.0,1.0
718,720,1.0,1.0
276,512,1.0,1.0
725,726,1.0,1.0
134,602,1.0,1.0
723,749,1.0,1.0
261,90,1.0,1.0
575,576,1.0,1.0
133,304,1.0,1.0
297,57,1.0,1.0
723,34,1.0,1.0
169,72,1.0,1.0
520,124,1.0,1.0
401,743,1.0,1.0
153,149,1.0,1.0
570,496,1.0,1.0
436,540,1.0,1.0
455,457,1.0,1.0
482,828,1.0,1.0
757,761,1.0,1.0
629,806,1.0,1.0
822,421,1.0,1.0
315,602,1.0,1.0
141,614,1.0,1.0
97,243,1.0,1.0
819,243,1.0,1.0
519,276,1.0,1.0
491,679,1.0,1.0
45,101,1.0,1.0
95,468,1.0,1.0
468,95,1.0,1.0
591,304,1.0,1.0
314,614,1.0,1.0
293,563,1.0,1.0
282,546,1.0,1.0
277,266,1.0,1.0
516,796,1.0,1.0
146,327,1.0,1.0
280,314,1.0,1.0
160,358,1.0,1.0
707,844,1.0,1.0
76,186,1.0,1.0
840,537,0.0,1.0
825,244,1.0,1.0
546,542,1.0,1.0
124,203,1.0,1.0
615,280,0.0,1.0
104,96,1.0,1.0
248,489,1.0,1.0
312,610,1.0,1.0
501,506,1.0,1.0
443,447,1.0,1.0
95,240,1.0,1.0
765,435,1.0,1.0
442,439,1.0,1.0
90,226,1.0,1.0
57,118,1.0,1.0
93,231,1.0,1.0
357,358,1.0,1.0
448,445,1.0,1.0
195,37,1.0,1.0
496,500,1.0,1.0
125,551,1.0,1.0
280,282,1.0,1.0
25,61,1.0,1.0
589,303,1.0,1.0
