edge_index0,edge_index1,pred,gr
536,1049,1.0,1.0
883,725,1.0,1.0
1134,1133,1.0,1.0
570,291,1.0,1.0
1336,1334,1.0,1.0
367,366,1.0,1.0
423,64,1.0,1.0
1177,338,1.0,1.0
733,435,1.0,1.0
125,165,1.0,1.0
615,260,1.0,1.0
64,338,1.0,1.0
85,11,1.0,1.0
1390,1105,1.0,1.0
107,106,1.0,1.0
287,38,1.0,1.0
523,901,1.0,1.0
272,650,1.0,1.0
156,413,1.0,1.0
1147,302,1.0,1.0
77,215,1.0,1.0
67,164,0.0,1.0
1313,1291,1.0,1.0
774,1371,1.0,1.0
406,850,1.0,1.0
1341,1340,1.0,1.0
468,533,1.0,1.0
1161,1169,1.0,1.0
435,412,0.0,1.0
389,833,1.0,1.0
709,1311,1.0,1.0
655,1225,1.0,1.0
716,720,1.0,1.0
313,114,0.0,1.0
1398,810,1.0,1.0
254,92,1.0,1.0
1031,581,1.0,1.0
357,168,1.0,1.0
144,393,1.0,1.0
1236,681,1.0,1.0
27,74,1.0,1.0
755,449,1.0,1.0
358,46,1.0,1.0
1324,835,1.0,1.0
580,1109,1.0,1.0
65,176,1.0,1.0
641,1200,1.0,1.0
783,1180,1.0,1.0
99,281,1.0,1.0
755,125,1.0,1.0
183,470,1.0,1.0
539,1006,1.0,1.0
761,874,1.0,1.0
35,32,1.0,1.0
1059,1281,1.0,1.0
359,767,1.0,1.0
1255,1236,1.0,1.0
988,261,1.0,1.0
694,1253,1.0,1.0
453,177,1.0,1.0
1059,1022,1.0,1.0
928,460,1.0,1.0
1153,604,1.0,1.0
1172,973,1.0,1.0
1252,1040,1.0,1.0
303,699,1.0,1.0
387,1050,0.0,1.0
698,1272,1.0,1.0
44,115,1.0,1.0
357,356,1.0,1.0
64,315,1.0,1.0
127,358,0.0,1.0
453,456,1.0,1.0
1273,1276,1.0,1.0
470,955,1.0,1.0
575,1098,1.0,1.0
1210,1211,1.0,1.0
554,1065,1.0,1.0
57,64,1.0,1.0
1111,1109,1.0,1.0
44,117,0.0,1.0
1264,691,1.0,1.0
107,302,1.0,1.0
734,416,1.0,1.0
65,937,0.0,1.0
852,60,1.0,1.0
461,462,1.0,1.0
784,783,1.0,1.0
85,243,0.0,1.0
1156,1155,1.0,1.0
969,1059,1.0,1.0
1152,257,1.0,1.0
718,1324,1.0,1.0
43,109,1.0,1.0
64,1364,1.0,1.0
209,527,1.0,1.0
1112,1113,1.0,1.0
621,1169,1.0,1.0
630,1183,1.0,1.0
1335,658,1.0,1.0
236,581,1.0,1.0
389,834,1.0,1.0
996,450,1.0,1.0
1164,955,1.0,1.0
868,1052,1.0,1.0
33,34,1.0,1.0
453,461,1.0,1.0
1195,1263,1.0,1.0
926,1202,1.0,1.0
1279,457,1.0,1.0
1298,827,1.0,1.0
269,102,1.0,1.0
808,470,1.0,1.0
1282,966,1.0,1.0
475,973,1.0,1.0
593,245,1.0,1.0
718,1323,1.0,1.0
1315,837,1.0,1.0
753,1361,1.0,1.0
551,1060,1.0,1.0
879,325,1.0,1.0
545,344,1.0,1.0
1020,631,0.0,1.0
1284,570,1.0,1.0
729,1335,1.0,1.0
138,374,1.0,1.0
197,26,1.0,1.0
1354,171,1.0,1.0
81,654,1.0,1.0
456,913,1.0,1.0
591,85,1.0,1.0
1271,303,1.0,1.0
880,737,1.0,1.0
416,387,1.0,1.0
1271,1013,1.0,1.0
359,766,1.0,1.0
1119,459,1.0,1.0
756,341,1.0,1.0
1055,78,1.0,1.0
234,578,1.0,1.0
44,113,1.0,1.0
46,119,1.0,1.0
929,462,1.0,1.0
384,376,1.0,1.0
748,191,1.0,1.0
456,915,1.0,1.0
849,754,1.0,1.0
1059,964,1.0,1.0
377,806,1.0,1.0
1385,568,1.0,1.0
460,461,1.0,1.0
78,219,1.0,1.0
926,176,1.0,1.0
374,783,1.0,1.0
206,204,1.0,1.0
349,127,1.0,1.0
951,1256,1.0,1.0
64,751,1.0,1.0
833,1085,1.0,1.0
704,1290,1.0,1.0
1032,1036,1.0,1.0
410,409,1.0,1.0
596,1135,0.0,1.0
387,385,1.0,1.0
962,1286,1.0,1.0
964,1280,1.0,1.0
776,775,1.0,1.0
64,395,1.0,1.0
941,65,1.0,1.0
116,323,1.0,1.0
133,366,1.0,1.0
12,9,1.0,1.0
1020,122,1.0,1.0
118,327,1.0,1.0
1409,280,1.0,1.0
776,794,1.0,1.0
477,478,1.0,1.0
141,384,1.0,1.0
456,453,1.0,1.0
368,794,1.0,1.0
1279,931,1.0,1.0
548,1025,1.0,1.0
1252,680,1.0,1.0
806,139,1.0,1.0
590,586,1.0,1.0
622,580,1.0,1.0
617,1162,1.0,1.0
297,1164,0.0,1.0
82,227,1.0,1.0
708,1216,1.0,1.0
160,394,1.0,1.0
1259,1260,1.0,1.0
639,93,1.0,1.0
1320,1319,1.0,1.0
1186,260,1.0,1.0
810,811,1.0,1.0
741,64,1.0,1.0
916,297,1.0,1.0
648,1173,1.0,1.0
455,912,0.0,1.0
65,461,1.0,1.0
386,826,1.0,1.0
654,38,1.0,1.0
71,204,1.0,1.0
633,1192,1.0,1.0
1362,752,1.0,1.0
248,593,1.0,1.0
1251,705,1.0,1.0
707,1299,1.0,1.0
172,125,1.0,1.0
233,4,1.0,1.0
486,297,1.0,1.0
581,1031,1.0,1.0
83,1171,1.0,1.0
794,776,1.0,1.0
656,7,1.0,1.0
127,355,1.0,1.0
942,466,1.0,1.0
748,127,1.0,1.0
691,689,1.0,1.0
67,188,1.0,1.0
245,589,1.0,1.0
1152,1245,1.0,1.0
1123,1133,1.0,1.0
281,597,1.0,1.0
265,191,1.0,1.0
710,110,1.0,1.0
876,99,1.0,1.0
765,260,1.0,1.0
356,448,1.0,1.0
452,899,1.0,1.0
619,516,1.0,1.0
948,457,1.0,1.0
1120,1406,1.0,1.0
621,1165,1.0,1.0
204,26,0.0,1.0
199,203,0.0,1.0
570,567,1.0,1.0
154,409,1.0,1.0
