edge_index0,edge_index1,pred,gr
142,321,1.0,1.0
586,524,1.0,1.0
527,935,1.0,1.0
69,721,0.0,1.0
350,649,1.0,1.0
297,300,1.0,1.0
79,167,0.0,1.0
277,558,1.0,1.0
135,314,1.0,1.0
52,847,1.0,1.0
188,427,0.0,1.0
372,4,1.0,1.0
479,869,1.0,1.0
934,931,1.0,1.0
465,223,1.0,1.0
147,207,1.0,1.0
131,42,1.0,1.0
795,707,0.0,1.0
517,921,1.0,1.0
188,423,1.0,1.0
269,548,1.0,1.0
221,115,1.0,1.0
334,610,1.0,1.0
439,806,1.0,1.0
388,386,1.0,1.0
194,392,1.0,1.0
346,641,1.0,1.0
77,81,1.0,1.0
131,310,1.0,1.0
67,34,1.0,1.0
351,652,1.0,1.0
411,185,1.0,1.0
278,263,1.0,1.0
52,571,1.0,1.0
328,145,1.0,1.0
473,222,1.0,1.0
920,187,1.0,1.0
525,251,1.0,1.0
93,238,0.0,1.0
353,925,1.0,1.0
611,519,1.0,1.0
387,389,1.0,1.0
922,615,1.0,1.0
17,45,1.0,1.0
222,754,1.0,1.0
101,245,1.0,1.0
378,699,1.0,1.0
126,281,1.0,1.0
430,462,1.0,1.0
275,552,1.0,1.0
468,94,1.0,1.0
187,753,1.0,1.0
846,52,1.0,1.0
615,562,1.0,1.0
792,431,1.0,1.0
767,931,1.0,1.0
771,222,1.0,1.0
219,365,0.0,1.0
426,377,1.0,1.0
883,52,1.0,1.0
115,278,1.0,1.0
77,195,1.0,1.0
635,931,1.0,1.0
476,584,1.0,1.0
348,648,1.0,1.0
168,171,1.0,1.0
342,349,1.0,1.0
466,236,1.0,1.0
180,724,1.0,1.0
201,205,1.0,1.0
82,204,1.0,1.0
583,282,1.0,1.0
631,316,1.0,1.0
400,71,1.0,1.0
242,96,1.0,1.0
42,89,1.0,1.0
603,78,1.0,1.0
34,209,1.0,1.0
131,305,1.0,1.0
57,133,1.0,1.0
399,71,1.0,1.0
28,71,1.0,1.0
249,517,1.0,1.0
485,888,0.0,1.0
186,407,1.0,1.0
724,181,1.0,1.0
400,729,0.0,1.0
34,24,1.0,1.0
277,278,1.0,1.0
193,375,1.0,1.0
117,282,1.0,1.0
342,352,1.0,1.0
837,378,1.0,1.0
706,692,1.0,1.0
700,118,1.0,1.0
133,134,1.0,1.0
267,275,1.0,1.0
306,597,1.0,1.0
378,579,1.0,1.0
146,341,1.0,1.0
489,280,1.0,1.0
88,277,1.0,1.0
576,208,1.0,1.0
584,118,1.0,1.0
434,793,1.0,1.0
880,52,1.0,1.0
458,827,1.0,1.0
572,570,1.0,1.0
115,279,1.0,1.0
378,704,1.0,1.0
322,136,1.0,1.0
456,65,1.0,1.0
383,250,1.0,1.0
100,102,1.0,1.0
539,52,1.0,1.0
8,34,1.0,1.0
774,426,1.0,1.0
233,108,1.0,1.0
207,201,1.0,1.0
293,281,1.0,1.0
135,136,1.0,1.0
506,910,1.0,1.0
894,842,1.0,1.0
281,95,1.0,1.0
373,369,1.0,1.0
265,264,1.0,1.0
710,813,1.0,1.0
931,741,1.0,1.0
286,577,1.0,1.0
459,87,1.0,1.0
751,742,1.0,1.0
52,301,0.0,1.0
561,111,1.0,1.0
275,551,1.0,1.0
138,34,1.0,1.0
732,730,1.0,1.0
383,382,1.0,1.0
931,855,1.0,1.0
350,650,1.0,1.0
174,394,1.0,1.0
222,848,1.0,1.0
873,493,1.0,1.0
360,361,1.0,1.0
251,517,1.0,1.0
380,706,1.0,1.0
122,55,1.0,1.0
65,152,1.0,1.0
90,479,1.0,1.0
441,809,1.0,1.0
281,293,1.0,1.0
94,238,1.0,1.0
188,348,1.0,1.0
317,139,1.0,1.0
488,280,1.0,1.0
84,200,1.0,1.0
848,222,1.0,1.0
58,78,1.0,1.0
870,495,1.0,1.0
484,276,1.0,1.0
134,133,1.0,1.0
432,788,0.0,1.0
86,212,1.0,1.0
584,222,1.0,1.0
563,536,1.0,1.0
222,472,1.0,1.0
410,185,0.0,1.0
229,285,1.0,1.0
931,934,1.0,1.0
137,138,1.0,1.0
771,469,1.0,1.0
183,403,1.0,1.0
453,82,1.0,1.0
608,612,1.0,1.0
869,364,0.0,1.0
542,222,1.0,1.0
838,672,1.0,1.0
34,200,1.0,1.0
545,473,1.0,1.0
52,89,1.0,1.0
92,122,0.0,1.0
418,770,1.0,1.0
758,836,1.0,1.0
364,608,1.0,1.0
145,338,1.0,1.0
378,702,1.0,1.0
755,420,1.0,1.0
251,525,1.0,1.0
222,855,1.0,1.0
300,590,1.0,1.0
185,407,1.0,1.0
563,221,1.0,1.0
265,495,1.0,1.0
85,193,1.0,1.0
829,823,1.0,1.0
348,193,1.0,1.0
663,648,1.0,1.0
76,193,1.0,1.0
650,155,1.0,1.0
414,754,0.0,1.0
326,608,1.0,1.0
52,125,1.0,1.0
729,448,1.0,1.0
558,88,1.0,1.0
14,485,0.0,1.0
417,768,1.0,1.0
118,785,1.0,1.0
405,733,1.0,1.0
341,65,1.0,1.0
34,79,1.0,1.0
58,60,1.0,1.0
553,814,1.0,1.0
89,131,1.0,1.0
47,98,1.0,1.0
231,266,1.0,1.0
257,302,1.0,1.0
417,762,1.0,1.0
615,803,1.0,1.0
4,166,1.0,1.0
473,857,1.0,1.0
294,281,1.0,1.0
868,672,1.0,1.0
58,67,1.0,1.0
620,630,0.0,1.0
407,736,1.0,1.0
247,514,0.0,1.0
52,110,1.0,1.0
94,108,1.0,1.0
378,262,1.0,1.0
188,424,1.0,1.0
137,24,1.0,1.0
44,94,1.0,1.0
114,272,1.0,1.0
606,655,1.0,1.0
