edge_index0,edge_index1,pred,gr
655,1231,1.0,1.0
1653,941,1.0,1.0
1419,757,1.0,1.0
362,352,1.0,1.0
1637,1566,1.0,1.0
460,459,1.0,1.0
1106,64,1.0,1.0
583,579,1.0,1.0
517,426,1.0,1.0
951,840,1.0,1.0
582,565,1.0,1.0
137,427,1.0,1.0
792,319,1.0,1.0
1940,1903,1.0,1.0
64,426,1.0,1.0
853,718,1.0,1.0
87,11,1.0,1.0
1282,1799,0.0,1.0
364,563,1.0,1.0
1689,1390,1.0,1.0
1423,1964,1.0,1.0
118,115,1.0,1.0
1240,1238,1.0,1.0
328,38,1.0,1.0
642,1216,1.0,1.0
1703,1658,1.0,1.0
337,831,1.0,1.0
1309,1878,0.0,1.0
168,417,1.0,1.0
1501,1064,1.0,1.0
1428,378,1.0,1.0
80,259,1.0,1.0
67,228,0.0,1.0
1938,1559,1.0,1.0
1253,1254,1.0,1.0
1269,1578,1.0,1.0
1801,813,1.0,1.0
974,1661,1.0,1.0
496,1081,1.0,1.0
1428,1311,0.0,1.0
1916,1903,1.0,1.0
1017,895,1.0,1.0
1268,1835,1.0,1.0
1096,1097,1.0,1.0
1140,653,0.0,1.0
791,1440,1.0,1.0
840,502,1.0,1.0
1943,738,1.0,1.0
2195,2200,1.0,1.0
367,894,1.0,1.0
1586,2044,1.0,1.0
1722,2017,1.0,1.0
1918,2196,1.0,1.0
368,369,1.0,1.0
923,927,1.0,1.0
379,126,1.0,1.0
1696,1044,1.0,1.0
2256,67,1.0,1.0
1345,1336,1.0,1.0
313,94,1.0,1.0
1328,754,1.0,1.0
450,527,1.0,1.0
1571,1953,1.0,1.0
2269,2175,1.0,1.0
1527,2247,1.0,1.0
156,485,1.0,1.0
1916,1352,1.0,1.0
1502,857,1.0,1.0
27,76,1.0,1.0
388,199,1.0,1.0
2091,991,1.0,1.0
979,975,1.0,1.0
2185,1620,1.0,1.0
1338,1916,1.0,1.0
451,46,1.0,1.0
884,918,1.0,1.0
739,1382,1.0,1.0
627,625,1.0,1.0
1103,567,1.0,1.0
65,1198,1.0,1.0
1821,858,1.0,1.0
818,1464,1.0,1.0
1009,1455,1.0,1.0
101,334,1.0,1.0
979,137,1.0,1.0
887,566,1.0,1.0
1494,1064,1.0,1.0
97,329,1.0,1.0
982,1115,1.0,1.0
35,32,1.0,1.0
704,713,1.0,1.0
452,995,1.0,1.0
1503,1502,1.0,1.0
1609,320,1.0,1.0
1762,669,1.0,1.0
564,546,1.0,1.0
704,728,1.0,1.0
363,729,1.0,1.0
596,1154,1.0,1.0
1522,1517,1.0,1.0
67,1232,1.0,1.0
578,577,1.0,1.0
1710,577,1.0,1.0
1997,1999,1.0,1.0
1200,592,1.0,1.0
1622,1625,1.0,1.0
1739,444,1.0,1.0
1432,776,1.0,1.0
1450,1321,1.0,1.0
1509,1278,1.0,1.0
2126,2099,1.0,1.0
1174,1196,1.0,1.0
480,587,1.0,1.0
853,284,1.0,1.0
1764,1593,1.0,1.0
2140,2006,1.0,1.0
44,127,1.0,1.0
450,449,1.0,1.0
1976,26,1.0,1.0
1272,1847,1.0,1.0
64,398,1.0,1.0
139,451,0.0,1.0
2096,1791,1.0,1.0
757,1406,1.0,1.0
564,199,1.0,1.0
1787,1756,1.0,1.0
566,1549,1.0,1.0
746,1397,1.0,1.0
1989,1988,1.0,1.0
1060,614,1.0,1.0
2171,1286,1.0,1.0
759,383,1.0,1.0
1339,1369,1.0,1.0
57,64,1.0,1.0
1967,1382,1.0,1.0
1830,1569,1.0,1.0
44,129,1.0,1.0
1558,893,1.0,1.0
118,378,1.0,1.0
955,505,1.0,1.0
65,603,1.0,1.0
1154,204,1.0,1.0
486,60,1.0,1.0
929,1601,1.0,1.0
192,201,1.0,1.0
1859,937,1.0,1.0
1010,1009,1.0,1.0
964,1651,1.0,1.0
87,300,1.0,1.0
1821,2157,1.0,1.0
1434,1433,1.0,1.0
1902,704,1.0,1.0
1386,316,1.0,1.0
925,884,1.0,1.0
2026,964,1.0,1.0
43,121,1.0,1.0
64,983,1.0,1.0
232,647,1.0,1.0
1858,1298,1.0,1.0
2204,1385,1.0,1.0
2206,316,1.0,1.0
798,1440,1.0,1.0
612,611,1.0,1.0
1636,842,1.0,1.0
294,754,1.0,1.0
937,1620,1.0,1.0
2244,1519,1.0,1.0
367,370,1.0,1.0
1436,1971,1.0,1.0
1165,1662,1.0,1.0
869,729,1.0,1.0
1448,1549,1.0,1.0
1733,1287,1.0,1.0
1167,798,1.0,1.0
364,1188,1.0,1.0
1490,1726,1.0,1.0
33,34,1.0,1.0
1608,391,1.0,1.0
564,192,1.0,1.0
1264,1557,1.0,1.0
105,341,1.0,1.0
668,1299,1.0,1.0
1878,675,1.0,1.0
2039,1321,1.0,1.0
1223,1465,1.0,1.0
