edge_index0,edge_index1,pred,gr
1060,1471,1.0,1.0
156,394,1.0,1.0
775,505,1.0,1.0
1327,1363,1.0,1.0
784,1109,1.0,1.0
799,1318,1.0,1.0
1803,1373,1.0,1.0
1936,1075,1.0,1.0
1228,764,1.0,1.0
294,661,1.0,1.0
71,909,0.0,1.0
1569,1607,1.0,1.0
1775,1003,1.0,1.0
1917,1916,1.0,1.0
1109,1306,1.0,1.0
424,881,1.0,1.0
343,347,1.0,1.0
84,195,0.0,1.0
254,601,1.0,1.0
81,227,1.0,1.0
52,119,1.0,1.0
939,1472,1.0,1.0
216,524,1.0,1.0
294,667,1.0,1.0
447,4,1.0,1.0
267,622,0.0,1.0
1650,631,1.0,1.0
1202,1003,1.0,1.0
1447,1483,1.0,1.0
581,269,1.0,1.0
161,243,1.0,1.0
141,42,1.0,1.0
1488,1052,1.0,1.0
716,1247,1.0,1.0
1182,1683,1.0,1.0
1246,1747,1.0,1.0
1034,457,1.0,1.0
676,510,1.0,1.0
1836,992,1.0,1.0
216,517,1.0,1.0
1196,430,1.0,1.0
1059,1060,1.0,1.0
307,700,1.0,1.0
260,582,1.0,1.0
52,1281,1.0,1.0
404,843,1.0,1.0
1862,989,0.0,1.0
367,142,1.0,1.0
541,1048,1.0,1.0
472,470,1.0,1.0
222,453,1.0,1.0
1433,415,1.0,1.0
419,869,1.0,1.0
1613,1003,1.0,1.0
1249,1750,1.0,1.0
1770,752,0.0,1.0
52,1226,1.0,1.0
79,83,1.0,1.0
141,357,1.0,1.0
314,705,1.0,1.0
69,34,1.0,1.0
425,884,1.0,1.0
1629,897,1.0,1.0
496,213,1.0,1.0
1864,989,1.0,1.0
843,1258,1.0,1.0
1900,775,1.0,1.0
600,614,1.0,1.0
52,118,1.0,1.0
271,1205,1.0,1.0
1105,1645,1.0,1.0
1481,578,1.0,1.0
401,159,1.0,1.0
1234,1271,1.0,1.0
940,941,1.0,1.0
1163,1987,1.0,1.0
1463,1840,1.0,1.0
474,818,1.0,1.0
1323,1321,1.0,1.0
1097,253,1.0,1.0
1200,215,1.0,1.0
1204,298,1.0,1.0
98,285,1.0,1.0
236,571,0.0,1.0
623,1160,1.0,1.0
847,678,0.0,1.0
471,473,1.0,1.0
389,810,1.0,1.0
1287,333,1.0,1.0
532,918,1.0,1.0
17,45,1.0,1.0
1711,1529,1.0,1.0
722,723,1.0,1.0
253,611,0.0,1.0
1951,468,1.0,1.0
726,1255,1.0,1.0
106,292,1.0,1.0
468,948,1.0,1.0
137,344,1.0,1.0
1004,593,1.0,1.0
530,578,1.0,1.0
331,758,1.0,1.0
69,183,1.0,1.0
604,99,1.0,1.0
215,996,1.0,1.0
718,52,1.0,1.0
810,387,1.0,1.0
1019,1466,1.0,1.0
165,416,1.0,1.0
1032,531,1.0,1.0
889,1443,1.0,1.0
1848,1003,1.0,1.0
1012,253,1.0,1.0
679,215,1.0,1.0
252,431,0.0,1.0
483,970,1.0,1.0
518,462,1.0,1.0
746,52,1.0,1.0
582,600,1.0,1.0
1926,1053,1.0,1.0
1689,925,1.0,1.0
1236,1235,1.0,1.0
1205,1534,1.0,1.0
79,223,1.0,1.0
848,1380,1.0,1.0
1993,1947,0.0,1.0
1262,1183,1.0,1.0
227,1824,1.0,1.0
727,879,1.0,1.0
863,1003,1.0,1.0
1196,1710,1.0,1.0
1884,1009,1.0,1.0
1960,1182,1.0,1.0
1440,1832,1.0,1.0
1516,1519,1.0,1.0
1134,1120,1.0,1.0
1654,468,1.0,1.0
422,235,1.0,1.0
197,199,1.0,1.0
1327,1787,1.0,1.0
1115,773,1.0,1.0
172,423,1.0,1.0
603,125,1.0,1.0
703,1235,1.0,1.0
208,486,1.0,1.0
1205,1741,1.0,1.0
234,241,1.0,1.0
87,225,1.0,1.0
891,1196,1.0,1.0
1415,1508,1.0,1.0
1007,620,1.0,1.0
859,229,1.0,1.0
1862,1863,1.0,1.0
481,73,1.0,1.0
289,101,1.0,1.0
1754,726,1.0,1.0
42,94,1.0,1.0
1938,1390,1.0,1.0
151,82,1.0,1.0
1424,796,1.0,1.0
34,226,1.0,1.0
141,352,1.0,1.0
58,146,1.0,1.0
480,73,1.0,1.0
28,73,1.0,1.0
296,676,1.0,1.0
633,1163,1.0,1.0
214,492,1.0,1.0
925,1689,1.0,1.0
569,1079,1.0,1.0
486,209,1.0,1.0
1630,1322,1.0,1.0
932,926,1.0,1.0
311,314,1.0,1.0
1620,420,1.0,1.0
481,515,1.0,1.0
34,24,1.0,1.0
254,600,1.0,1.0
702,1227,1.0,1.0
221,460,1.0,1.0
266,620,1.0,1.0
172,420,1.0,1.0
1094,468,1.0,1.0
456,916,1.0,1.0
1969,1193,1.0,1.0
956,259,1.0,1.0
1602,541,1.0,1.0
851,1386,1.0,1.0
146,147,1.0,1.0
306,331,1.0,1.0
353,789,1.0,1.0
468,1635,1.0,1.0
1874,1003,1.0,1.0
1810,462,1.0,1.0
160,413,1.0,1.0
474,1491,1.0,1.0
638,329,1.0,1.0
93,254,1.0,1.0
754,244,1.0,1.0
848,1382,1.0,1.0
1120,259,1.0,1.0
833,1364,1.0,1.0
534,795,1.0,1.0
747,52,1.0,1.0
1733,1586,1.0,1.0
1271,332,1.0,1.0
1313,1612,1.0,1.0
1665,1338,1.0,1.0
574,1086,1.0,1.0
760,1278,1.0,1.0
1718,1973,1.0,1.0
707,706,1.0,1.0
582,262,1.0,1.0
468,1448,1.0,1.0
395,66,0.0,1.0
650,1177,1.0,1.0
421,67,1.0,1.0
1076,1629,1.0,1.0
559,1824,1.0,1.0
1440,1835,1.0,1.0
465,297,1.0,1.0
105,107,1.0,1.0
619,52,1.0,1.0
8,34,1.0,1.0
1876,881,1.0,1.0
430,336,1.0,1.0
1018,518,1.0,1.0
1195,1342,1.0,1.0
538,1700,0.0,1.0
1896,1895,1.0,1.0
1067,1619,1.0,1.0
52,122,1.0,1.0
144,368,1.0,1.0
902,1450,1.0,1.0
613,598,1.0,1.0
281,113,1.0,1.0
1842,462,1.0,1.0
243,234,1.0,1.0
1835,1071,1.0,1.0
339,344,1.0,1.0
81,66,1.0,1.0
1423,1630,1.0,1.0
1991,1718,1.0,1.0
658,1184,1.0,1.0
1127,1660,1.0,1.0
769,1107,1.0,1.0
344,100,1.0,1.0
457,925,1.0,1.0
1412,1220,1.0,1.0
1516,861,1.0,1.0
448,190,1.0,1.0
1076,199,1.0,1.0
303,302,1.0,1.0
1996,1718,1.0,1.0
537,563,1.0,1.0
941,1475,1.0,1.0
538,1044,1.0,1.0
1003,982,1.0,1.0
337,772,1.0,1.0
865,1420,1.0,1.0
575,92,1.0,1.0
1757,1941,1.0,1.0
1205,271,1.0,1.0
992,983,1.0,1.0
52,348,1.0,1.0
791,253,1.0,1.0
256,616,1.0,1.0
331,756,1.0,1.0
1743,722,1.0,1.0
152,34,1.0,1.0
1068,1382,0.0,1.0
973,483,1.0,1.0
1646,1944,1.0,1.0
465,464,1.0,1.0
1003,1057,1.0,1.0
424,882,1.0,1.0
1731,1586,1.0,1.0
202,476,1.0,1.0
995,1363,1.0,1.0
253,1100,1.0,1.0
1344,961,1.0,1.0
1737,1718,1.0,1.0
1003,1539,1.0,1.0
731,445,1.0,1.0
1741,1221,1.0,1.0
626,642,1.0,1.0
436,437,1.0,1.0
143,84,1.0,1.0
298,676,1.0,1.0
1,598,0.0,1.0
1724,1004,1.0,1.0
194,456,1.0,1.0
1823,859,1.0,1.0
133,55,1.0,1.0
1036,828,1.0,1.0
67,171,1.0,1.0
95,267,1.0,1.0
542,1051,1.0,1.0
955,1326,1.0,1.0
1901,298,1.0,1.0
344,339,1.0,1.0
1715,295,1.0,1.0
1557,1559,1.0,1.0
369,806,1.0,1.0
99,285,1.0,1.0
216,422,1.0,1.0
545,187,1.0,1.0
253,791,1.0,1.0
886,1440,1.0,1.0
1107,1650,1.0,1.0
154,388,1.0,1.0
709,1245,1.0,1.0
388,1593,1.0,1.0
1392,1396,1.0,1.0
1600,1923,1.0,1.0
376,150,1.0,1.0
637,329,1.0,1.0
1346,962,0.0,1.0
80,149,1.0,1.0
1100,253,1.0,1.0
59,82,1.0,1.0
1109,1307,1.0,1.0
1102,1644,1.0,1.0
623,334,1.0,1.0
330,742,1.0,1.0
147,146,1.0,1.0
1945,1723,1.0,1.0
532,1029,1.0,1.0
515,1015,1.0,1.0
1004,1534,1.0,1.0
91,247,1.0,1.0
1120,253,1.0,1.0
1699,1754,1.0,1.0
1722,1726,1.0,1.0
1949,1634,1.0,1.0
1718,1995,1.0,1.0
1686,1480,1.0,1.0
1026,1354,1.0,1.0
1136,261,1.0,1.0
1862,1511,1.0,1.0
509,808,1.0,1.0
253,1101,1.0,1.0
1029,1586,1.0,1.0
495,213,0.0,1.0
276,621,1.0,1.0
1817,859,0.0,1.0
1003,1202,1.0,1.0
148,152,1.0,1.0
592,784,1.0,1.0
1405,1442,1.0,1.0
1193,1575,1.0,1.0
1012,605,1.0,1.0
832,1362,1.0,1.0
1992,1718,1.0,1.0
211,488,1.0,1.0
375,87,1.0,1.0
1798,1799,1.0,1.0
1286,1766,0.0,1.0
1910,672,1.0,1.0
840,842,1.0,1.0
1191,196,1.0,1.0
1740,2001,1.0,1.0
953,1073,1.0,1.0
831,830,1.0,1.0
1021,537,1.0,1.0
622,439,1.0,1.0
462,929,1.0,1.0
1901,1301,1.0,1.0
773,253,1.0,1.0
683,900,1.0,1.0
34,149,1.0,1.0
834,154,1.0,1.0
590,1097,1.0,1.0
52,94,1.0,1.0
97,133,0.0,1.0
499,994,1.0,1.0
1043,1598,1.0,1.0
1004,1637,1.0,1.0
439,840,1.0,1.0
159,412,1.0,1.0
1597,1922,1.0,1.0
468,952,1.0,1.0
257,1275,1.0,1.0
997,504,1.0,1.0
1234,52,1.0,1.0
298,1204,1.0,1.0
940,945,1.0,1.0
221,527,1.0,1.0
1476,1614,1.0,1.0
253,1057,1.0,1.0
1286,1767,1.0,1.0
1138,1342,1.0,1.0
1729,688,1.0,1.0
347,782,1.0,1.0
1545,580,1.0,1.0
861,808,1.0,1.0
213,492,1.0,1.0
1340,1138,1.0,1.0
1136,260,1.0,1.0
1773,1373,1.0,1.0
1393,939,1.0,1.0
1678,1676,1.0,1.0
1489,1364,1.0,1.0
1080,1018,1.0,1.0
1576,830,1.0,1.0
303,334,1.0,1.0
90,221,1.0,1.0
1088,1072,1.0,1.0
1305,1140,1.0,1.0
422,221,1.0,1.0
309,308,1.0,1.0
764,1282,1.0,1.0
1502,1505,1.0,1.0
1385,1819,1.0,1.0
86,235,1.0,1.0
78,221,1.0,1.0
882,177,1.0,1.0
501,611,1.0,1.0
391,810,1.0,1.0
1297,1003,1.0,1.0
399,840,1.0,1.0
52,136,1.0,1.0
1570,222,1.0,1.0
515,554,0.0,1.0
1999,1739,1.0,1.0
601,93,1.0,1.0
801,800,1.0,1.0
1176,132,1.0,1.0
844,1376,1.0,1.0
14,633,1.0,1.0
1476,1849,1.0,1.0
259,612,1.0,1.0
646,329,1.0,1.0
1371,1599,1.0,1.0
1989,863,1.0,1.0
1814,420,1.0,1.0
702,1234,1.0,1.0
253,1653,1.0,1.0
1503,1003,1.0,1.0
1263,1757,1.0,1.0
490,974,1.0,1.0
1389,1365,1.0,1.0
19,1300,0.0,1.0
430,889,1.0,1.0
1801,1003,1.0,1.0
413,67,1.0,1.0
763,1279,1.0,1.0
34,84,1.0,1.0
1874,1196,1.0,1.0
59,61,1.0,1.0
759,1065,1.0,1.0
1088,1633,1.0,1.0
94,141,1.0,1.0
47,103,1.0,1.0
1013,215,1.0,1.0
278,304,1.0,1.0
1368,1815,1.0,1.0
744,349,1.0,1.0
1476,1616,1.0,1.0
1327,1794,1.0,1.0
1468,1471,1.0,1.0
796,1314,1.0,1.0
810,154,1.0,1.0
944,1471,1.0,1.0
4,191,1.0,1.0
1332,1800,1.0,1.0
586,1121,1.0,1.0
1097,1121,1.0,1.0
340,344,1.0,1.0
363,900,0.0,1.0
59,69,1.0,1.0
853,426,1.0,1.0
492,977,1.0,1.0
1370,1816,1.0,1.0
824,222,1.0,1.0
1304,640,1.0,1.0
724,222,1.0,1.0
1860,992,1.0,1.0
294,673,1.0,1.0
52,1173,1.0,1.0
1881,1536,1.0,1.0
99,113,1.0,1.0
154,383,1.0,1.0
912,906,1.0,1.0
52,117,1.0,1.0
468,615,1.0,1.0
216,516,1.0,1.0
1196,512,1.0,1.0
283,646,1.0,1.0
148,24,1.0,1.0
44,99,1.0,1.0
755,1267,1.0,1.0
389,831,1.0,1.0
1947,1994,1.0,1.0
838,822,1.0,1.0
1556,773,1.0,1.0
1529,1525,1.0,1.0
939,1391,1.0,1.0
1805,1361,1.0,1.0
149,34,1.0,1.0
996,215,1.0,1.0
1797,1398,1.0,1.0
1196,1705,1.0,1.0
1473,813,1.0,1.0
314,312,1.0,1.0
1067,878,1.0,1.0
392,233,1.0,1.0
1153,342,1.0,1.0
52,344,1.0,1.0
315,259,1.0,1.0
373,179,1.0,1.0
267,625,1.0,1.0
993,1527,1.0,1.0
1205,1733,1.0,1.0
