edge_index0,edge_index1,pred,gr
387,1032,1.0,1.0
767,414,1.0,1.0
222,371,1.0,1.0
272,273,0.0,1.0
605,62,1.0,1.0
799,1181,1.0,1.0
1007,324,1.0,1.0
1033,1028,1.0,1.0
105,257,1.0,1.0
1173,1189,1.0,1.0
62,1181,1.0,1.0
77,11,0.0,1.0
942,1307,0.0,1.0
776,1158,0.0,1.0
93,227,0.0,1.0
672,669,1.0,1.0
210,38,1.0,1.0
382,714,0.0,1.0
1153,1287,1.0,1.0
702,1361,1.0,1.0
309,252,1.0,1.0
668,489,1.0,1.0
70,375,1.0,1.0
1341,1342,0.0,1.0
1362,1239,1.0,1.0
1195,447,0.0,1.0
519,905,0.0,1.0
306,592,1.0,1.0
668,1064,0.0,1.0
936,1011,0.0,1.0
332,634,1.0,1.0
438,839,1.0,1.0
324,310,1.0,1.0
291,571,1.0,1.0
727,221,1.0,1.0
867,498,1.0,1.0
826,95,0.0,1.0
946,560,0.0,1.0
195,83,1.0,1.0
691,745,1.0,1.0
454,591,1.0,1.0
123,301,1.0,1.0
27,171,1.0,1.0
336,331,1.0,1.0
912,522,1.0,1.0
264,46,1.0,1.0
1357,576,0.0,1.0
748,780,1.0,1.0
1202,1200,0.0,1.0
63,343,1.0,1.0
453,814,1.0,1.0
541,1267,0.0,1.0
87,214,0.0,1.0
912,105,1.0,1.0
86,211,1.0,1.0
528,918,1.0,1.0
35,32,1.0,1.0
1218,1247,1.0,1.0
521,534,1.0,1.0
1240,1091,1.0,1.0
330,994,1.0,1.0
1218,500,1.0,1.0
226,486,1.0,1.0
1021,144,1.0,1.0
65,1334,1.0,1.0
1126,425,1.0,1.0
797,657,1.0,1.0
847,342,1.0,1.0
292,724,1.0,1.0
1242,1326,1.0,1.0
44,97,0.0,1.0
454,265,1.0,1.0
1183,26,0.0,1.0
62,240,1.0,1.0
107,264,1.0,1.0
414,764,0.0,1.0
330,331,1.0,1.0
660,1054,1.0,1.0
516,901,1.0,1.0
575,346,1.0,1.0
501,876,1.0,1.0
57,62,1.0,1.0
1101,864,1.0,1.0
93,489,1.0,1.0
63,621,1.0,1.0
144,335,1.0,1.0
296,59,1.0,1.0
337,646,0.0,1.0
677,600,1.0,1.0
1030,1052,1.0,1.0
77,755,1.0,1.0
786,784,0.0,1.0
1162,198,1.0,1.0
967,1357,0.0,1.0
43,488,1.0,1.0
62,1167,1.0,1.0
168,719,0.0,1.0
439,839,1.0,1.0
1104,1336,1.0,1.0
399,745,1.0,1.0
291,484,1.0,1.0
788,1171,0.0,1.0
1133,1227,0.0,1.0
852,486,1.0,1.0
795,901,0.0,1.0
1003,726,0.0,1.0
33,34,1.0,1.0
330,677,1.0,1.0
1245,334,1.0,1.0
870,1262,1.0,1.0
470,89,1.0,1.0
559,516,1.0,1.0
659,1053,1.0,1.0
340,657,1.0,1.0
413,412,1.0,1.0
967,968,0.0,1.0
1366,579,0.0,1.0
1270,807,1.0,1.0
393,259,1.0,1.0
666,1061,0.0,1.0
92,222,1.0,1.0
1336,1334,1.0,1.0
117,279,0.0,1.0
877,495,1.0,1.0
1200,1202,0.0,1.0
163,26,1.0,1.0
894,325,0.0,1.0
73,173,1.0,1.0
331,627,1.0,1.0
661,847,0.0,1.0
661,1055,1.0,1.0
521,883,1.0,1.0
752,148,0.0,1.0
909,917,0.0,1.0
1130,741,1.0,1.0
857,1256,0.0,1.0
336,338,0.0,1.0
44,96,0.0,1.0
46,99,1.0,1.0
832,820,0.0,1.0
288,281,0.0,1.0
513,152,1.0,1.0
331,995,1.0,1.0
593,639,1.0,1.0
282,557,0.0,1.0
935,934,0.0,1.0
741,1131,0.0,1.0
815,343,1.0,1.0
279,541,0.0,1.0
156,154,1.0,1.0
62,1182,1.0,1.0
571,91,1.0,1.0
336,337,1.0,1.0
347,234,1.0,1.0
1088,1371,1.0,1.0
308,307,1.0,1.0
420,768,0.0,1.0
717,1117,1.0,1.0
500,1364,1.0,1.0
537,540,0.0,1.0
62,313,1.0,1.0
98,245,0.0,1.0
112,273,0.0,1.0
12,9,0.0,1.0
666,102,1.0,1.0
617,512,1.0,1.0
1155,213,0.0,1.0
537,553,0.0,1.0
120,288,0.0,1.0
331,330,1.0,1.0
1245,644,1.0,1.0
798,1178,1.0,1.0
557,118,0.0,1.0
416,410,1.0,1.0
844,748,1.0,1.0
790,1172,0.0,1.0
492,795,1.0,1.0
62,982,1.0,1.0
74,177,0.0,1.0
577,972,1.0,1.0
133,312,1.0,1.0
450,84,0.0,1.0
848,201,1.0,1.0
641,1040,0.0,1.0
560,561,0.0,1.0
1316,1297,0.0,1.0
1029,492,1.0,1.0
1026,1021,1.0,1.0
63,677,1.0,1.0
985,588,1.0,1.0
289,569,0.0,1.0
173,38,1.0,1.0
67,154,1.0,1.0
189,413,1.0,1.0
63,144,1.0,1.0
965,408,1.0,1.0
901,1174,0.0,1.0
526,105,1.0,1.0
1126,1256,0.0,1.0
745,691,1.0,1.0
75,180,0.0,1.0
553,537,0.0,1.0
728,7,0.0,1.0
1146,420,0.0,1.0
513,107,1.0,1.0
223,477,0.0,1.0
226,485,1.0,1.0
412,758,1.0,1.0
188,414,0.0,1.0
214,421,0.0,1.0
206,152,1.0,1.0
1011,87,0.0,1.0
1005,201,1.0,1.0
1336,1335,1.0,1.0
265,533,0.0,1.0
437,656,1.0,1.0
633,334,1.0,1.0
636,1032,1.0,1.0
751,955,0.0,1.0
439,796,0.0,1.0
154,26,1.0,1.0
455,818,1.0,1.0
886,1276,0.0,1.0
879,1249,1.0,1.0
130,307,1.0,1.0
137,318,1.0,1.0
473,395,1.0,1.0
877,496,1.0,1.0
959,656,1.0,1.0
59,61,1.0,1.0
412,413,1.0,1.0
438,81,1.0,1.0
1174,901,0.0,1.0
1295,255,1.0,1.0
63,1025,1.0,1.0
1189,580,1.0,1.0
137,982,0.0,1.0
1221,518,0.0,1.0
492,232,1.0,1.0
569,956,0.0,1.0
516,904,0.0,1.0
91,291,1.0,1.0
928,1309,0.0,1.0
376,70,0.0,1.0
918,529,1.0,1.0
698,469,1.0,1.0
198,438,1.0,1.0
1095,446,1.0,1.0
330,625,1.0,1.0
554,277,0.0,1.0
271,539,0.0,1.0
588,985,1.0,1.0
566,995,0.0,0.0
1323,53,0.0,0.0
805,883,1.0,0.0
1083,771,0.0,0.0
608,931,0.0,0.0
175,951,0.0,0.0
537,1065,0.0,0.0
306,1211,1.0,0.0
1233,330,1.0,0.0
458,106,1.0,0.0
1144,399,0.0,0.0
631,1052,0.0,0.0
246,69,1.0,0.0
52,1254,0.0,0.0
597,1251,0.0,0.0
1070,319,1.0,0.0
182,443,0.0,0.0
886,188,0.0,0.0
1,773,0.0,0.0
464,905,0.0,0.0
838,453,1.0,0.0
1301,556,0.0,0.0
259,316,0.0,0.0
305,277,0.0,0.0
637,1254,1.0,0.0
1056,775,0.0,0.0
770,186,0.0,0.0
978,1232,0.0,0.0
171,37,0.0,0.0
397,948,1.0,0.0
863,821,0.0,0.0
1066,1362,1.0,0.0
52,1038,0.0,0.0
253,572,0.0,0.0
523,885,0.0,0.0
139,1218,1.0,0.0
1075,264,1.0,0.0
629,755,1.0,0.0
1281,657,0.0,0.0
1123,141,0.0,0.0
1129,658,0.0,0.0
501,215,0.0,0.0
312,340,1.0,0.0
652,920,0.0,0.0
1258,961,0.0,0.0
542,1119,0.0,0.0
190,839,0.0,0.0
919,963,1.0,0.0
339,964,0.0,0.0
1251,134,1.0,0.0
