edge_index0,edge_index1,pred,gr
111,225,1.0,1.0
718,734,0.0,1.0
379,676,1.0,1.0
405,708,1.0,1.0
65,536,0.0,1.0
676,400,1.0,1.0
247,449,1.0,1.0
203,205,1.0,1.0
73,778,0.0,1.0
327,593,1.0,1.0
76,304,1.0,1.0
52,953,1.0,1.0
139,274,1.0,1.0
243,4,0.0,1.0
170,328,1.0,1.0
652,814,1.0,1.0
924,930,1.0,1.0
602,332,1.0,1.0
725,433,1.0,1.0
106,42,1.0,1.0
630,996,0.0,1.0
523,249,1.0,1.0
363,270,1.0,1.0
280,519,0.0,1.0
404,107,0.0,1.0
446,758,0.0,1.0
465,463,1.0,1.0
145,290,0.0,1.0
764,303,0.0,1.0
550,152,0.0,1.0
106,213,0.0,1.0
62,34,1.0,1.0
275,509,0.0,1.0
892,437,1.0,1.0
268,136,0.0,1.0
326,590,1.0,1.0
173,650,1.0,1.0
582,934,0.0,1.0
713,720,0.0,1.0
703,217,1.0,1.0
644,138,1.0,1.0
85,182,1.0,1.0
298,646,1.0,1.0
329,598,0.0,1.0
897,365,1.0,1.0
464,466,1.0,1.0
230,423,1.0,1.0
17,45,1.0,1.0
94,191,0.0,1.0
347,382,1.0,1.0
277,317,0.0,1.0
302,554,0.0,1.0
62,117,0.0,1.0
320,86,1.0,1.0
138,898,1.0,1.0
952,52,1.0,1.0
423,981,1.0,1.0
543,896,1.0,1.0
521,278,0.0,1.0
458,217,1.0,1.0
167,441,1.0,1.0
471,788,1.0,1.0
538,742,1.0,1.0
325,326,1.0,1.0
1007,455,0.0,1.0
550,902,0.0,1.0
448,148,0.0,1.0
127,255,1.0,1.0
695,667,1.0,1.0
558,559,1.0,1.0
588,181,1.0,1.0
258,472,1.0,1.0
650,1038,1.0,1.0
431,740,1.0,1.0
430,156,1.0,1.0
574,155,1.0,1.0
789,67,1.0,1.0
188,88,0.0,1.0
42,81,1.0,1.0
419,114,0.0,1.0
34,157,1.0,1.0
106,211,0.0,1.0
561,285,1.0,1.0
28,67,0.0,1.0
195,363,0.0,1.0
137,264,0.0,1.0
455,1007,0.0,1.0
472,131,1.0,1.0
894,779,1.0,1.0
34,24,1.0,1.0
327,326,1.0,1.0
607,971,0.0,1.0
558,567,1.0,1.0
675,185,1.0,1.0
285,912,1.0,1.0
348,302,1.0,1.0
531,350,1.0,1.0
210,388,0.0,1.0
340,343,1.0,1.0
80,327,1.0,1.0
993,153,0.0,1.0
282,398,0.0,1.0
1030,1026,1.0,1.0
311,569,1.0,1.0
325,324,1.0,1.0
226,58,0.0,1.0
310,549,1.0,1.0
542,892,1.0,1.0
957,196,1.0,1.0
92,93,0.0,1.0
8,34,0.0,1.0
756,538,1.0,1.0
636,1008,1.0,1.0
539,884,1.0,1.0
109,220,0.0,1.0
179,99,1.0,1.0
433,431,1.0,1.0
688,382,1.0,1.0
76,58,1.0,1.0
360,633,0.0,1.0
382,87,0.0,1.0
249,455,0.0,1.0
830,1039,1.0,1.0
244,251,1.0,1.0
542,255,1.0,1.0
373,662,1.0,1.0
840,296,0.0,1.0
814,484,1.0,1.0
314,79,0.0,1.0
650,173,1.0,1.0
52,206,1.0,1.0
393,217,1.0,1.0
591,670,1.0,1.0
112,34,1.0,1.0
350,217,1.0,1.0
787,471,1.0,1.0
814,847,1.0,1.0
247,450,1.0,1.0
1027,1026,1.0,1.0
128,257,0.0,1.0
217,579,1.0,1.0
1037,1036,1.0,1.0
1038,660,1.0,1.0
108,73,0.0,1.0
197,363,1.0,1.0
1032,531,1.0,1.0
125,246,1.0,1.0
386,53,1.0,1.0
525,861,0.0,1.0
549,447,1.0,1.0
82,170,1.0,1.0
459,717,1.0,1.0
382,688,1.0,1.0
1019,194,0.0,1.0
221,412,0.0,1.0
86,182,1.0,1.0
139,448,1.0,1.0
217,393,1.0,1.0
724,562,1.0,1.0
339,343,1.0,1.0
77,115,1.0,1.0
579,217,1.0,1.0
57,114,0.0,1.0
676,402,1.0,1.0
329,372,1.0,1.0
686,551,1.0,1.0
912,285,1.0,1.0
279,1029,1.0,1.0
78,161,0.0,1.0
999,947,0.0,1.0
709,711,1.0,1.0
1029,1026,1.0,1.0
267,136,0.0,1.0
175,338,0.0,1.0
814,652,1.0,1.0
458,321,0.0,1.0
426,735,1.0,1.0
469,785,0.0,1.0
234,430,1.0,1.0
434,741,0.0,1.0
271,500,1.0,1.0
424,425,0.0,1.0
507,840,1.0,1.0
328,596,1.0,1.0
667,217,1.0,1.0
34,115,1.0,1.0
427,113,0.0,1.0
669,703,1.0,1.0
52,81,1.0,1.0
84,386,1.0,1.0
272,506,1.0,1.0
596,434,1.0,1.0
1011,844,1.0,1.0
253,577,1.0,1.0
165,852,1.0,1.0
217,847,1.0,1.0
205,377,0.0,1.0
