edge_index0,edge_index1,pred,gr
694,695,1.0,1.0
849,472,1.0,1.0
555,669,1.0,1.0
257,258,1.0,1.0
297,62,1.0,1.0
142,325,1.0,1.0
478,305,1.0,1.0
103,860,1.0,1.0
420,188,1.0,1.0
62,873,1.0,1.0
77,11,1.0,1.0
887,725,1.0,1.0
91,207,1.0,1.0
681,38,1.0,1.0
355,685,1.0,1.0
841,231,1.0,1.0
764,456,1.0,1.0
811,701,1.0,1.0
838,868,1.0,1.0
316,362,1.0,1.0
305,475,1.0,1.0
276,554,1.0,1.0
214,96,1.0,1.0
899,540,1.0,1.0
182,84,1.0,1.0
248,505,1.0,1.0
121,286,1.0,1.0
27,72,1.0,1.0
499,495,1.0,1.0
250,46,1.0,1.0
790,767,1.0,1.0
520,794,0.0,1.0
499,103,1.0,1.0
146,333,1.0,1.0
812,680,1.0,1.0
562,858,1.0,1.0
35,32,1.0,1.0
599,511,1.0,1.0
310,601,1.0,1.0
65,336,1.0,1.0
661,604,1.0,1.0
273,140,1.0,1.0
44,97,1.0,1.0
248,247,1.0,1.0
62,216,1.0,1.0
105,250,0.0,1.0
315,317,1.0,1.0
547,831,1.0,1.0
57,62,1.0,1.0
91,456,1.0,1.0
63,314,1.0,1.0
280,59,1.0,1.0
614,577,1.0,1.0
77,174,1.0,1.0
766,185,1.0,1.0
43,455,1.0,1.0
62,299,1.0,1.0
155,356,1.0,1.0
652,338,1.0,1.0
169,386,1.0,1.0
276,556,1.0,1.0
927,729,1.0,1.0
33,34,1.0,1.0
315,614,1.0,1.0
798,827,1.0,1.0
312,319,1.0,1.0
917,916,1.0,1.0
343,205,1.0,1.0
541,333,1.0,1.0
735,393,1.0,1.0
929,930,1.0,1.0
241,501,1.0,1.0
592,225,1.0,1.0
380,863,1.0,1.0
338,336,1.0,1.0
114,263,1.0,1.0
151,26,1.0,1.0
73,808,1.0,1.0
317,631,1.0,1.0
662,661,1.0,1.0
136,306,1.0,1.0
662,677,1.0,1.0
599,514,1.0,1.0
865,240,1.0,1.0
697,70,1.0,1.0
168,385,1.0,1.0
44,95,1.0,1.0
46,99,1.0,1.0
658,577,1.0,1.0
271,265,1.0,1.0
266,537,1.0,1.0
894,893,1.0,1.0
70,158,1.0,1.0
263,520,1.0,1.0
244,105,1.0,1.0
461,826,1.0,1.0
554,925,1.0,1.0
553,921,1.0,1.0
421,188,1.0,1.0
291,290,1.0,1.0
404,751,1.0,1.0
273,922,1.0,1.0
879,516,1.0,1.0
62,292,1.0,1.0
221,289,1.0,1.0
115,258,1.0,1.0
12,9,1.0,1.0
98,227,1.0,1.0
879,523,1.0,1.0
118,271,1.0,1.0
317,315,1.0,1.0
256,523,1.0,1.0
312,607,1.0,1.0
537,116,1.0,1.0
426,790,1.0,1.0
422,784,1.0,1.0
211,788,1.0,1.0
74,164,1.0,1.0
558,933,1.0,1.0
802,85,1.0,1.0
424,433,1.0,1.0
651,188,1.0,1.0
540,900,1.0,1.0
481,62,1.0,1.0
635,310,1.0,1.0
63,614,1.0,1.0
143,639,0.0,1.0
808,38,1.0,1.0
869,497,1.0,1.0
394,735,1.0,1.0
63,601,1.0,1.0
907,391,1.0,1.0
500,103,1.0,1.0
379,4,1.0,1.0
75,166,1.0,1.0
523,879,1.0,1.0
810,7,1.0,1.0
105,246,1.0,1.0
393,738,1.0,1.0
193,148,1.0,1.0
309,188,1.0,1.0
338,337,1.0,1.0
247,504,1.0,1.0
624,695,1.0,1.0
425,640,1.0,1.0
440,805,1.0,1.0
128,290,1.0,1.0
590,296,1.0,1.0
59,61,1.0,1.0
393,735,1.0,1.0
785,82,1.0,1.0
148,339,1.0,1.0
239,238,1.0,1.0
466,489,1.0,1.0
211,918,1.0,1.0
925,276,1.0,1.0
858,503,1.0,1.0
185,785,1.0,1.0
349,350,1.0,1.0
315,875,0.0,1.0
534,261,1.0,1.0
255,521,1.0,1.0
639,143,0.0,1.0
526,53,1.0,0.0
364,378,0.0,0.0
137,886,1.0,0.0
879,745,0.0,0.0
683,104,0.0,0.0
228,69,1.0,0.0
52,704,0.0,0.0
1,328,0.0,0.0
400,99,0.0,0.0
863,295,0.0,0.0
471,261,0.0,0.0
684,90,1.0,0.0
321,704,0.0,0.0
341,755,0.0,0.0
549,740,0.0,0.0
72,37,1.0,0.0
159,653,0.0,0.0
496,836,0.0,0.0
451,799,1.0,0.0
74,818,1.0,0.0
619,174,0.0,0.0
412,602,1.0,0.0
519,687,0.0,0.0
388,505,1.0,0.0
670,39,0.0,0.0
819,73,0.0,0.0
799,11,1.0,0.0
257,57,1.0,0.0
900,0,1.0,0.0
678,428,1.0,0.0
222,17,0.0,0.0
758,579,0.0,0.0
509,627,1.0,0.0
559,161,1.0,0.0
26,253,0.0,0.0
190,790,0.0,0.0
639,258,1.0,0.0
916,573,0.0,0.0
71,261,0.0,0.0
751,26,1.0,0.0
776,616,1.0,0.0
842,740,1.0,0.0
851,668,0.0,0.0
56,396,1.0,0.0
312,479,0.0,0.0
939,240,1.0,0.0
485,156,0.0,0.0
755,750,1.0,0.0
453,884,0.0,0.0
298,122,1.0,0.0
224,567,1.0,0.0
452,912,1.0,0.0
145,647,1.0,0.0
356,266,1.0,0.0
395,122,1.0,0.0
720,641,0.0,0.0
88,145,0.0,0.0
601,487,1.0,0.0
157,128,0.0,0.0
458,341,0.0,0.0
75,57,0.0,0.0
323,58,0.0,0.0
