edge_index0,edge_index1,pred,gr
112,231,1.0,1.0
197,388,1.0,1.0
65,527,0.0,1.0
277,508,1.0,1.0
214,221,1.0,1.0
74,618,0.0,1.0
175,361,1.0,1.0
156,332,1.0,1.0
197,389,1.0,1.0
272,4,1.0,1.0
178,366,1.0,1.0
120,254,1.0,1.0
110,42,1.0,1.0
583,278,1.0,1.0
398,694,1.0,1.0
316,578,1.0,1.0
176,363,1.0,1.0
250,116,1.0,1.0
523,522,1.0,1.0
152,287,1.0,1.0
73,157,1.0,1.0
62,34,1.0,1.0
302,143,1.0,1.0
236,115,1.0,1.0
515,597,1.0,1.0
693,145,1.0,1.0
84,189,1.0,1.0
164,698,1.0,1.0
365,646,1.0,1.0
312,524,1.0,1.0
695,528,1.0,1.0
315,505,1.0,1.0
17,45,1.0,1.0
283,364,0.0,1.0
94,196,1.0,1.0
104,217,1.0,1.0
313,357,1.0,1.0
62,125,0.0,1.0
661,85,1.0,1.0
528,417,1.0,1.0
581,314,1.0,1.0
419,267,0.0,1.0
310,346,1.0,1.0
410,51,1.0,1.0
363,209,1.0,1.0
73,153,1.0,1.0
507,163,1.0,1.0
134,284,1.0,1.0
257,330,1.0,1.0
382,186,1.0,1.0
290,534,1.0,1.0
162,340,1.0,1.0
161,337,1.0,1.0
631,333,1.0,1.0
193,87,1.0,1.0
42,80,1.0,1.0
259,486,1.0,1.0
34,265,0.0,1.0
110,225,1.0,1.0
336,321,1.0,1.0
532,67,1.0,1.0
28,67,1.0,1.0
200,398,1.0,1.0
144,298,1.0,1.0
534,141,1.0,1.0
34,24,1.0,1.0
175,209,1.0,1.0
257,453,1.0,1.0
276,619,1.0,1.0
321,338,1.0,1.0
428,420,1.0,1.0
226,443,1.0,1.0
119,252,1.0,1.0
374,660,1.0,1.0
79,175,1.0,1.0
318,465,1.0,1.0
351,624,1.0,1.0
363,360,1.0,1.0
232,59,1.0,1.0
484,121,1.0,1.0
621,201,1.0,1.0
91,92,1.0,1.0
8,34,0.0,1.0
569,310,1.0,1.0
118,468,1.0,1.0
379,185,1.0,1.0
254,162,1.0,1.0
435,217,0.0,1.0
156,59,1.0,1.0
217,86,1.0,1.0
273,501,1.0,1.0
617,284,1.0,1.0
323,595,1.0,1.0
354,78,1.0,1.0
51,223,1.0,1.0
461,283,1.0,1.0
128,34,1.0,1.0
277,509,1.0,1.0
136,289,1.0,1.0
117,74,1.0,1.0
202,398,1.0,1.0
132,276,1.0,1.0
219,53,1.0,1.0
121,506,1.0,1.0
81,178,1.0,1.0
308,564,1.0,1.0
217,435,0.0,1.0
249,477,1.0,1.0
85,189,1.0,1.0
146,507,1.0,1.0
322,133,1.0,1.0
283,461,1.0,1.0
487,261,1.0,1.0
373,660,1.0,1.0
122,486,1.0,1.0
365,422,1.0,1.0
208,421,1.0,1.0
338,321,1.0,1.0
315,574,1.0,1.0
77,171,1.0,1.0
305,561,1.0,1.0
301,143,1.0,1.0
182,372,1.0,1.0
536,535,1.0,1.0
264,161,1.0,1.0
366,450,0.0,1.0
34,123,1.0,1.0
51,80,1.0,1.0
83,219,1.0,1.0
600,635,1.0,1.0
450,452,1.0,1.0
282,634,1.0,1.0
283,594,1.0,1.0
221,436,1.0,1.0
143,298,1.0,1.0
418,176,1.0,1.0
424,422,1.0,1.0
158,151,1.0,1.0
507,151,1.0,1.0
76,163,1.0,1.0
72,151,1.0,1.0
509,124,1.0,1.0
235,452,1.0,1.0
51,102,1.0,1.0
361,79,1.0,1.0
475,474,1.0,1.0
177,571,1.0,1.0
296,537,0.0,1.0
252,121,1.0,1.0
34,74,1.0,1.0
122,60,1.0,1.0
580,602,1.0,1.0
80,110,1.0,1.0
47,89,1.0,1.0
184,378,1.0,1.0
413,222,1.0,1.0
528,598,1.0,1.0
467,625,1.0,1.0
122,62,1.0,1.0
459,348,1.0,1.0
298,540,1.0,1.0
85,185,1.0,1.0
503,498,1.0,1.0
146,586,1.0,1.0
98,207,1.0,1.0
688,306,1.0,1.0
44,85,1.0,1.0
212,210,1.0,1.0
123,34,1.0,1.0
403,703,1.0,1.0
229,160,1.0,1.0
51,217,1.0,1.0
178,647,1.0,1.0
356,512,1.0,1.0
686,202,1.0,1.0
253,162,1.0,1.0
371,370,1.0,1.0
257,347,1.0,1.0
265,34,0.0,1.0
363,79,1.0,1.0
122,123,1.0,1.0
413,433,1.0,1.0
421,210,1.0,1.0
285,525,1.0,1.0
312,522,1.0,1.0
320,310,1.0,1.0
220,217,1.0,1.0
234,56,1.0,1.0
245,464,1.0,1.0
271,498,1.0,1.0
37,9,1.0,1.0
149,318,1.0,1.0
210,51,1.0,1.0
118,476,1.0,1.0
51,392,1.0,1.0
164,165,1.0,1.0
353,157,1.0,1.0
239,242,1.0,1.0
239,696,1.0,1.0
711,709,1.0,1.0
123,262,1.0,1.0
230,229,1.0,1.0
294,67,1.0,1.0
383,51,1.0,1.0
163,343,1.0,1.0
24,59,1.0,1.0
264,254,1.0,1.0
221,437,1.0,1.0
425,51,1.0,1.0
202,691,1.0,1.0
442,228,1.0,1.0
83,181,1.0,1.0
54,51,1.0,1.0
321,161,1.0,1.0
177,80,1.0,1.0
688,623,1.0,1.0
51,378,1.0,1.0
478,356,1.0,1.0
598,417,1.0,1.0
72,152,1.0,1.0
246,118,1.0,1.0
10,37,1.0,1.0
62,122,1.0,1.0
262,75,1.0,1.0
91,88,0.0,1.0
171,353,1.0,1.0
51,206,1.0,1.0
101,210,1.0,1.0
231,259,1.0,1.0
306,562,1.0,1.0
216,433,1.0,1.0
428,216,1.0,1.0
468,118,1.0,1.0
143,301,1.0,1.0
283,516,1.0,1.0
273,65,1.0,1.0
376,659,1.0,1.0
398,690,1.0,1.0
381,662,1.0,1.0
51,97,0.0,1.0
110,226,1.0,1.0
17,21,1.0,1.0
85,188,1.0,1.0
24,128,1.0,1.0
513,511,1.0,1.0
202,274,1.0,1.0
283,449,1.0,1.0
355,633,1.0,1.0
420,211,1.0,1.0
697,399,0.0,1.0
390,675,1.0,1.0
244,245,1.0,1.0
22,17,1.0,1.0
388,673,1.0,1.0
40,51,1.0,1.0
209,419,1.0,1.0
531,140,1.0,1.0
354,357,1.0,1.0
78,354,1.0,1.0
691,688,1.0,1.0
53,108,1.0,1.0
216,81,0.0,1.0
422,213,1.0,1.0
535,531,1.0,1.0
433,216,1.0,1.0
150,33,1.0,1.0
598,62,1.0,1.0
320,590,1.0,1.0
660,373,1.0,1.0
58,119,1.0,1.0
387,683,1.0,1.0
484,453,1.0,1.0
632,173,1.0,1.0
149,319,1.0,1.0
67,291,1.0,1.0
375,659,1.0,1.0
618,74,0.0,1.0
431,220,1.0,1.0
445,660,1.0,1.0
283,591,1.0,1.0
527,65,0.0,1.0
394,684,1.0,1.0
59,232,1.0,1.0
61,25,1.0,1.0
321,162,1.0,1.0
368,369,1.0,1.0
