edge_index0,edge_index1,pred,gr
656,351,1.0,1.0
522,635,1.0,1.0
776,774,1.0,1.0
245,244,1.0,1.0
698,820,1.0,1.0
372,178,1.0,1.0
101,820,1.0,1.0
77,11,1.0,1.0
842,841,1.0,1.0
94,92,1.0,1.0
197,38,1.0,1.0
773,771,1.0,1.0
670,207,1.0,1.0
705,706,1.0,1.0
451,450,1.0,1.0
480,826,1.0,1.0
278,810,1.0,1.0
404,429,1.0,1.0
265,521,1.0,1.0
846,507,1.0,1.0
172,83,1.0,1.0
237,471,1.0,1.0
124,274,1.0,1.0
27,73,1.0,1.0
465,458,1.0,1.0
339,638,1.0,1.0
63,574,1.0,1.0
393,721,1.0,1.0
486,702,1.0,1.0
465,105,1.0,1.0
409,611,1.0,1.0
467,816,1.0,1.0
35,32,1.0,1.0
701,597,1.0,1.0
238,477,1.0,1.0
392,561,1.0,1.0
701,306,1.0,1.0
295,567,1.0,1.0
65,304,1.0,1.0
413,741,1.0,1.0
675,363,1.0,1.0
263,557,1.0,1.0
44,96,1.0,1.0
237,236,1.0,1.0
101,209,1.0,1.0
351,651,1.0,1.0
392,549,1.0,1.0
729,730,1.0,1.0
57,101,1.0,1.0
375,638,1.0,1.0
44,97,0.0,1.0
750,417,1.0,1.0
94,207,1.0,1.0
63,566,1.0,1.0
77,164,1.0,1.0
43,201,1.0,1.0
101,815,1.0,1.0
775,723,1.0,1.0
162,342,1.0,1.0
265,523,1.0,1.0
742,689,1.0,1.0
33,34,1.0,1.0
712,749,1.0,1.0
88,193,1.0,1.0
401,191,1.0,1.0
847,298,0.0,1.0
350,165,1.0,1.0
870,871,1.0,1.0
228,461,0.0,1.0
739,215,1.0,1.0
328,229,1.0,1.0
431,775,1.0,1.0
117,252,1.0,1.0
148,26,1.0,1.0
72,154,1.0,1.0
643,77,1.0,1.0
737,437,1.0,1.0
422,754,1.0,1.0
238,475,1.0,1.0
614,70,1.0,1.0
44,95,1.0,1.0
199,760,1.0,1.0
46,99,1.0,1.0
292,291,1.0,1.0
262,254,1.0,1.0
233,145,1.0,1.0
542,463,0.0,1.0
255,504,1.0,1.0
836,835,1.0,1.0
70,152,1.0,1.0
555,574,1.0,1.0
252,486,1.0,1.0
521,709,1.0,1.0
520,862,1.0,1.0
356,657,1.0,1.0
263,264,1.0,1.0
481,827,1.0,1.0
101,269,1.0,1.0
113,244,1.0,1.0
12,9,1.0,1.0
98,217,1.0,1.0
481,500,1.0,1.0
121,262,1.0,1.0
799,458,1.0,1.0
549,392,1.0,1.0
246,500,1.0,1.0
504,119,1.0,1.0
645,648,1.0,1.0
377,339,1.0,1.0
199,693,1.0,1.0
74,157,1.0,1.0
592,593,1.0,1.0
390,84,1.0,1.0
849,178,1.0,1.0
507,508,1.0,1.0
439,101,1.0,1.0
599,295,1.0,1.0
154,38,1.0,1.0
811,462,1.0,1.0
347,350,1.0,1.0
293,565,1.0,1.0
63,567,1.0,1.0
741,628,1.0,1.0
88,191,1.0,1.0
333,4,1.0,1.0
75,159,0.0,1.0
500,481,1.0,1.0
617,7,1.0,1.0
107,234,1.0,1.0
233,107,1.0,1.0
417,415,1.0,1.0
65,143,1.0,1.0
165,349,1.0,1.0
166,351,1.0,1.0
300,357,1.0,1.0
183,145,1.0,1.0
236,469,1.0,1.0
374,691,1.0,1.0
286,297,1.0,1.0
306,593,1.0,1.0
376,692,1.0,1.0
394,604,1.0,1.0
863,691,1.0,1.0
60,61,1.0,1.0
165,350,1.0,1.0
145,562,1.0,1.0
230,805,1.0,1.0
63,601,1.0,1.0
199,886,1.0,1.0
298,581,0.0,1.0
709,265,1.0,1.0
807,309,1.0,1.0
816,466,1.0,1.0
398,190,1.0,1.0
63,294,1.0,1.0
501,250,1.0,1.0
243,487,1.0,1.0
497,53,1.0,0.0
719,475,0.0,0.0
320,331,0.0,0.0
600,778,0.0,0.0
481,731,1.0,0.0
612,106,1.0,0.0
219,69,1.0,0.0
690,22,0.0,0.0
1,662,0.0,0.0
879,99,1.0,0.0
229,280,0.0,0.0
277,250,0.0,0.0
659,642,0.0,0.0
550,796,1.0,0.0
73,37,0.0,0.0
755,386,0.0,0.0
459,768,0.0,0.0
535,701,0.0,0.0
224,731,0.0,0.0
696,568,0.0,0.0
565,491,1.0,0.0
344,471,0.0,0.0
713,11,0.0,0.0
245,57,0.0,0.0
508,0,0.0,0.0
211,17,0.0,0.0
214,863,0.0,0.0
383,242,0.0,0.0
26,241,0.0,0.0
180,339,0.0,0.0
71,250,0.0,0.0
657,26,0.0,0.0
403,642,1.0,0.0
586,723,1.0,0.0
792,634,0.0,0.0
612,727,0.0,0.0
56,346,1.0,0.0
712,754,1.0,0.0
496,508,1.0,0.0
446,188,0.0,0.0
400,829,0.0,0.0
699,125,0.0,0.0
575,497,1.0,0.0
213,276,1.0,0.0
323,609,0.0,0.0
209,305,1.0,0.0
345,125,1.0,0.0
631,796,1.0,0.0
300,231,0.0,0.0
567,448,0.0,0.0
241,575,0.0,0.0
610,538,1.0,0.0
556,546,0.0,0.0
75,57,0.0,0.0
135,58,1.0,0.0
