edge_index0,edge_index1,pred,gr
20,0,1.0,1.0
21,0,1.0,1.0
22,0,1.0,1.0
23,1,1.0,1.0
24,2,1.0,1.0
25,2,1.0,1.0
26,3,1.0,1.0
27,4,1.0,1.0
28,5,1.0,1.0
29,6,1.0,1.0
30,6,1.0,1.0
31,6,1.0,1.0
32,6,1.0,1.0
33,7,1.0,1.0
8,7,1.0,1.0
34,8,1.0,1.0
7,8,1.0,1.0
35,8,1.0,1.0
36,9,1.0,1.0
10,9,1.0,1.0
9,10,1.0,1.0
37,10,1.0,1.0
12,10,1.0,1.0
9,12,1.0,1.0
38,13,1.0,1.0
39,13,1.0,1.0
40,15,1.0,1.0
41,15,1.0,1.0
42,15,1.0,1.0
43,16,1.0,1.0
44,16,1.0,1.0
20,17,1.0,1.0
21,17,1.0,1.0
45,17,1.0,1.0
46,18,1.0,1.0
47,18,1.0,1.0
48,18,1.0,1.0
49,19,1.0,1.0
50,19,1.0,1.0
51,20,1.0,1.0
0,20,1.0,1.0
52,20,1.0,1.0
53,20,1.0,1.0
368,20,1.0,1.0
17,20,1.0,1.0
0,21,1.0,1.0
54,21,1.0,1.0
0,22,1.0,1.0
17,22,1.0,1.0
1,23,1.0,1.0
57,24,1.0,1.0
106,24,1.0,1.0
58,24,1.0,1.0
2,24,1.0,1.0
55,24,1.0,1.0
225,24,1.0,1.0
56,24,1.0,1.0
61,24,1.0,1.0
210,24,1.0,1.0
224,24,1.0,1.0
55,25,1.0,1.0
59,25,1.0,1.0
60,25,1.0,1.0
2,25,1.0,1.0
61,25,1.0,1.0
3,26,1.0,1.0
4,27,1.0,1.0
62,27,1.0,1.0
63,27,1.0,1.0
5,28,1.0,1.0
64,28,1.0,1.0
65,28,1.0,1.0
6,29,1.0,1.0
32,30,1.0,1.0
6,30,1.0,1.0
32,30,1.0,1.0
30,31,1.0,1.0
32,31,1.0,1.0
66,31,1.0,1.0
6,31,1.0,1.0
32,31,1.0,1.0
67,32,1.0,1.0
67,32,1.0,1.0
29,32,1.0,1.0
30,32,1.0,1.0
31,32,1.0,1.0
30,32,1.0,1.0
6,32,1.0,1.0
31,32,1.0,1.0
7,33,1.0,1.0
68,33,1.0,1.0
69,33,1.0,1.0
70,33,1.0,1.0
24,34,1.0,1.0
144,34,1.0,1.0
73,34,1.0,1.0
75,34,1.0,1.0
71,34,1.0,1.0
291,34,1.0,1.0
72,34,1.0,1.0
74,34,1.0,1.0
281,34,1.0,1.0
76,35,1.0,1.0
8,35,1.0,1.0
77,35,0.0,1.0
37,36,1.0,1.0
9,36,1.0,1.0
36,37,1.0,1.0
39,38,1.0,1.0
13,38,1.0,1.0
13,39,1.0,1.0
38,39,1.0,1.0
52,40,1.0,1.0
15,40,1.0,1.0
15,41,1.0,1.0
78,41,1.0,1.0
79,42,1.0,1.0
80,42,1.0,1.0
15,42,1.0,1.0
81,42,1.0,1.0
82,43,1.0,1.0
16,43,1.0,1.0
83,44,1.0,1.0
16,44,1.0,1.0
84,44,1.0,1.0
85,45,1.0,1.0
0,45,1.0,1.0
18,46,1.0,1.0
18,47,1.0,1.0
86,47,1.0,1.0
87,47,1.0,1.0
88,47,1.0,1.0
89,47,1.0,1.0
18,48,1.0,1.0
90,48,1.0,1.0
92,48,1.0,1.0
91,48,1.0,1.0
181,48,1.0,1.0
93,48,1.0,1.0
