edge_index0,edge_index1,pred,gr
121,253,1.0,1.0
196,371,1.0,1.0
66,564,0.0,1.0
270,476,0.0,1.0
220,222,1.0,1.0
77,162,1.0,1.0
262,4,1.0,1.0
175,345,1.0,1.0
115,463,1.0,1.0
110,42,1.0,1.0
375,658,1.0,1.0
299,470,1.0,1.0
170,338,1.0,1.0
232,425,1.0,1.0
434,117,0.0,1.0
151,310,1.0,1.0
76,160,1.0,1.0
63,34,1.0,1.0
285,142,1.0,1.0
337,335,1.0,1.0
52,602,1.0,1.0
343,665,0.0,1.0
274,480,1.0,1.0
657,144,1.0,1.0
346,612,1.0,1.0
659,565,1.0,1.0
17,45,1.0,1.0
92,193,1.0,1.0
105,100,1.0,1.0
296,332,1.0,1.0
565,405,1.0,1.0
538,297,1.0,1.0
380,144,1.0,1.0
173,259,1.0,1.0
295,527,1.0,1.0
338,337,1.0,1.0
76,157,0.0,1.0
431,523,1.0,1.0
415,318,1.0,1.0
615,185,1.0,1.0
665,510,1.0,1.0
154,315,1.0,1.0
153,314,1.0,1.0
587,161,0.0,1.0
489,68,1.0,1.0
190,88,1.0,1.0
42,81,1.0,1.0
110,226,1.0,1.0
28,68,1.0,1.0
198,375,1.0,1.0
143,281,1.0,1.0
489,290,1.0,1.0
34,24,1.0,1.0
600,337,1.0,1.0
174,339,1.0,1.0
415,422,1.0,1.0
269,475,1.0,1.0
630,214,1.0,1.0
114,237,1.0,1.0
356,353,1.0,1.0
80,600,1.0,1.0
103,216,1.0,1.0
632,188,1.0,1.0
301,539,1.0,1.0
326,582,1.0,1.0
603,601,1.0,1.0
338,171,1.0,1.0
254,60,0.0,1.0
473,199,1.0,1.0
93,195,1.0,1.0
8,34,1.0,1.0
119,435,1.0,1.0
184,99,1.0,1.0
463,154,1.0,1.0
352,100,0.0,1.0
77,60,1.0,1.0
368,642,1.0,1.0
100,87,1.0,1.0
286,509,1.0,1.0
263,261,1.0,1.0
329,79,1.0,1.0
665,343,0.0,1.0
516,499,0.0,1.0
52,223,1.0,1.0
438,244,1.0,1.0
336,597,1.0,1.0
126,34,1.0,1.0
473,266,1.0,1.0
270,477,1.0,1.0
135,276,1.0,1.0
510,671,1.0,1.0
118,75,1.0,1.0
200,375,1.0,1.0
133,269,1.0,1.0
179,54,1.0,1.0
116,239,1.0,1.0
82,175,1.0,1.0
305,548,1.0,1.0
100,352,0.0,1.0
248,453,1.0,1.0
145,431,1.0,1.0
244,438,1.0,1.0
617,353,1.0,1.0
346,406,1.0,1.0
298,534,1.0,1.0
290,519,1.0,1.0
78,166,1.0,1.0
632,244,1.0,1.0
284,142,1.0,1.0
178,341,1.0,1.0
255,126,1.0,1.0
258,153,1.0,1.0
416,424,1.0,1.0
647,132,1.0,1.0
345,421,1.0,1.0
620,244,1.0,1.0
592,580,1.0,1.0
34,123,1.0,1.0
52,81,1.0,1.0
84,179,1.0,1.0
287,513,1.0,1.0
421,416,1.0,1.0
222,409,0.0,1.0
142,281,1.0,1.0
359,406,1.0,1.0
155,150,0.0,1.0
581,573,1.0,1.0
431,150,1.0,1.0
73,150,1.0,1.0
228,416,1.0,1.0
52,106,1.0,1.0
290,317,1.0,1.0
447,446,1.0,1.0
626,181,1.0,1.0
188,531,1.0,1.0
355,353,1.0,1.0
279,490,1.0,1.0
237,116,1.0,1.0
34,75,1.0,1.0
122,61,1.0,1.0
397,561,1.0,1.0
81,110,1.0,1.0
47,90,1.0,1.0
517,144,1.0,1.0
584,358,1.0,1.0
388,204,1.0,1.0
4,131,0.0,1.0
245,580,0.0,1.0
122,63,1.0,1.0
281,493,1.0,1.0
