edge_index0,edge_index1,pred,gr
560,1178,1.0,1.0
1638,934,1.0,1.0
1422,751,1.0,1.0
361,351,1.0,1.0
1624,1544,1.0,1.0
460,459,1.0,1.0
536,64,1.0,1.0
1811,554,1.0,1.0
1125,426,1.0,1.0
945,516,1.0,1.0
1163,1772,1.0,1.0
137,427,1.0,1.0
786,318,1.0,1.0
1447,1902,1.0,1.0
64,426,1.0,1.0
842,715,1.0,1.0
87,11,1.0,1.0
1319,1788,0.0,1.0
363,876,1.0,1.0
1682,1392,1.0,1.0
1429,1952,1.0,1.0
118,115,1.0,1.0
1271,1266,1.0,1.0
327,38,1.0,1.0
650,1195,1.0,1.0
1702,1647,1.0,1.0
336,821,0.0,1.0
1983,2216,1.0,1.0
168,418,1.0,1.0
1286,1849,1.0,1.0
1257,377,1.0,1.0
80,259,1.0,1.0
67,633,1.0,1.0
1924,1539,1.0,1.0
2095,2096,1.0,1.0
1692,1596,1.0,1.0
1777,803,1.0,1.0
967,1651,1.0,1.0
499,1078,1.0,1.0
1257,1333,0.0,1.0
1914,1902,0.0,1.0
1004,539,1.0,1.0
1326,1874,1.0,1.0
1632,517,1.0,1.0
1196,557,1.0,1.0
1444,1302,1.0,1.0
516,504,1.0,1.0
1765,532,1.0,1.0
2122,2176,1.0,1.0
366,879,1.0,1.0
921,1590,1.0,1.0
1099,1744,1.0,1.0
1193,1787,1.0,1.0
367,368,1.0,1.0
910,914,1.0,1.0
378,126,1.0,1.0
1689,1030,1.0,1.0
2237,67,1.0,1.0
1362,1354,1.0,1.0
312,94,1.0,1.0
1347,748,1.0,1.0
450,969,1.0,1.0
1549,1935,1.0,1.0
2246,2128,1.0,1.0
1517,2228,1.0,1.0
156,488,1.0,1.0
1914,2175,1.0,1.0
1491,845,1.0,1.0
27,76,1.0,1.0
386,550,1.0,1.0
2073,542,1.0,1.0
538,537,1.0,1.0
2245,1606,1.0,1.0
1365,1914,1.0,1.0
451,46,1.0,1.0
1578,1064,1.0,1.0
732,1134,0.0,1.0
1971,1819,1.0,1.0
2068,747,1.0,1.0
65,199,1.0,1.0
1968,846,1.0,1.0
638,1303,1.0,1.0
995,1460,1.0,1.0
101,333,1.0,1.0
538,137,1.0,1.0
221,622,1.0,1.0
1283,1849,1.0,1.0
97,328,1.0,1.0
975,1643,1.0,1.0
35,32,1.0,1.0
702,710,1.0,1.0
452,546,1.0,1.0
1492,1491,1.0,1.0
1553,319,1.0,1.0
1863,1500,0.0,1.0
565,1161,1.0,1.0
702,529,1.0,1.0
362,724,1.0,1.0
553,1170,1.0,1.0
1513,1508,1.0,1.0
67,226,1.0,1.0
551,1168,1.0,1.0
1209,1168,1.0,1.0
1989,1991,1.0,1.0
1212,567,1.0,1.0
1609,1612,1.0,1.0
1748,444,1.0,1.0
1206,770,0.0,1.0
1456,1340,1.0,1.0
1499,1315,1.0,1.0
2136,1782,1.0,1.0
1311,1227,1.0,1.0
480,1179,1.0,1.0
842,283,1.0,1.0
923,1589,1.0,1.0
2223,1997,1.0,1.0
44,127,1.0,1.0
450,449,1.0,1.0
1963,26,1.0,1.0
1258,1837,1.0,1.0
64,399,1.0,1.0
139,451,1.0,1.0
2076,1816,1.0,1.0
751,1408,1.0,1.0
565,550,1.0,1.0
1814,1812,1.0,1.0
622,634,1.0,1.0
739,1399,1.0,1.0
1977,1976,1.0,1.0
1056,1255,1.0,1.0
2168,1322,1.0,1.0
753,926,1.0,1.0
708,1368,1.0,1.0
57,64,1.0,1.0
788,1134,1.0,1.0
1877,1547,1.0,1.0
44,129,0.0,1.0
1534,878,1.0,1.0
118,377,1.0,1.0
949,507,1.0,1.0
65,1169,0.0,1.0
1170,1216,1.0,1.0
489,60,1.0,1.0
905,1567,1.0,1.0
569,568,1.0,1.0
1792,931,1.0,1.0
996,995,1.0,1.0
629,1295,1.0,1.0
87,299,1.0,1.0
1968,1537,1.0,1.0
1438,1437,1.0,1.0
1901,702,1.0,1.0
1436,315,1.0,1.0
912,1578,1.0,1.0
2030,629,1.0,1.0
43,121,1.0,1.0
64,976,0.0,1.0
233,654,1.0,1.0
1868,1850,1.0,1.0
1131,1133,1.0,1.0
2178,315,1.0,1.0
635,1302,1.0,1.0
573,614,1.0,1.0
1623,830,1.0,1.0
293,748,1.0,1.0
931,1606,1.0,1.0
2225,1510,1.0,1.0
366,369,1.0,1.0
1440,1957,1.0,1.0
572,562,1.0,1.0
856,724,1.0,1.0
228,634,1.0,1.0
1769,1181,1.0,1.0
575,635,1.0,1.0
363,1830,1.0,1.0
1093,1097,1.0,1.0
33,34,1.0,1.0
1552,379,1.0,1.0
565,569,1.0,1.0
1466,1533,1.0,1.0
105,340,0.0,1.0
1285,1358,1.0,1.0
2216,674,1.0,1.0
2036,1340,1.0,1.0
1226,1155,1.0,1.0
1573,2027,1.0,1.0
1244,586,1.0,1.0
1719,1054,1.0,1.0
330,110,1.0,1.0
1028,622,1.0,1.0
1162,1774,1.0,1.0
1344,1340,1.0,1.0
756,303,1.0,1.0
1848,2156,1.0,1.0
1804,2140,1.0,1.0
1116,684,1.0,1.0
1974,2210,1.0,1.0
1138,1253,1.0,1.0
912,1577,1.0,1.0
2181,2074,1.0,1.0
1581,1066,1.0,1.0
439,979,1.0,1.0
699,1355,1.0,1.0
