edge_index0,edge_index1,pred,gr
1097,1508,1.0,1.0
161,413,1.0,1.0
827,524,1.0,1.0
708,1246,1.0,1.0
1372,1401,1.0,1.0
836,1354,1.0,1.0
849,1363,1.0,1.0
1270,1411,1.0,1.0
1934,1111,1.0,1.0
1295,813,1.0,1.0
300,687,1.0,1.0
71,767,1.0,1.0
1559,1607,1.0,1.0
1285,313,1.0,1.0
1914,1913,1.0,1.0
1354,609,1.0,1.0
443,924,1.0,1.0
362,366,1.0,1.0
84,200,0.0,1.0
259,620,1.0,1.0
81,232,1.0,1.0
52,795,1.0,1.0
982,1509,1.0,1.0
221,544,1.0,1.0
300,693,1.0,1.0
466,4,1.0,1.0
272,642,1.0,1.0
1651,651,1.0,1.0
1499,313,1.0,1.0
1483,1519,1.0,1.0
601,274,1.0,1.0
166,248,1.0,1.0
146,42,1.0,1.0
1520,550,1.0,1.0
1169,1663,1.0,1.0
1222,1691,1.0,1.0
1327,1777,1.0,1.0
1074,476,1.0,1.0
702,533,1.0,1.0
1858,1416,1.0,1.0
221,1863,1.0,1.0
1234,449,1.0,1.0
1096,1097,1.0,1.0
131,350,1.0,1.0
265,602,1.0,1.0
52,1338,1.0,1.0
423,888,1.0,1.0
735,1033,1.0,1.0
386,147,1.0,1.0
562,739,1.0,1.0
491,489,1.0,1.0
227,472,1.0,1.0
1469,434,1.0,1.0
438,912,1.0,1.0
1619,313,1.0,1.0
1664,1766,1.0,1.0
1960,317,0.0,1.0
52,1293,1.0,1.0
79,83,1.0,1.0
146,376,1.0,1.0
636,1185,1.0,1.0
69,34,1.0,1.0
444,927,1.0,1.0
1636,940,1.0,1.0
515,218,1.0,1.0
1882,1033,1.0,1.0
888,1320,1.0,1.0
1891,827,1.0,1.0
619,325,1.0,1.0
52,1188,1.0,1.0
276,1242,1.0,1.0
1142,1646,1.0,1.0
1665,598,1.0,1.0
420,164,1.0,1.0
1300,315,1.0,1.0
983,984,1.0,1.0
1199,1992,1.0,1.0
1501,1866,1.0,1.0
493,866,1.0,1.0
1368,1366,1.0,1.0
632,258,1.0,1.0
1239,220,1.0,1.0
1250,304,1.0,1.0
98,291,0.0,1.0
241,592,1.0,1.0
52,114,0.0,1.0
643,1194,1.0,1.0
892,704,1.0,1.0
490,492,1.0,1.0
408,322,1.0,1.0
553,959,1.0,1.0
17,45,1.0,1.0
1715,1973,1.0,1.0
340,341,1.0,1.0
258,634,1.0,1.0
761,1303,1.0,1.0
106,298,1.0,1.0
487,1171,1.0,1.0
141,363,1.0,1.0
1071,1310,1.0,1.0
551,598,1.0,1.0
345,808,1.0,1.0
69,188,1.0,1.0
624,99,1.0,1.0
220,1047,1.0,1.0
334,52,1.0,1.0
322,406,1.0,1.0
1057,1504,1.0,1.0
170,435,1.0,1.0
1072,552,1.0,1.0
932,1479,1.0,1.0
1871,313,1.0,1.0
991,258,1.0,1.0
1993,1247,1.0,1.0
719,220,1.0,1.0
257,450,0.0,1.0
502,1014,1.0,1.0
538,481,1.0,1.0
753,52,1.0,1.0
602,619,1.0,1.0
1920,1086,1.0,1.0
1345,966,1.0,1.0
779,778,1.0,1.0
1242,1723,1.0,1.0
79,228,1.0,1.0
893,1418,1.0,1.0
2008,1945,1.0,1.0
1323,1223,1.0,1.0
232,1843,1.0,1.0
780,922,1.0,1.0
906,313,1.0,1.0
1234,1713,1.0,1.0
1963,1222,1.0,1.0
1476,1854,1.0,1.0
1833,1835,1.0,1.0
1948,1174,1.0,1.0
1796,487,1.0,1.0
441,240,1.0,1.0
202,204,1.0,1.0
1372,1805,1.0,1.0
1153,773,1.0,1.0
177,442,1.0,1.0
622,289,1.0,1.0
327,778,1.0,1.0
213,505,1.0,1.0
1242,1042,1.0,1.0
239,246,1.0,1.0
87,230,1.0,1.0
934,1234,1.0,1.0
1450,705,0.0,1.0
1051,639,1.0,1.0
902,234,1.0,1.0
1291,114,1.0,1.0
735,1276,1.0,1.0
500,73,1.0,1.0
295,101,1.0,1.0
1771,761,1.0,1.0
42,94,1.0,1.0
1936,1426,1.0,1.0
156,82,1.0,1.0
1459,846,1.0,1.0
34,231,1.0,1.0
146,371,1.0,1.0
58,151,1.0,1.0
499,73,1.0,1.0
28,73,1.0,1.0
302,702,1.0,1.0
653,1199,1.0,1.0
219,511,1.0,1.0
966,1345,1.0,1.0
590,1115,1.0,1.0
505,214,1.0,1.0
1637,1367,1.0,1.0
974,967,1.0,1.0
1671,636,1.0,1.0
1627,439,0.0,1.0
500,529,1.0,1.0
1071,1586,1.0,1.0
34,24,1.0,1.0
259,619,1.0,1.0
759,1294,1.0,1.0
226,479,1.0,1.0
271,639,1.0,1.0
177,439,1.0,1.0
1130,487,1.0,1.0
475,957,0.0,1.0
1968,1231,1.0,1.0
999,264,1.0,1.0
1613,562,1.0,1.0
895,1423,1.0,1.0
151,152,0.0,1.0
677,345,1.0,1.0
1071,628,1.0,1.0
372,839,1.0,1.0
487,1001,1.0,1.0
1952,313,1.0,1.0
1616,481,1.0,1.0
165,432,1.0,1.0
493,1523,1.0,1.0
658,356,1.0,1.0
93,259,1.0,1.0
804,249,1.0,1.0
