edge_index0,edge_index1,pred,gr
865,773,1.0,1.0
820,749,1.0,1.0
487,489,1.0,1.0
185,612,1.0,1.0
326,728,1.0,1.0
799,380,1.0,1.0
326,178,1.0,1.0
1150,616,1.0,1.0
61,171,1.0,1.0
722,701,1.0,1.0
981,1143,1.0,1.0
838,310,1.0,1.0
175,356,1.0,1.0
234,546,1.0,1.0
416,727,1.0,1.0
1143,978,1.0,1.0
411,157,1.0,1.0
651,1156,1.0,1.0
535,216,1.0,1.0
621,1148,1.0,1.0
800,805,1.0,1.0
334,44,1.0,1.0
482,994,1.0,1.0
1158,91,1.0,1.0
326,725,1.0,1.0
66,196,1.0,1.0
637,1165,1.0,1.0
1308,1251,1.0,1.0
721,255,1.0,1.0
290,505,1.0,1.0
68,74,1.0,1.0
653,99,1.0,1.0
1293,783,1.0,1.0
363,139,1.0,1.0
393,590,0.0,1.0
187,461,1.0,1.0
264,521,1.0,1.0
436,911,1.0,1.0
255,595,1.0,1.0
582,252,1.0,1.0
463,907,1.0,1.0
1031,931,1.0,1.0
639,472,1.0,1.0
143,374,1.0,1.0
205,498,1.0,1.0
1374,917,1.0,1.0
454,477,0.0,1.0
1012,255,1.0,1.0
80,37,1.0,1.0
117,115,1.0,1.0
1075,261,1.0,1.0
868,419,1.0,1.0
945,962,1.0,1.0
829,1356,0.0,1.0
12,9,1.0,1.0
284,652,1.0,1.0
293,660,1.0,1.0
656,557,1.0,1.0
1331,796,1.0,1.0
743,127,1.0,1.0
718,994,1.0,1.0
573,574,1.0,1.0
781,136,1.0,1.0
1305,854,1.0,1.0
787,1314,1.0,1.0
257,601,1.0,1.0
114,13,1.0,1.0
396,160,1.0,1.0
431,726,1.0,1.0
649,286,1.0,1.0
1146,259,1.0,1.0
10,12,1.0,1.0
527,324,1.0,1.0
1306,1307,1.0,1.0
306,684,1.0,1.0
381,815,1.0,1.0
280,221,1.0,1.0
181,222,1.0,1.0
78,26,1.0,1.0
505,506,1.0,1.0
419,776,1.0,1.0
466,65,1.0,1.0
548,1053,1.0,1.0
65,441,1.0,1.0
830,1360,1.0,1.0
739,741,1.0,1.0
477,454,0.0,1.0
350,760,1.0,1.0
141,372,1.0,1.0
158,408,1.0,1.0
63,164,1.0,1.0
716,1225,1.0,1.0
1235,321,1.0,1.0
1121,393,1.0,1.0
438,919,1.0,1.0
554,1064,1.0,1.0
1131,264,1.0,1.0
1145,796,1.0,1.0
827,1346,1.0,1.0
122,319,1.0,1.0
738,1266,1.0,1.0
63,854,1.0,1.0
220,511,1.0,1.0
1313,428,1.0,1.0
899,900,1.0,1.0
323,702,1.0,1.0
32,31,1.0,1.0
1361,1290,1.0,1.0
800,372,1.0,1.0
223,522,1.0,1.0
580,1095,1.0,1.0
105,109,1.0,1.0
976,1032,1.0,1.0
917,1374,1.0,1.0
63,1310,1.0,1.0
924,393,1.0,1.0
699,698,1.0,1.0
670,225,1.0,1.0
91,265,1.0,1.0
65,466,1.0,1.0
781,360,1.0,1.0
419,865,1.0,1.0
81,84,1.0,1.0
136,351,1.0,1.0
478,310,1.0,1.0
514,1021,1.0,1.0
837,1367,1.0,1.0
640,949,1.0,1.0
41,1206,1.0,1.0
245,254,1.0,1.0
310,194,1.0,1.0
1010,1035,1.0,1.0
683,41,1.0,1.0
1027,931,1.0,1.0
763,761,1.0,1.0
565,718,1.0,1.0
1083,941,1.0,1.0
876,749,1.0,1.0
63,856,1.0,1.0
362,65,1.0,1.0
263,623,1.0,1.0
1108,1111,1.0,1.0
1278,66,1.0,1.0
985,1186,1.0,1.0
514,1019,1.0,1.0
644,103,1.0,1.0
1269,738,1.0,1.0
337,338,1.0,1.0
1061,1054,1.0,1.0
1349,393,1.0,1.0
130,338,1.0,1.0
718,1246,1.0,1.0
150,382,1.0,1.0
63,339,1.0,1.0
663,1190,1.0,1.0
684,678,1.0,1.0
807,801,1.0,1.0
1079,1226,1.0,1.0
1157,1083,1.0,1.0
300,299,1.0,1.0
1067,1069,1.0,1.0
793,787,1.0,1.0
221,68,1.0,1.0
644,282,0.0,1.0
952,202,1.0,1.0
389,825,1.0,1.0
17,21,1.0,1.0
59,160,1.0,1.0
265,477,1.0,1.0
579,1092,1.0,1.0
821,1343,1.0,1.0
1377,1379,1.0,1.0
69,207,1.0,1.0
1003,1132,1.0,1.0
708,501,1.0,1.0
449,934,1.0,1.0
383,395,1.0,1.0
989,987,1.0,1.0
493,276,1.0,1.0
436,904,1.0,1.0
766,136,1.0,1.0
925,255,1.0,1.0
222,518,1.0,1.0
139,363,1.0,1.0
1160,264,1.0,1.0
154,393,1.0,1.0
158,23,1.0,1.0
186,436,1.0,1.0
701,707,1.0,1.0
820,1339,1.0,1.0
830,191,1.0,1.0
763,351,1.0,1.0
646,537,1.0,1.0
1149,1151,1.0,1.0
762,764,1.0,1.0
645,103,1.0,1.0
1319,1317,1.0,1.0
451,487,1.0,1.0
781,1292,1.0,1.0
397,843,1.0,1.0
311,312,1.0,1.0
552,1061,1.0,1.0
715,1242,1.0,1.0
434,899,1.0,1.0
188,463,1.0,1.0
151,388,1.0,1.0
366,138,1.0,1.0
1158,986,1.0,1.0
663,660,1.0,1.0
759,350,1.0,1.0
66,1071,1.0,1.0
287,63,1.0,1.0
932,82,1.0,1.0
392,833,1.0,1.0
44,127,1.0,1.0
136,766,1.0,1.0
936,563,1.0,1.0
1206,5,1.0,1.0
1198,675,1.0,1.0
253,586,1.0,1.0
931,1011,1.0,1.0
1113,1041,1.0,1.0
935,66,1.0,1.0
946,915,1.0,1.0
246,251,0.0,1.0
212,99,1.0,1.0
675,1198,1.0,1.0
410,63,1.0,1.0
1179,1232,1.0,1.0
63,202,1.0,1.0
394,66,1.0,1.0
843,1369,1.0,1.0
738,1265,1.0,1.0
1233,1269,1.0,1.0
436,462,1.0,1.0
99,92,1.0,1.0
501,69,1.0,1.0
624,1051,1.0,1.0
1093,580,1.0,1.0
74,233,1.0,1.0
69,206,1.0,1.0
33,31,1.0,1.0
711,1223,1.0,1.0
441,760,1.0,1.0
1174,741,1.0,1.0
2,25,1.0,1.0
563,1070,1.0,1.0
183,440,1.0,1.0
162,401,1.0,1.0
743,332,1.0,1.0
55,153,1.0,1.0
812,807,1.0,1.0
622,895,0.0,1.0
148,374,1.0,1.0
399,846,1.0,1.0
909,463,1.0,1.0
393,836,1.0,1.0
568,703,1.0,1.0
613,120,1.0,1.0
350,765,1.0,1.0
246,254,1.0,1.0
624,1152,1.0,1.0
477,989,1.0,1.0
310,1278,1.0,1.0
374,147,1.0,1.0
130,340,1.0,1.0
1090,567,1.0,1.0
471,967,1.0,1.0
647,281,1.0,1.0
130,337,1.0,1.0
222,69,0.0,1.0
491,445,1.0,1.0
203,80,1.0,1.0
726,1253,0.0,1.0
1337,1198,1.0,1.0
749,1278,1.0,1.0
663,1130,1.0,1.0
556,557,1.0,1.0
749,1279,1.0,1.0
339,63,1.0,1.0
200,487,1.0,1.0
577,527,1.0,1.0
9,12,1.0,1.0
66,1265,1.0,1.0
641,275,1.0,1.0
733,1256,1.0,1.0
895,622,0.0,1.0
1104,829,1.0,1.0
442,924,1.0,1.0
418,655,1.0,1.0
260,611,1.0,1.0
887,895,1.0,1.0
595,902,0.0,0.0
232,971,0.0,0.0
240,587,0.0,0.0
803,877,0.0,0.0
105,139,0.0,0.0
1274,1058,0.0,0.0
188,710,0.0,0.0
70,454,0.0,0.0
949,410,0.0,0.0
1081,214,0.0,0.0
1340,31,0.0,0.0
789,1086,1.0,0.0
1138,1333,0.0,0.0
1056,701,0.0,0.0
1182,833,0.0,0.0
527,10,0.0,0.0
744,19,0.0,0.0
4,263,0.0,0.0
866,593,0.0,0.0
644,802,0.0,0.0
1152,581,0.0,0.0
700,108,0.0,0.0
164,1255,0.0,0.0
1072,1061,0.0,0.0
725,618,0.0,0.0
288,310,0.0,0.0
1045,502,1.0,0.0
604,866,1.0,0.0
220,514,0.0,0.0
167,767,1.0,0.0
639,1369,0.0,0.0
1198,686,1.0,0.0
263,959,0.0,0.0
1278,144,0.0,0.0
1232,1110,0.0,0.0
968,502,0.0,0.0
834,166,0.0,0.0
1157,1046,0.0,0.0
608,749,0.0,0.0
1148,320,0.0,0.0
1115,637,0.0,0.0
1361,1353,0.0,0.0
309,1365,0.0,0.0
658,1174,0.0,0.0
982,798,0.0,0.0
1213,782,0.0,0.0
293,1179,0.0,0.0
1014,8,0.0,0.0
469,427,0.0,0.0
969,781,0.0,0.0
862,456,0.0,0.0
801,884,0.0,0.0
224,1310,0.0,0.0
455,319,1.0,0.0
303,1303,0.0,0.0
336,588,1.0,0.0
125,557,0.0,0.0
9,1319,0.0,0.0
42,329,0.0,0.0
165,567,1.0,0.0
960,672,0.0,0.0
915,664,0.0,0.0
893,929,0.0,0.0
314,1126,0.0,0.0
749,706,0.0,0.0
1282,242,0.0,0.0
914,78,0.0,0.0
418,303,0.0,0.0
272,1098,0.0,0.0
473,471,0.0,0.0
440,825,0.0,0.0
581,58,0.0,0.0
677,912,0.0,0.0
1036,1058,0.0,0.0
821,1066,0.0,0.0
430,148,0.0,0.0
660,408,0.0,0.0
620,856,0.0,0.0
376,1291,0.0,0.0
836,928,0.0,0.0
162,559,0.0,0.0
716,797,0.0,0.0
569,1022,0.0,0.0
286,81,0.0,0.0
805,194,0.0,0.0
1274,334,1.0,0.0
263,594,0.0,0.0
480,890,0.0,0.0
833,1161,0.0,0.0
683,1108,1.0,0.0
112,616,0.0,0.0
70,218,0.0,0.0
512,1283,0.0,0.0
264,349,1.0,0.0
461,796,0.0,0.0
206,1308,0.0,0.0
1276,245,0.0,0.0
307,1287,0.0,0.0
48,271,0.0,0.0
155,1277,0.0,0.0
136,346,0.0,0.0
1304,1112,0.0,0.0
438,23,0.0,0.0
460,105,0.0,0.0
969,1078,0.0,0.0
1014,1034,0.0,0.0
605,313,0.0,0.0
1082,899,0.0,0.0
1317,864,0.0,0.0
768,229,0.0,0.0
792,780,0.0,0.0
231,26,0.0,0.0
1205,1080,0.0,0.0
706,711,0.0,0.0
96,449,0.0,0.0
1134,1093,0.0,0.0
486,1191,0.0,0.0
966,1073,0.0,0.0
185,272,0.0,0.0
702,82,1.0,0.0
274,646,0.0,0.0
1004,802,0.0,0.0
822,513,0.0,0.0
902,1162,0.0,0.0
1070,263,0.0,0.0
985,1049,1.0,0.0
1264,509,0.0,0.0
339,572,0.0,0.0
