edge_index0,edge_index1,pred,gr
816,391,1.0,1.0
114,308,1.0,1.0
656,1148,1.0,1.0
663,659,1.0,1.0
898,60,1.0,1.0
1065,565,1.0,1.0
257,667,1.0,1.0
18,50,1.0,1.0
329,705,1.0,1.0
257,264,1.0,1.0
31,30,1.0,1.0
451,57,1.0,1.0
569,101,1.0,1.0
391,388,1.0,1.0
42,610,0.0,1.0
279,631,1.0,1.0
365,772,1.0,1.0
793,57,1.0,1.0
198,482,1.0,1.0
980,516,1.0,1.0
599,1094,1.0,1.0
809,253,1.0,1.0
895,971,1.0,1.0
283,115,1.0,1.0
607,1101,1.0,1.0
174,166,1.0,1.0
65,184,1.0,1.0
391,821,1.0,1.0
76,30,1.0,1.0
79,210,1.0,1.0
1137,276,1.0,1.0
73,71,1.0,1.0
790,351,1.0,1.0
197,475,1.0,1.0
1150,117,1.0,1.0
968,944,1.0,1.0
72,977,1.0,1.0
120,311,1.0,1.0
350,114,1.0,1.0
62,166,1.0,1.0
173,429,1.0,1.0
233,37,1.0,1.0
785,57,1.0,1.0
166,415,1.0,1.0
62,8,1.0,1.0
560,1028,1.0,1.0
376,373,1.0,1.0
706,1187,1.0,1.0
759,785,1.0,1.0
126,320,1.0,1.0
238,555,1.0,1.0
24,162,1.0,1.0
110,41,1.0,1.0
106,260,1.0,1.0
437,993,1.0,1.0
1043,565,1.0,1.0
617,616,1.0,1.0
440,418,1.0,1.0
29,30,1.0,1.0
987,477,1.0,1.0
516,518,1.0,1.0
308,118,1.0,1.0
30,76,1.0,1.0
469,470,1.0,1.0
908,857,1.0,1.0
1035,58,1.0,1.0
214,523,1.0,1.0
613,110,1.0,1.0
9,35,1.0,1.0
114,1084,1.0,1.0
1123,115,1.0,1.0
258,1146,0.0,1.0
557,1017,1.0,1.0
60,63,0.0,1.0
302,304,0.0,1.0
1026,1144,1.0,1.0
48,125,1.0,1.0
282,114,1.0,1.0
191,162,1.0,1.0
494,955,1.0,1.0
24,66,1.0,1.0
381,368,1.0,1.0
812,730,1.0,1.0
1107,257,1.0,1.0
253,1067,1.0,1.0
346,121,1.0,1.0
623,1136,1.0,1.0
748,1195,1.0,1.0
37,91,1.0,1.0
935,1123,1.0,1.0
370,57,1.0,1.0
1085,257,1.0,1.0
904,210,1.0,1.0
641,115,1.0,1.0
1084,267,1.0,1.0
103,253,1.0,1.0
673,660,1.0,1.0
