edge_index0,edge_index1,pred,gr
549,881,1.0,1.0
907,284,1.0,1.0
488,844,1.0,1.0
569,346,1.0,1.0
269,268,1.0,1.0
366,678,1.0,1.0
217,166,1.0,1.0
413,739,0.0,1.0
909,538,1.0,1.0
255,44,1.0,1.0
421,86,1.0,1.0
431,772,1.0,1.0
361,92,1.0,1.0
67,70,1.0,1.0
686,372,1.0,1.0
149,324,1.0,1.0
272,119,1.0,1.0
301,391,0.0,1.0
429,764,1.0,1.0
484,839,1.0,1.0
433,352,1.0,1.0
122,277,1.0,1.0
175,377,1.0,1.0
953,934,1.0,1.0
75,37,1.0,1.0
475,476,0.0,1.0
800,193,1.0,1.0
563,946,1.0,1.0
12,9,1.0,1.0
826,931,0.0,1.0
788,235,1.0,1.0
448,667,1.0,1.0
913,546,1.0,1.0
503,108,0.0,1.0
387,699,1.0,1.0
535,901,1.0,1.0
189,398,1.0,1.0
101,13,1.0,1.0
296,140,1.0,1.0
319,492,0.0,1.0
738,191,1.0,1.0
10,12,1.0,1.0
677,246,1.0,1.0
898,900,1.0,1.0
285,543,1.0,1.0
91,212,1.0,1.0
73,26,1.0,1.0
314,892,1.0,1.0
64,705,1.0,1.0
500,502,1.0,1.0
905,281,1.0,1.0
138,310,1.0,1.0
62,588,1.0,1.0
479,832,1.0,1.0
483,487,1.0,1.0
712,301,1.0,1.0
933,474,1.0,1.0
802,196,1.0,1.0
561,239,1.0,1.0
499,857,1.0,1.0
62,893,1.0,1.0
363,446,1.0,1.0
244,482,1.0,1.0
584,618,1.0,1.0
32,31,1.0,1.0
909,281,1.0,1.0
100,97,1.0,1.0
934,953,1.0,1.0
718,477,1.0,1.0
168,365,1.0,1.0
86,197,0.0,1.0
774,820,0.0,1.0
76,79,1.0,1.0
116,889,1.0,1.0
442,786,1.0,1.0
151,339,0.0,1.0
181,186,1.0,1.0
570,964,1.0,1.0
346,646,1.0,1.0
459,41,1.0,1.0
525,267,1.0,1.0
392,481,1.0,1.0
896,881,0.0,1.0
62,894,1.0,1.0
323,64,1.0,1.0
195,416,1.0,1.0
442,783,1.0,1.0
438,213,1.0,1.0
861,499,1.0,1.0
516,262,1.0,1.0
62,145,1.0,1.0
940,301,1.0,1.0
110,262,1.0,1.0
481,837,1.0,1.0
129,286,1.0,1.0
62,865,1.0,1.0
344,640,1.0,1.0
544,910,1.0,1.0
680,804,1.0,1.0
458,98,1.0,1.0
212,67,1.0,1.0
438,172,1.0,1.0
17,21,1.0,1.0
59,140,1.0,1.0
197,422,1.0,1.0
230,463,1.0,1.0
390,702,1.0,1.0
550,924,1.0,1.0
71,173,1.0,1.0
288,551,1.0,1.0
757,758,1.0,1.0
321,207,1.0,1.0
524,116,1.0,1.0
119,272,1.0,1.0
133,301,1.0,1.0
