edge_index0,edge_index1,pred,gr
20,0,1.0,1.0
21,0,1.0,1.0
22,0,1.0,1.0
23,1,1.0,1.0
24,2,1.0,1.0
25,2,1.0,1.0
26,4,1.0,1.0
27,4,1.0,1.0
28,4,1.0,1.0
29,6,1.0,1.0
30,6,1.0,1.0
31,6,1.0,1.0
32,7,1.0,1.0
33,7,1.0,1.0
8,7,1.0,1.0
34,8,1.0,1.0
7,8,1.0,1.0
10,9,1.0,1.0
35,9,1.0,1.0
36,9,1.0,1.0
36,10,1.0,1.0
12,10,1.0,1.0
9,10,1.0,1.0
37,11,1.0,1.0
38,13,1.0,1.0
39,14,0.0,1.0
40,14,1.0,1.0
41,15,1.0,1.0
42,15,1.0,1.0
43,15,1.0,1.0
44,16,1.0,1.0
45,16,1.0,1.0
20,17,1.0,1.0
21,17,1.0,1.0
46,17,1.0,1.0
47,18,1.0,1.0
48,18,1.0,1.0
49,18,1.0,1.0
50,18,1.0,1.0
51,19,1.0,1.0
52,19,0.0,1.0
53,19,1.0,1.0
17,20,1.0,1.0
0,20,1.0,1.0
0,21,1.0,1.0
54,21,1.0,1.0
17,22,1.0,1.0
0,22,1.0,1.0
55,22,1.0,1.0
56,23,1.0,1.0
57,23,1.0,1.0
59,23,1.0,1.0
58,23,1.0,1.0
56,23,1.0,1.0
1,23,1.0,1.0
64,24,1.0,1.0
63,24,1.0,1.0
554,24,1.0,1.0
65,24,1.0,1.0
554,24,1.0,1.0
60,24,1.0,1.0
61,24,1.0,1.0
62,24,1.0,1.0
67,24,1.0,1.0
533,24,1.0,1.0
65,25,1.0,1.0
66,25,1.0,1.0
67,25,1.0,1.0
2,25,1.0,1.0
4,26,1.0,1.0
68,26,1.0,1.0
69,27,1.0,1.0
4,27,1.0,1.0
70,27,1.0,1.0
71,28,1.0,1.0
69,28,1.0,1.0
4,28,1.0,1.0
31,29,1.0,1.0
30,29,1.0,1.0
6,29,1.0,1.0
30,29,1.0,1.0
72,30,1.0,1.0
6,30,1.0,1.0
29,30,1.0,1.0
73,30,1.0,1.0
74,31,1.0,1.0
6,31,1.0,1.0
30,31,1.0,1.0
75,32,1.0,1.0
76,32,1.0,1.0
77,32,1.0,1.0
78,32,1.0,1.0
7,32,1.0,1.0
79,33,1.0,1.0
7,33,1.0,1.0
80,33,0.0,1.0
81,34,1.0,1.0
8,34,1.0,1.0
36,35,1.0,1.0
9,36,1.0,1.0
10,36,1.0,1.0
35,36,1.0,1.0
355,37,1.0,1.0
85,37,1.0,1.0
82,37,1.0,1.0
83,37,1.0,1.0
179,37,1.0,1.0
11,37,1.0,1.0
178,37,1.0,1.0
84,37,1.0,1.0
86,37,1.0,1.0
13,38,1.0,1.0
89,39,1.0,1.0
373,39,1.0,1.0
90,39,1.0,1.0
87,39,1.0,1.0
189,39,1.0,1.0
14,39,0.0,1.0
340,39,1.0,1.0
190,39,1.0,1.0
88,39,1.0,1.0
91,40,1.0,1.0
92,40,1.0,1.0
14,40,1.0,1.0
93,40,0.0,1.0
94,40,0.0,1.0
95,41,1.0,1.0
15,41,1.0,1.0
96,41,1.0,1.0
120,41,1.0,1.0
97,41,1.0,1.0
98,41,1.0,1.0
98,42,1.0,1.0
99,42,1.0,1.0
15,42,1.0,1.0
98,43,1.0,1.0
100,43,1.0,1.0
16,44,1.0,1.0
101,44,1.0,1.0
