edge_index0,edge_index1,pred,gr
98,256,1.0,1.0
722,721,1.0,1.0
284,302,1.0,1.0
782,458,1.0,1.0
192,727,1.0,1.0
228,440,1.0,1.0
18,50,1.0,1.0
240,455,1.0,1.0
158,605,1.0,1.0
192,385,1.0,1.0
31,30,1.0,1.0
268,57,1.0,1.0
373,88,1.0,1.0
202,401,1.0,1.0
599,329,1.0,1.0
412,99,1.0,1.0
287,289,1.0,1.0
71,30,1.0,1.0
74,154,1.0,1.0
68,66,1.0,1.0
125,260,1.0,1.0
579,559,1.0,1.0
67,144,1.0,1.0
258,98,1.0,1.0
60,289,1.0,1.0
360,37,1.0,1.0
289,530,1.0,1.0
60,8,1.0,1.0
457,752,1.0,1.0
109,231,1.0,1.0
181,366,1.0,1.0
24,142,1.0,1.0
96,41,1.0,1.0
91,195,1.0,1.0
780,458,1.0,1.0
529,575,1.0,1.0
29,30,1.0,1.0
329,331,1.0,1.0
256,102,1.0,1.0
30,71,1.0,1.0
299,300,1.0,1.0
396,96,1.0,1.0
9,35,1.0,1.0
98,677,1.0,1.0
705,99,1.0,1.0
193,723,0.0,1.0
364,639,1.0,1.0
302,62,1.0,1.0
687,427,0.0,1.0
48,108,1.0,1.0
707,98,1.0,1.0
132,142,1.0,1.0
313,565,1.0,1.0
469,768,1.0,1.0
37,82,1.0,1.0
495,57,1.0,1.0
678,192,1.0,1.0
704,99,1.0,1.0
677,197,1.0,1.0
627,260,1.0,1.0
387,677,1.0,1.0
40,91,0.0,1.0
252,242,1.0,1.0
24,63,1.0,1.0
22,17,1.0,1.0
597,157,1.0,1.0
98,418,1.0,1.0
637,356,1.0,1.0
699,700,1.0,1.0
202,121,1.0,1.0
251,252,0.0,1.0
98,205,1.0,1.0
88,653,1.0,1.0
276,524,1.0,1.0
589,69,1.0,1.0
446,447,1.0,1.0
702,98,1.0,1.0
777,776,1.0,1.0
154,520,1.0,1.0
57,492,1.0,1.0
706,704,1.0,1.0
47,108,1.0,1.0
223,98,1.0,1.0
426,98,1.0,1.0
227,435,1.0,1.0
423,722,1.0,1.0
374,661,1.0,1.0
728,525,1.0,1.0
315,568,1.0,1.0
497,57,1.0,1.0
424,723,0.0,1.0
104,224,0.0,1.0
279,277,1.0,1.0
46,0,1.0,1.0
105,227,1.0,1.0
278,287,1.0,1.0
98,614,1.0,1.0
513,261,1.0,1.0
659,656,0.0,1.0
324,98,1.0,1.0
210,258,1.0,1.0
188,659,1.0,1.0
182,183,1.0,1.0
256,225,1.0,1.0
553,757,1.0,1.0
269,508,1.0,1.0
299,530,1.0,1.0
51,114,1.0,1.0
543,301,1.0,1.0
563,564,1.0,1.0
315,565,1.0,1.0
30,71,1.0,1.0
134,161,1.0,1.0
332,601,1.0,1.0
182,86,1.0,1.0
788,643,1.0,1.0
409,411,1.0,1.0
229,441,1.0,1.0
212,422,1.0,1.0
194,96,1.0,1.0
46,104,1.0,1.0
27,67,1.0,1.0
429,219,1.0,1.0
366,181,1.0,1.0
114,242,1.0,1.0
160,341,1.0,1.0
17,46,1.0,1.0
209,417,1.0,1.0
410,409,1.0,1.0
57,217,1.0,1.0
57,126,1.0,1.0
431,258,1.0,1.0
301,543,1.0,1.0
368,187,1.0,1.0
32,76,1.0,1.0
153,317,1.0,1.0
190,96,1.0,1.0
454,116,1.0,1.0
677,427,1.0,1.0
333,603,1.0,1.0
371,653,1.0,1.0
325,589,1.0,1.0
100,211,1.0,1.0
706,98,1.0,1.0
504,57,1.0,1.0
248,252,1.0,1.0
587,469,1.0,1.0
113,48,1.0,1.0
254,198,1.0,1.0
62,302,1.0,1.0
236,229,1.0,1.0
253,121,1.0,1.0
26,66,1.0,1.0
306,555,1.0,1.0
360,175,1.0,1.0
306,554,1.0,1.0
714,274,1.0,1.0
708,705,1.0,1.0
258,210,1.0,1.0
98,426,1.0,1.0
252,771,0.0,1.0
328,596,1.0,1.0
259,116,1.0,1.0
106,108,1.0,1.0
427,687,0.0,1.0
165,346,1.0,1.0
241,244,0.0,1.0
574,572,1.0,1.0
472,660,1.0,1.0
383,669,1.0,1.0
166,349,1.0,1.0
379,413,1.0,1.0
721,98,1.0,1.0
37,173,1.0,1.0
721,421,1.0,1.0
696,677,1.0,1.0
202,402,1.0,1.0
23,56,1.0,1.0
277,59,1.0,1.0
263,267,1.0,1.0
85,180,1.0,1.0
242,459,1.0,1.0
55,120,1.0,1.0
32,74,1.0,1.0
612,578,1.0,1.0
102,217,1.0,1.0
399,256,1.0,1.0
413,709,0.0,1.0
98,222,1.0,1.0
675,154,1.0,1.0
524,496,1.0,1.0
566,567,1.0,1.0
257,119,1.0,1.0
302,298,1.0,1.0
172,362,1.0,1.0
87,183,1.0,1.0
98,696,1.0,1.0
62,138,1.0,1.0
98,54,1.0,1.0
273,520,1.0,1.0
400,731,1.0,1.0
413,712,1.0,1.0
565,72,1.0,1.0
377,98,1.0,1.0
57,487,1.0,1.0
190,377,1.0,1.0
363,639,1.0,1.0
164,343,1.0,1.0
565,313,1.0,1.0
375,661,1.0,1.0
60,138,1.0,1.0
92,392,1.0,1.0
193,389,1.0,1.0
252,479,1.0,1.0
270,512,0.0,1.0
58,128,1.0,1.0
365,641,1.0,1.0
411,707,1.0,1.0
225,98,1.0,1.0
548,298,1.0,1.0
719,190,1.0,1.0
723,193,0.0,1.0
119,255,1.0,1.0
193,98,1.0,1.0
673,718,1.0,1.0
685,92,0.0,1.0
98,221,1.0,1.0
98,711,1.0,1.0
30,31,1.0,1.0
98,208,1.0,1.0
374,659,1.0,1.0
159,339,1.0,1.0
473,776,1.0,1.0
531,301,1.0,1.0
119,253,1.0,1.0
364,640,1.0,1.0
68,146,1.0,1.0
154,366,0.0,1.0
84,177,1.0,1.0
740,48,1.0,1.0
282,278,1.0,1.0
556,311,1.0,1.0
148,412,1.0,1.0
113,109,1.0,1.0
785,39,0.0,1.0
101,216,1.0,1.0
298,546,1.0,1.0
398,585,1.0,1.0
98,404,1.0,1.0
132,289,1.0,1.0
402,695,1.0,1.0
220,429,1.0,1.0
172,169,1.0,1.0
205,407,1.0,1.0
102,93,1.0,1.0
285,536,1.0,1.0
639,365,1.0,1.0
292,539,1.0,1.0
60,613,1.0,1.0
660,472,1.0,1.0
536,134,1.0,1.0
136,270,1.0,1.0
316,466,0.0,1.0
543,284,1.0,1.0
530,532,1.0,1.0
335,154,1.0,1.0
306,541,1.0,1.0
240,456,1.0,1.0
236,235,1.0,1.0
284,534,1.0,1.0
331,329,1.0,1.0
28,69,1.0,1.0
176,365,1.0,1.0
155,328,1.0,1.0
98,596,1.0,1.0
161,129,1.0,1.0
100,212,1.0,1.0
687,689,1.0,1.0
157,331,1.0,1.0
223,432,0.0,1.0
260,505,1.0,1.0
671,190,1.0,1.0
49,113,1.0,1.0
153,320,0.0,1.0
779,782,1.0,1.0
230,742,1.0,1.0
213,259,0.0,1.0
534,138,1.0,1.0
494,260,1.0,1.0
517,485,1.0,1.0
339,476,1.0,1.0
18,49,1.0,1.0
250,474,1.0,1.0
377,378,1.0,1.0
138,65,1.0,1.0
217,102,1.0,1.0
88,185,1.0,1.0
222,257,1.0,1.0
377,379,1.0,1.0
694,732,1.0,1.0
317,574,1.0,1.0
130,280,1.0,1.0
416,716,1.0,1.0
302,551,1.0,1.0
45,101,1.0,1.0
399,689,0.0,1.0
165,345,1.0,1.0
486,57,1.0,1.0
476,325,1.0,1.0
138,298,1.0,1.0
128,218,1.0,1.0
536,288,1.0,1.0
387,678,1.0,1.0
144,304,1.0,1.0
282,296,1.0,1.0
37,83,1.0,1.0
190,719,1.0,1.0
98,407,1.0,1.0
336,609,1.0,1.0
626,469,1.0,1.0
722,422,1.0,1.0
438,340,0.0,1.0
502,347,1.0,1.0
447,446,1.0,1.0
67,146,1.0,1.0
546,138,1.0,1.0
398,96,1.0,1.0
777,473,1.0,1.0
511,294,1.0,1.0
279,280,1.0,1.0
274,98,1.0,1.0
533,291,1.0,1.0
400,692,1.0,1.0
372,245,1.0,1.0
342,134,1.0,1.0
204,404,1.0,1.0
441,331,0.0,1.0
736,733,1.0,1.0
463,464,1.0,1.0
311,559,1.0,1.0
442,107,1.0,1.0
483,98,1.0,1.0
260,276,1.0,1.0
404,204,1.0,1.0
694,119,1.0,1.0
428,34,1.0,1.0
704,706,1.0,1.0
321,461,1.0,1.0
100,210,1.0,1.0
660,469,1.0,1.0
324,585,1.0,1.0
612,575,1.0,1.0
580,605,1.0,1.0
577,154,1.0,1.0
278,296,1.0,1.0
721,390,1.0,1.0
465,479,1.0,1.0
99,704,1.0,1.0
670,481,1.0,1.0
129,161,1.0,1.0
344,621,1.0,1.0
306,695,1.0,1.0
286,537,1.0,1.0
88,371,1.0,1.0
31,72,1.0,1.0
184,369,1.0,1.0
469,567,0.0,1.0
149,66,1.0,1.0
447,236,1.0,1.0
524,485,1.0,1.0
727,192,1.0,1.0
451,743,1.0,1.0
25,64,1.0,1.0
15,43,1.0,1.0
138,25,1.0,1.0
302,60,1.0,1.0
155,326,1.0,1.0
207,409,1.0,1.0
422,720,1.0,1.0
213,103,1.0,1.0
29,31,1.0,1.0
503,57,1.0,1.0
129,59,1.0,1.0
447,446,1.0,1.0
174,360,1.0,1.0
32,73,1.0,1.0
39,183,1.0,1.0
271,520,1.0,1.0
405,699,1.0,1.0
429,307,1.0,0.0
352,351,0.0,0.0
555,1,1.0,0.0
762,472,0.0,0.0
454,259,1.0,0.0
763,271,1.0,0.0
507,533,1.0,0.0
159,764,1.0,0.0
549,696,1.0,0.0
550,785,1.0,0.0
430,30,0.0,0.0
444,151,1.0,0.0
340,445,0.0,0.0
217,282,1.0,0.0
437,18,1.0,0.0
137,750,0.0,0.0
768,432,0.0,0.0
704,497,1.0,0.0
2,67,1.0,0.0
138,407,1.0,0.0
167,669,1.0,0.0
594,261,1.0,0.0
540,476,1.0,0.0
37,605,0.0,0.0
274,526,1.0,0.0
7,484,1.0,0.0
759,602,0.0,0.0
494,145,1.0,0.0
268,554,1.0,0.0
219,157,1.0,0.0
230,87,1.0,0.0
490,211,1.0,0.0
130,219,1.0,0.0
161,776,0.0,0.0
22,218,1.0,0.0
327,647,0.0,0.0
238,691,0.0,0.0
698,601,1.0,0.0
296,657,0.0,0.0
307,572,1.0,0.0
446,268,0.0,0.0
496,314,0.0,0.0
237,456,1.0,0.0
373,509,0.0,0.0
436,87,1.0,0.0
488,185,0.0,0.0
646,740,1.0,0.0
479,417,0.0,0.0
331,84,0.0,0.0
708,136,1.0,0.0
727,120,1.0,0.0
162,121,0.0,0.0
0,238,0.0,0.0
677,32,1.0,0.0
561,775,0.0,0.0
729,43,1.0,0.0
183,320,1.0,0.0
461,273,1.0,0.0
33,735,0.0,0.0
344,643,1.0,0.0
34,700,1.0,0.0
625,584,0.0,0.0
452,510,0.0,0.0
172,290,0.0,0.0
338,321,1.0,0.0
455,345,1.0,0.0
748,639,1.0,0.0
72,100,0.0,0.0
21,423,1.0,0.0
59,646,0.0,0.0
746,720,0.0,0.0
662,223,1.0,0.0
581,519,1.0,0.0
499,646,0.0,0.0
520,44,1.0,0.0
119,157,1.0,0.0
148,337,1.0,0.0
142,272,1.0,0.0
160,434,0.0,0.0
124,237,0.0,0.0
439,172,1.0,0.0
494,559,1.0,0.0
478,377,0.0,0.0
603,615,0.0,0.0
313,660,0.0,0.0
63,362,0.0,0.0
122,704,1.0,0.0
105,775,1.0,0.0
694,177,1.0,0.0
763,461,1.0,0.0
467,448,0.0,0.0
577,289,1.0,0.0
507,466,1.0,0.0
407,502,1.0,0.0
582,569,0.0,0.0
628,416,1.0,0.0
414,159,0.0,0.0
414,366,1.0,0.0
719,677,1.0,0.0
91,188,0.0,0.0
453,343,1.0,0.0
64,401,1.0,0.0
3,370,1.0,0.0
418,781,0.0,0.0
195,436,1.0,0.0
90,92,0.0,0.0
769,432,1.0,0.0
331,173,0.0,0.0
120,784,1.0,0.0
505,449,0.0,0.0
491,236,0.0,0.0
238,138,0.0,0.0
297,576,1.0,0.0
596,141,1.0,0.0
408,350,1.0,0.0
567,490,0.0,0.0
151,423,0.0,0.0
726,19,0.0,0.0
261,482,1.0,0.0
352,309,0.0,0.0
695,386,0.0,0.0
138,397,1.0,0.0
737,204,0.0,0.0
362,540,0.0,0.0
210,324,1.0,0.0
120,70,0.0,0.0
584,529,1.0,0.0
581,546,1.0,0.0
781,272,0.0,0.0
106,172,1.0,0.0
415,568,0.0,0.0
384,341,1.0,0.0
767,122,0.0,0.0
649,655,1.0,0.0
194,648,0.0,0.0
680,213,1.0,0.0
462,739,0.0,0.0
369,413,0.0,0.0
396,397,1.0,0.0
100,284,1.0,0.0
189,541,1.0,0.0
271,510,1.0,0.0
330,49,0.0,0.0
683,711,1.0,0.0
511,763,1.0,0.0
147,269,1.0,0.0
453,417,0.0,0.0
669,453,0.0,0.0
738,675,0.0,0.0
340,70,0.0,0.0
474,157,0.0,0.0
329,499,1.0,0.0
