edge_index0,edge_index1,pred,gr
845,477,1.0,1.0
213,458,1.0,1.0
259,258,1.0,1.0
320,603,1.0,1.0
79,11,1.0,1.0
881,886,1.0,1.0
472,471,1.0,1.0
631,629,1.0,1.0
206,38,1.0,1.0
299,309,1.0,1.0
719,830,1.0,1.0
446,338,1.0,1.0
510,869,1.0,1.0
521,774,1.0,1.0
794,792,1.0,1.0
435,300,1.0,1.0
278,549,1.0,1.0
219,99,1.0,1.0
893,539,1.0,1.0
186,86,1.0,1.0
432,771,1.0,1.0
125,289,1.0,1.0
27,73,1.0,1.0
393,577,1.0,1.0
742,738,1.0,1.0
532,888,1.0,1.0
92,208,1.0,1.0
35,32,1.0,1.0
495,507,1.0,1.0
215,462,1.0,1.0
723,401,1.0,1.0
44,100,1.0,1.0
432,250,1.0,1.0
63,224,1.0,1.0
430,577,1.0,1.0
376,683,1.0,1.0
57,63,1.0,1.0
413,738,1.0,1.0
472,830,1.0,1.0
285,134,1.0,1.0
79,176,1.0,1.0
729,727,1.0,1.0
724,189,1.0,1.0
43,221,1.0,1.0
63,862,1.0,1.0
334,792,1.0,1.0
379,686,1.0,1.0
278,211,1.0,1.0
812,462,1.0,1.0
33,34,1.0,1.0
89,201,1.0,1.0
923,920,1.0,1.0
205,202,1.0,1.0
704,630,1.0,1.0
691,386,1.0,1.0
700,911,1.0,1.0
369,242,1.0,1.0
94,213,1.0,1.0
118,265,1.0,1.0
155,26,1.0,1.0
483,63,1.0,1.0
577,599,1.0,1.0
696,79,1.0,1.0
481,435,1.0,1.0
467,818,1.0,1.0
298,279,1.0,1.0
495,509,1.0,1.0
245,500,1.0,1.0
665,72,1.0,1.0
393,604,1.0,1.0
44,98,1.0,1.0
46,102,1.0,1.0
326,324,1.0,1.0
275,267,1.0,1.0
249,147,1.0,1.0
577,602,1.0,1.0
268,536,1.0,1.0
72,163,1.0,1.0
265,532,1.0,1.0
158,156,1.0,1.0
248,109,1.0,1.0
549,93,1.0,1.0
393,706,1.0,1.0
337,634,1.0,1.0
296,295,1.0,1.0
394,707,1.0,1.0
279,277,1.0,1.0
512,511,1.0,1.0
63,283,1.0,1.0
229,306,1.0,1.0
119,258,1.0,1.0
12,9,1.0,1.0
643,138,1.0,1.0
101,235,1.0,1.0
512,525,1.0,1.0
122,275,1.0,1.0
577,430,1.0,1.0
260,525,1.0,1.0
536,120,1.0,1.0
417,742,1.0,1.0
330,627,1.0,1.0
63,139,1.0,1.0
76,168,1.0,1.0
555,916,1.0,1.0
762,87,1.0,1.0
895,192,1.0,1.0
539,540,1.0,1.0
486,63,0.0,1.0
586,310,1.0,1.0
69,156,1.0,1.0
387,691,1.0,1.0
89,202,1.0,1.0
854,107,1.0,1.0
171,4,1.0,1.0
77,745,1.0,1.0
525,512,1.0,1.0
140,312,1.0,1.0
109,251,1.0,1.0
249,109,1.0,1.0
212,452,1.0,1.0
215,461,1.0,1.0
386,689,1.0,1.0
197,147,1.0,1.0
250,503,1.0,1.0
334,333,1.0,1.0
156,26,1.0,1.0
356,657,1.0,1.0
213,802,1.0,1.0
130,295,1.0,1.0
455,368,1.0,1.0
900,652,1.0,1.0
134,62,1.0,1.0
386,691,1.0,1.0
794,84,1.0,1.0
147,146,1.0,1.0
860,856,1.0,1.0
469,580,1.0,1.0
330,921,1.0,1.0
630,868,1.0,1.0
93,278,1.0,1.0
646,816,1.0,1.0
189,794,1.0,1.0
64,616,1.0,1.0
533,263,1.0,1.0
257,513,1.0,1.0
310,586,1.0,1.0
545,602,0.0,0.0
529,53,1.0,0.0
682,509,0.0,0.0
363,372,0.0,0.0
166,896,0.0,0.0
445,108,0.0,0.0
236,71,1.0,0.0
571,814,0.0,0.0
796,917,0.0,0.0
351,102,1.0,0.0
551,869,0.0,0.0
242,304,0.0,0.0
476,263,0.0,0.0
709,177,1.0,0.0
73,37,0.0,0.0
164,349,0.0,0.0
819,425,1.0,0.0
498,835,0.0,0.0
405,767,0.0,0.0
180,792,0.0,0.0
814,561,1.0,0.0
380,771,0.0,0.0
778,39,0.0,0.0
902,784,1.0,0.0
758,11,0.0,0.0
259,57,1.0,0.0
540,0,1.0,0.0
230,17,0.0,0.0
666,254,1.0,0.0
460,256,0.0,0.0
556,167,1.0,0.0
26,255,1.0,0.0
194,742,0.0,0.0
310,258,0.0,0.0
739,824,0.0,0.0
103,352,1.0,0.0
75,263,1.0,0.0
707,26,0.0,0.0
656,814,1.0,0.0
434,177,1.0,0.0
445,653,1.0,0.0
914,797,0.0,0.0
56,382,1.0,0.0
779,194,0.0,0.0
606,615,0.0,0.0
757,818,0.0,0.0
792,25,0.0,0.0
272,775,1.0,0.0
437,887,0.0,0.0
258,390,1.0,0.0
698,921,1.0,0.0
747,126,0.0,0.0
145,529,0.0,0.0
232,301,1.0,0.0
366,660,0.0,0.0
178,126,0.0,0.0
813,516,0.0,0.0
690,568,1.0,0.0
255,145,0.0,0.0
661,567,1.0,0.0
77,57,0.0,0.0
319,58,1.0,0.0
