edge_index0,edge_index1,pred,gr
108,213,1.0,1.0
352,255,1.0,1.0
349,605,1.0,1.0
64,496,1.0,1.0
235,415,1.0,1.0
494,205,1.0,1.0
76,486,1.0,1.0
167,307,1.0,1.0
151,290,1.0,1.0
51,98,1.0,1.0
188,343,1.0,1.0
231,4,1.0,1.0
110,218,1.0,1.0
106,42,1.0,1.0
476,238,1.0,1.0
346,600,1.0,1.0
267,472,1.0,1.0
166,309,1.0,1.0
466,462,1.0,1.0
145,278,1.0,1.0
51,355,1.0,1.0
152,73,1.0,1.0
106,210,1.0,1.0
61,34,1.0,1.0
254,136,1.0,1.0
51,541,1.0,1.0
599,138,1.0,1.0
84,180,1.0,1.0
398,604,1.0,1.0
263,465,1.0,1.0
601,497,1.0,1.0
17,45,1.0,1.0
370,371,1.0,1.0
333,310,0.0,1.0
581,187,1.0,1.0
575,386,1.0,1.0
264,301,1.0,1.0
365,51,1.0,1.0
497,530,1.0,1.0
113,220,1.0,1.0
474,265,1.0,1.0
529,223,0.0,1.0
309,305,1.0,1.0
152,291,1.0,1.0
414,499,1.0,1.0
219,395,1.0,1.0
551,178,1.0,1.0
242,428,1.0,1.0
156,293,1.0,1.0
155,146,1.0,1.0
432,66,1.0,1.0
184,87,1.0,1.0
42,80,1.0,1.0
393,75,1.0,1.0
34,148,1.0,1.0
292,275,1.0,1.0
28,66,1.0,1.0
190,346,1.0,1.0
137,250,1.0,1.0
428,243,1.0,1.0
34,24,1.0,1.0
167,305,1.0,1.0
144,272,1.0,1.0
169,314,1.0,1.0
219,396,1.0,1.0
311,535,1.0,1.0
275,510,1.0,1.0
567,202,1.0,1.0
109,216,1.0,1.0
327,564,1.0,1.0
79,167,1.0,1.0
269,475,1.0,1.0
295,515,1.0,1.0
542,540,1.0,1.0
309,304,1.0,1.0
214,282,0.0,1.0
91,92,1.0,1.0
8,34,1.0,1.0
313,537,0.0,1.0
175,103,1.0,1.0
218,156,1.0,1.0
325,386,0.0,1.0
151,282,1.0,1.0
350,607,1.0,1.0
386,86,0.0,1.0
238,423,1.0,1.0
232,127,1.0,1.0
452,441,1.0,1.0
317,546,1.0,1.0
298,78,1.0,1.0
51,206,1.0,1.0
51,97,1.0,1.0
120,34,1.0,1.0
452,490,1.0,1.0
235,416,1.0,1.0
129,241,1.0,1.0
333,523,1.0,1.0
606,607,1.0,1.0
548,516,1.0,1.0
192,346,1.0,1.0
1,537,0.0,1.0
126,311,1.0,1.0
173,53,1.0,1.0
59,413,1.0,1.0
81,318,1.0,1.0
260,457,1.0,1.0
386,325,0.0,1.0
85,180,1.0,1.0
139,414,1.0,1.0
273,122,0.0,1.0
326,564,1.0,1.0
