edge_index0,edge_index1,pred,gr
1048,1043,1.0,1.0
124,127,1.0,1.0
572,4,1.0,1.0
748,685,1.0,1.0
1117,703,1.0,1.0
502,498,1.0,1.0
397,850,1.0,1.0
626,1172,1.0,1.0
1381,1347,1.0,1.0
550,1085,1.0,1.0
256,212,1.0,1.0
564,79,1.0,1.0
1085,549,1.0,1.0
253,250,1.0,1.0
245,244,1.0,1.0
666,285,1.0,1.0
872,873,1.0,1.0
449,462,1.0,1.0
1129,1345,1.0,1.0
590,309,1.0,1.0
1258,1259,1.0,1.0
395,842,1.0,1.0
72,209,1.0,1.0
1279,1276,1.0,1.0
1125,292,1.0,1.0
288,41,1.0,1.0
70,26,1.0,1.0
220,533,1.0,1.0
630,1176,1.0,1.0
375,367,1.0,1.0
539,1066,1.0,1.0
127,328,1.0,1.0
105,288,1.0,1.0
898,842,1.0,1.0
96,278,1.0,1.0
116,305,1.0,1.0
803,1351,1.0,1.0
288,245,1.0,1.0
553,1089,1.0,1.0
97,280,1.0,1.0
737,1145,1.0,1.0
1204,647,1.0,1.0
46,125,1.0,1.0
852,561,0.0,1.0
570,484,1.0,1.0
290,673,1.0,1.0
397,485,1.0,1.0
316,61,1.0,1.0
12,10,1.0,1.0
138,353,1.0,1.0
149,388,1.0,1.0
437,179,1.0,1.0
140,361,1.0,1.0
1026,603,1.0,1.0
1355,815,1.0,1.0
1234,1238,1.0,1.0
821,1375,1.0,1.0
739,129,1.0,1.0
45,122,1.0,1.0
1068,469,1.0,1.0
10,9,1.0,1.0
45,161,1.0,1.0
253,1161,1.0,1.0
1293,61,1.0,1.0
230,243,1.0,1.0
740,129,1.0,1.0
131,339,1.0,1.0
66,187,1.0,1.0
794,1245,1.0,1.0
295,394,1.0,1.0
723,1273,1.0,1.0
310,625,1.0,1.0
310,521,1.0,1.0
645,901,1.0,1.0
1050,511,1.0,1.0
441,442,1.0,1.0
640,641,1.0,1.0
647,1190,1.0,1.0
348,759,1.0,1.0
65,454,1.0,1.0
99,95,1.0,1.0
176,22,1.0,1.0
1381,383,1.0,1.0
1189,425,1.0,1.0
186,437,1.0,1.0
203,499,1.0,1.0
671,291,1.0,1.0
149,384,1.0,1.0
511,490,1.0,1.0
612,1165,1.0,1.0
323,15,1.0,1.0
611,1160,1.0,1.0
26,224,1.0,1.0
61,874,1.0,1.0
452,954,1.0,1.0
100,9,1.0,1.0
528,1060,1.0,1.0
74,222,1.0,1.0
338,747,1.0,1.0
