edge_index0,edge_index1,pred,gr
20,0,1.0,1.0
21,0,1.0,1.0
22,0,1.0,1.0
23,1,1.0,1.0
24,1,1.0,1.0
25,2,1.0,1.0
26,2,1.0,1.0
27,3,1.0,1.0
28,4,1.0,1.0
29,5,1.0,1.0
30,6,1.0,1.0
31,6,1.0,1.0
32,7,1.0,1.0
33,7,1.0,1.0
8,7,1.0,1.0
34,8,1.0,1.0
35,8,1.0,1.0
12,9,1.0,1.0
36,10,1.0,1.0
9,10,1.0,1.0
37,11,1.0,1.0
9,12,1.0,1.0
38,13,1.0,1.0
39,13,1.0,1.0
40,14,1.0,1.0
41,14,1.0,1.0
42,15,1.0,1.0
43,15,1.0,1.0
44,16,1.0,1.0
45,16,1.0,1.0
20,17,1.0,1.0
46,17,1.0,1.0
21,17,1.0,1.0
22,17,1.0,1.0
47,18,1.0,1.0
48,18,1.0,1.0
49,18,1.0,1.0
50,18,1.0,1.0
51,19,1.0,1.0
52,19,1.0,1.0
53,19,1.0,1.0
54,20,1.0,1.0
0,20,1.0,1.0
0,21,1.0,1.0
55,21,1.0,1.0
17,21,1.0,1.0
17,22,1.0,1.0
56,22,1.0,1.0
57,22,1.0,1.0
58,22,1.0,1.0
59,22,1.0,1.0
60,22,1.0,1.0
61,23,1.0,1.0
61,23,1.0,1.0
1,23,1.0,1.0
62,23,1.0,1.0
63,23,1.0,1.0
1,24,1.0,1.0
64,25,1.0,1.0
451,25,1.0,1.0
2,25,1.0,1.0
67,25,1.0,1.0
65,25,1.0,1.0
66,25,1.0,1.0
71,25,1.0,1.0
35,25,1.0,1.0
68,25,1.0,1.0
69,25,1.0,1.0
74,25,1.0,1.0
70,25,1.0,1.0
454,25,1.0,1.0
72,25,1.0,1.0
73,26,1.0,1.0
74,26,1.0,1.0
75,26,1.0,1.0
73,26,1.0,1.0
2,26,1.0,1.0
4,28,1.0,1.0
76,28,1.0,1.0
77,28,1.0,1.0
37,29,1.0,1.0
78,29,1.0,1.0
79,30,1.0,1.0
6,30,1.0,1.0
80,30,1.0,1.0
31,30,1.0,1.0
79,30,1.0,1.0
81,30,1.0,1.0
82,30,1.0,1.0
81,30,1.0,1.0
82,30,1.0,1.0
30,31,1.0,1.0
6,31,1.0,1.0
83,32,1.0,1.0
84,32,1.0,1.0
85,32,1.0,1.0
7,32,1.0,1.0
86,33,1.0,1.0
87,33,1.0,1.0
460,35,1.0,1.0
246,35,1.0,1.0
90,35,1.0,1.0
95,35,1.0,1.0
88,35,1.0,1.0
256,35,1.0,1.0
91,35,1.0,1.0
251,35,1.0,1.0
89,35,1.0,1.0
8,35,1.0,1.0
75,35,1.0,1.0
93,35,1.0,1.0
92,35,1.0,1.0
25,35,1.0,1.0
94,35,1.0,1.0
254,35,1.0,1.0
96,35,1.0,1.0
97,36,1.0,1.0
10,36,1.0,1.0
29,37,1.0,1.0
98,37,1.0,1.0
99,37,1.0,1.0
11,37,1.0,1.0
100,37,1.0,1.0
271,37,1.0,1.0
101,37,1.0,1.0
102,37,1.0,1.0
105,37,1.0,1.0
103,37,1.0,1.0
104,37,1.0,1.0
272,37,1.0,1.0
39,38,1.0,1.0
13,39,1.0,1.0
38,39,1.0,1.0
106,40,1.0,1.0
107,40,1.0,1.0
14,40,1.0,1.0
108,40,1.0,1.0
109,40,1.0,1.0
110,41,1.0,1.0
