edge_index0,edge_index1,pred,gr
1273,659,1.0,1.0
1080,537,1.0,1.0
276,628,1.0,1.0
458,954,1.0,1.0
1255,1253,1.0,1.0
344,343,1.0,1.0
881,433,1.0,1.0
1134,318,1.0,1.0
670,412,1.0,1.0
860,424,1.0,1.0
120,1282,1.0,1.0
1115,245,1.0,1.0
64,318,1.0,1.0
1191,515,1.0,1.0
82,11,1.0,1.0
458,425,1.0,1.0
1326,1039,1.0,1.0
101,102,1.0,1.0
949,946,1.0,1.0
265,38,1.0,1.0
1350,819,1.0,1.0
267,615,1.0,1.0
151,159,1.0,1.0
1093,284,1.0,1.0
75,202,1.0,1.0
918,919,1.0,1.0
405,823,1.0,1.0
383,410,1.0,1.0
739,1178,1.0,1.0
1263,817,1.0,1.0
415,865,1.0,1.0
566,1109,1.0,1.0
412,389,1.0,1.0
367,783,1.0,1.0
619,1179,1.0,1.0
1337,756,1.0,1.0
239,89,1.0,1.0
1013,1037,0.0,1.0
335,693,1.0,1.0
139,377,1.0,1.0
1188,1157,1.0,1.0
27,72,1.0,1.0
292,414,1.0,1.0
707,695,1.0,1.0
336,46,1.0,1.0
534,1062,1.0,1.0
915,913,1.0,1.0
65,461,1.0,1.0
727,1137,1.0,1.0
707,120,1.0,1.0
956,688,1.0,1.0
449,939,1.0,1.0
264,606,1.0,1.0
699,1279,1.0,1.0
35,32,1.0,1.0
1136,971,1.0,1.0
689,715,1.0,1.0
1231,246,1.0,1.0
413,849,1.0,1.0
1136,993,1.0,1.0
277,638,1.0,1.0
432,893,1.0,1.0
1361,854,1.0,1.0
463,902,1.0,1.0
1097,557,1.0,1.0
1129,1008,1.0,1.0
1191,428,1.0,1.0
44,110,1.0,1.0
335,334,1.0,1.0
64,296,1.0,1.0
122,336,1.0,1.0
537,1066,1.0,1.0
413,414,1.0,1.0
964,967,1.0,1.0
528,1046,1.0,1.0
772,455,1.0,1.0
539,291,1.0,1.0
57,64,1.0,1.0
44,112,0.0,1.0
101,284,1.0,1.0
673,392,1.0,1.0
65,876,1.0,1.0
373,60,1.0,1.0
653,1240,1.0,1.0
847,811,1.0,1.0
728,727,1.0,1.0
679,1271,1.0,1.0
82,226,0.0,1.0
1101,1099,1.0,1.0
1055,242,1.0,1.0
43,105,1.0,1.0
64,161,1.0,1.0
1163,1227,1.0,1.0
1058,1054,1.0,1.0
575,1109,1.0,1.0
588,1150,1.0,1.0
1254,621,1.0,1.0
521,1037,1.0,1.0
367,630,1.0,1.0
1202,638,1.0,1.0
981,575,1.0,1.0
458,948,1.0,1.0
33,34,1.0,1.0
1230,286,1.0,1.0
413,847,1.0,1.0
443,924,1.0,1.0
435,905,1.0,1.0
874,422,1.0,1.0
1370,1367,1.0,1.0
255,257,1.0,1.0
754,688,0.0,1.0
1011,1008,1.0,1.0
543,230,1.0,1.0
1016,910,1.0,1.0
1372,1373,1.0,1.0
324,704,1.0,1.0
845,306,1.0,1.0
515,319,0.0,1.0
679,632,1.0,1.0
99,276,1.0,1.0
663,1254,1.0,1.0
133,351,1.0,1.0
913,915,1.0,1.0
70,26,1.0,1.0
78,209,1.0,1.0
414,859,1.0,1.0
1214,458,1.0,1.0
545,82,1.0,1.0
671,412,1.0,1.0
1261,669,1.0,1.0
643,1208,1.0,1.0
392,364,1.0,1.0
966,963,1.0,1.0
689,718,1.0,1.0
169,185,1.0,1.0
696,1297,1.0,1.0
1022,76,1.0,1.0
216,523,1.0,1.0
292,654,1.0,1.0
44,108,1.0,1.0
46,114,1.0,1.0
458,1214,1.0,1.0
983,811,1.0,1.0
