edge_index0,edge_index1,pred,gr
138,325,0.0,1.0
554,969,1.0,1.0
259,539,1.0,1.0
69,837,1.0,1.0
346,675,1.0,1.0
292,296,1.0,1.0
79,169,0.0,1.0
477,882,1.0,1.0
78,200,1.0,1.0
191,422,1.0,1.0
259,543,1.0,1.0
362,4,1.0,1.0
235,493,1.0,1.0
906,503,1.0,1.0
140,220,1.0,1.0
130,42,1.0,1.0
812,377,1.0,1.0
548,965,1.0,1.0
959,357,1.0,1.0
827,829,1.0,1.0
430,714,1.0,1.0
232,478,1.0,1.0
319,134,1.0,1.0
436,823,1.0,1.0
382,380,1.0,1.0
197,443,1.0,1.0
82,80,1.0,1.0
130,305,1.0,1.0
489,890,1.0,1.0
67,34,1.0,1.0
347,678,1.0,1.0
408,188,1.0,1.0
476,484,1.0,1.0
52,903,1.0,1.0
384,735,0.0,1.0
964,190,1.0,1.0
93,250,1.0,1.0
210,464,1.0,1.0
494,897,1.0,1.0
851,550,0.0,1.0
381,383,1.0,1.0
333,274,1.0,1.0
429,874,1.0,1.0
17,45,1.0,1.0
101,257,1.0,1.0
125,293,1.0,1.0
427,473,1.0,1.0
466,858,1.0,1.0
929,94,1.0,1.0
190,852,1.0,1.0
274,618,1.0,1.0
810,428,1.0,1.0
741,314,1.0,1.0
229,358,0.0,1.0
393,755,1.0,1.0
817,368,1.0,1.0
569,52,1.0,1.0
478,476,1.0,1.0
82,214,1.0,1.0
633,885,1.0,1.0
344,209,1.0,1.0
176,173,1.0,1.0
154,345,1.0,1.0
528,248,1.0,1.0
183,396,1.0,1.0
216,218,1.0,1.0
84,198,1.0,1.0
692,959,1.0,1.0
660,203,1.0,1.0
395,71,1.0,1.0
254,96,1.0,1.0
42,89,1.0,1.0
146,336,1.0,1.0
34,199,1.0,1.0
130,300,1.0,1.0
57,132,1.0,1.0
398,71,1.0,1.0
28,71,0.0,1.0
261,548,1.0,1.0
508,907,1.0,1.0
189,404,1.0,1.0
396,184,1.0,1.0
705,701,1.0,1.0
395,757,1.0,1.0
34,24,1.0,1.0
477,476,1.0,1.0
196,366,1.0,1.0
236,500,1.0,1.0
154,281,1.0,1.0
376,706,1.0,1.0
745,230,1.0,1.0
132,133,1.0,1.0
525,466,1.0,1.0
301,624,1.0,1.0
386,742,1.0,1.0
139,327,1.0,1.0
513,286,1.0,1.0
88,477,1.0,1.0
602,215,1.0,1.0
885,230,1.0,1.0
432,632,1.0,1.0
570,52,1.0,1.0
469,866,1.0,1.0
272,116,1.0,1.0
904,902,1.0,1.0
478,231,1.0,1.0
326,142,0.0,1.0
446,65,1.0,1.0
371,262,1.0,1.0
100,102,1.0,1.0
492,52,1.0,1.0
8,34,1.0,1.0
357,271,1.0,1.0
801,817,1.0,1.0
839,588,1.0,1.0
136,320,1.0,1.0
245,108,1.0,1.0
220,216,1.0,1.0
288,293,0.0,1.0
78,142,1.0,1.0
537,946,1.0,1.0
293,95,1.0,1.0
377,731,1.0,1.0
417,788,1.0,1.0
363,168,1.0,1.0
849,173,1.0,1.0
523,522,1.0,1.0
285,603,1.0,1.0
470,87,1.0,1.0
780,768,0.0,1.0
52,297,1.0,1.0
628,314,1.0,1.0
485,487,1.0,1.0
141,34,1.0,1.0
371,370,1.0,1.0
346,676,1.0,1.0
177,389,1.0,1.0
314,873,1.0,1.0
789,978,1.0,1.0
498,516,1.0,1.0
135,79,1.0,1.0
263,548,1.0,1.0
171,376,0.0,1.0
121,55,1.0,1.0
814,587,1.0,1.0
65,153,1.0,1.0
90,235,1.0,1.0
293,288,0.0,1.0
321,650,1.0,1.0
94,250,1.0,1.0
191,344,1.0,1.0
314,628,1.0,1.0
145,275,1.0,1.0
328,143,1.0,1.0
512,286,1.0,1.0
77,147,1.0,1.0
