edge_index0,edge_index1,pred,gr
211,4,1.0,1.0
549,1039,1.0,1.0
826,632,1.0,1.0
330,708,1.0,1.0
1153,1154,1.0,1.0
238,554,1.0,1.0
347,333,1.0,1.0
631,123,1.0,1.0
123,667,1.0,1.0
642,1164,1.0,1.0
486,961,0.0,1.0
921,923,1.0,1.0
75,190,1.0,1.0
79,195,1.0,1.0
176,177,1.0,1.0
834,640,1.0,1.0
207,592,1.0,1.0
83,220,1.0,1.0
123,301,1.0,1.0
808,46,1.0,1.0
711,131,1.0,1.0
26,73,1.0,1.0
367,1302,1.0,1.0
92,229,1.0,1.0
67,178,1.0,1.0
1154,1153,1.0,1.0
1202,1066,1.0,1.0
587,247,1.0,1.0
975,579,1.0,1.0
637,1154,1.0,1.0
517,993,1.0,1.0
878,412,1.0,1.0
102,258,1.0,1.0
410,441,1.0,1.0
607,508,1.0,1.0
568,268,1.0,1.0
17,23,1.0,1.0
618,533,1.0,1.0
713,712,1.0,1.0
580,578,1.0,1.0
269,602,1.0,1.0
101,250,1.0,1.0
376,64,1.0,1.0
206,479,1.0,1.0
661,1185,1.0,1.0
764,759,1.0,1.0
380,346,1.0,1.0
265,188,1.0,1.0
456,917,1.0,1.0
1165,554,1.0,1.0
153,378,1.0,1.0
72,241,1.0,1.0
375,734,1.0,1.0
305,667,1.0,1.0
131,61,0.0,1.0
784,194,1.0,1.0
714,691,1.0,1.0
909,497,1.0,1.0
361,756,1.0,1.0
479,482,1.0,1.0
374,63,1.0,1.0
1267,135,1.0,1.0
99,247,1.0,1.0
71,72,1.0,1.0
843,195,1.0,1.0
577,1070,1.0,1.0
62,156,1.0,1.0
66,370,1.0,1.0
495,501,1.0,1.0
83,216,1.0,1.0
440,410,1.0,1.0
1274,733,1.0,1.0
1042,298,1.0,1.0
444,69,1.0,1.0
622,285,1.0,1.0
1204,367,1.0,1.0
60,152,1.0,1.0
317,66,1.0,1.0
1315,123,1.0,1.0
353,354,1.0,1.0
1295,987,1.0,1.0
43,31,1.0,1.0
708,326,1.0,1.0
69,874,1.0,1.0
700,704,1.0,1.0
1139,414,1.0,1.0
410,69,1.0,1.0
770,1309,1.0,1.0
42,41,1.0,1.0
314,677,1.0,1.0
267,568,1.0,1.0
