edge_index0,edge_index1,pred,gr
732,753,1.0,1.0
1846,1141,1.0,1.0
1656,931,1.0,1.0
421,411,0.0,1.0
423,1048,1.0,1.0
1839,1779,1.0,1.0
536,535,1.0,1.0
628,64,1.0,1.0
243,230,1.0,1.0
1690,502,1.0,1.0
1150,590,1.0,1.0
724,696,1.0,1.0
137,503,1.0,1.0
970,378,1.0,1.0
1674,1923,1.0,1.0
64,502,1.0,1.0
1028,896,1.0,1.0
87,11,1.0,1.0
1563,1978,0.0,1.0
423,695,1.0,1.0
1875,1368,1.0,1.0
1663,2111,1.0,1.0
2354,2348,1.0,1.0
118,115,1.0,1.0
1436,1425,1.0,1.0
387,38,1.0,1.0
831,1421,1.0,1.0
1882,1852,1.0,1.0
396,1007,1.0,1.0
1578,2067,1.0,1.0
168,493,1.0,1.0
792,1258,1.0,1.0
1470,437,1.0,1.0
80,319,1.0,1.0
67,2207,0.0,1.0
2085,1057,1.0,1.0
1546,1547,1.0,1.0
1498,1531,1.0,1.0
1991,992,1.0,1.0
1165,1855,1.0,1.0
572,1276,1.0,1.0
1470,1579,1.0,1.0
2079,1923,1.0,1.0
1204,1078,1.0,1.0
1408,1968,1.0,1.0
612,616,1.0,1.0
686,729,1.0,1.0
963,1541,1.0,1.0
590,576,0.0,1.0
2086,914,1.0,1.0
2330,280,1.0,1.0
2238,2272,1.0,1.0
426,1077,1.0,1.0
1134,1824,1.0,1.0
1347,1938,1.0,1.0
1420,1977,1.0,1.0
427,428,1.0,1.0
1105,1109,1.0,1.0
180,126,1.0,1.0
1879,1228,1.0,1.0
2313,67,0.0,1.0
1328,782,1.0,1.0
372,94,1.0,1.0
1590,928,1.0,1.0
526,645,1.0,1.0
423,271,1.0,1.0
1784,2095,1.0,1.0
2017,2228,1.0,1.0
1737,2307,1.0,1.0
156,561,1.0,1.0
2079,1605,1.0,1.0
1715,1031,1.0,1.0
27,76,1.0,1.0
461,232,1.0,1.0
2180,1179,1.0,1.0
623,622,1.0,1.0
2253,1785,1.0,1.0
1600,2079,1.0,1.0
527,46,1.0,1.0
1055,1118,1.0,1.0
915,1623,1.0,1.0
818,816,1.0,1.0
178,601,1.0,1.0
65,211,1.0,1.0
1551,1032,1.0,1.0
823,236,1.0,1.0
210,660,1.0,1.0
101,393,1.0,1.0
623,137,1.0,1.0
1052,697,1.0,1.0
790,1258,1.0,1.0
97,388,1.0,1.0
1170,1350,1.0,1.0
35,32,1.0,1.0
626,891,1.0,1.0
528,1182,1.0,1.0
1716,1715,1.0,1.0
1537,379,0.0,1.0
1094,850,1.0,1.0
685,722,1.0,1.0
626,627,1.0,1.0
422,905,1.0,1.0
736,1370,1.0,1.0
1734,1729,1.0,1.0
67,252,1.0,1.0
703,717,1.0,1.0
268,717,1.0,1.0
2131,2054,1.0,1.0
767,743,1.0,1.0
1524,1517,1.0,1.0
596,520,1.0,1.0
1382,949,1.0,1.0
1687,1481,1.0,1.0
1721,1559,1.0,1.0
2235,1972,1.0,1.0
438,764,1.0,1.0
556,1254,1.0,1.0
1028,344,1.0,1.0
1096,1112,1.0,1.0
2055,2135,1.0,1.0
44,127,1.0,1.0
526,525,1.0,1.0
2119,26,1.0,1.0
1886,2203,1.0,1.0
64,474,1.0,1.0
139,527,0.0,1.0
2182,1947,1.0,1.0
931,1647,1.0,1.0
685,232,1.0,1.0
1474,1409,1.0,1.0
697,802,1.0,1.0
2259,2344,1.0,1.0
921,1639,1.0,1.0
2125,2124,1.0,1.0
1252,759,1.0,1.0
2254,1566,1.0,1.0
454,458,1.0,1.0
880,1345,1.0,1.0
57,64,1.0,1.0
971,1623,1.0,1.0
2001,1782,1.0,1.0
44,129,1.0,1.0
1772,1076,1.0,1.0
118,437,1.0,1.0
185,579,1.0,1.0
65,237,1.0,1.0
1370,224,1.0,1.0
562,60,1.0,1.0
1127,1820,1.0,1.0
1399,242,1.0,1.0
1962,1137,1.0,1.0
1196,210,1.0,1.0
806,1544,1.0,1.0
87,359,1.0,1.0
1551,1756,1.0,1.0
1671,1670,1.0,1.0
1510,626,1.0,1.0
1628,375,1.0,1.0
1107,1055,1.0,1.0
2144,806,1.0,1.0
43,121,1.0,1.0
2342,2332,1.0,1.0
64,1171,1.0,1.0
291,835,1.0,1.0
2062,1511,1.0,1.0
1622,1625,1.0,1.0
2273,375,1.0,1.0
803,1541,1.0,1.0
668,1386,1.0,1.0
1838,1017,1.0,1.0
353,928,1.0,1.0
1137,1785,1.0,1.0
2306,1731,1.0,1.0
426,429,0.0,1.0
1673,2115,1.0,1.0
667,690,1.0,1.0
1038,905,1.0,1.0
281,802,1.0,1.0
607,1314,1.0,1.0
670,803,1.0,1.0
423,1050,1.0,1.0
1291,1322,1.0,1.0
33,34,1.0,1.0
1798,446,1.0,1.0
685,1399,1.0,1.0
