edge_index0,edge_index1,pred,gr
1193,1555,1.0,1.0
181,447,1.0,1.0
784,567,1.0,1.0
781,1321,1.0,1.0
1439,1462,1.0,1.0
648,1231,1.0,1.0
913,1430,1.0,1.0
2191,2190,1.0,1.0
1371,1471,1.0,1.0
2032,1202,1.0,1.0
799,117,1.0,1.0
320,745,1.0,1.0
71,852,1.0,1.0
1381,1379,1.0,1.0
1837,1140,1.0,1.0
2015,2014,1.0,1.0
1231,667,1.0,1.0
477,982,1.0,1.0
402,404,1.0,1.0
84,220,1.0,1.0
279,679,1.0,1.0
81,252,1.0,1.0
2185,1141,1.0,1.0
52,830,1.0,1.0
1040,1556,1.0,1.0
241,588,1.0,1.0
320,751,1.0,1.0
500,4,1.0,1.0
292,706,1.0,1.0
817,714,1.0,1.0
1310,1140,1.0,1.0
1537,1565,1.0,1.0
334,294,1.0,1.0
186,268,1.0,1.0
166,42,1.0,1.0
1568,594,1.0,1.0
1255,1755,1.0,1.0
1292,1774,1.0,1.0
1359,1865,1.0,1.0
1170,510,1.0,1.0
760,572,1.0,1.0
1938,1105,1.0,1.0
241,581,1.0,1.0
1306,483,1.0,1.0
1192,1193,1.0,1.0
598,1047,1.0,1.0
285,645,1.0,1.0
2164,1706,1.0,1.0
52,132,1.0,1.0
457,947,1.0,1.0
2050,2124,1.0,1.0
1646,1099,1.0,1.0
421,167,1.0,1.0
608,1184,1.0,1.0
525,523,1.0,1.0
247,506,1.0,1.0
1523,468,1.0,1.0
472,970,1.0,1.0
1716,1140,1.0,1.0
1756,1406,1.0,1.0
1862,804,0.0,1.0
52,114,0.0,1.0
79,83,1.0,1.0
166,411,1.0,1.0
699,1267,1.0,1.0
69,34,1.0,1.0
2201,1872,1.0,1.0
478,985,1.0,1.0
1724,998,1.0,1.0
549,238,1.0,1.0
1957,1099,1.0,1.0
947,1397,1.0,1.0
2001,784,1.0,1.0
678,697,1.0,1.0
52,140,1.0,1.0
296,1312,1.0,1.0
1228,1737,1.0,1.0
1564,642,1.0,1.0
454,184,1.0,1.0
807,882,1.0,1.0
1041,1042,1.0,1.0
1278,2078,1.0,1.0
1549,1944,1.0,1.0
527,931,1.0,1.0
1435,1433,1.0,1.0
674,278,1.0,1.0
1309,240,1.0,1.0
787,324,1.0,1.0
98,311,1.0,1.0
261,636,1.0,1.0
52,149,0.0,1.0
707,1275,1.0,1.0
116,127,1.0,1.0
951,762,1.0,1.0
1141,1671,1.0,1.0
524,526,1.0,1.0
442,354,1.0,1.0
2093,1353,1.0,1.0
597,1017,1.0,1.0
17,45,1.0,1.0
1801,1617,1.0,1.0
374,375,1.0,1.0
2211,1996,1.0,1.0
278,689,1.0,1.0
1742,521,1.0,1.0
841,1367,1.0,1.0
106,318,0.0,1.0
521,1056,1.0,1.0
161,119,1.0,1.0
1141,656,1.0,1.0
595,642,1.0,1.0
331,812,1.0,1.0
69,208,1.0,1.0
683,99,1.0,1.0
1303,2204,1.0,1.0
240,1120,1.0,1.0
369,52,1.0,1.0
354,441,1.0,1.0
2166,1706,1.0,1.0
1151,1382,1.0,1.0
190,469,1.0,1.0
1168,596,1.0,1.0
990,1533,1.0,1.0
1117,1140,1.0,1.0
1050,278,1.0,1.0
2079,1318,1.0,1.0
763,240,1.0,1.0
277,484,0.0,1.0
536,1080,1.0,1.0
582,515,1.0,1.0
865,52,1.0,1.0
645,678,1.0,1.0
1876,859,1.0,1.0
1780,1024,0.0,1.0
897,896,1.0,1.0
1312,1640,1.0,1.0
79,248,1.0,1.0
952,1477,1.0,1.0
1608,1842,1.0,1.0
1400,1293,1.0,1.0
252,1926,1.0,1.0
871,980,1.0,1.0
964,1140,1.0,1.0
1306,1800,1.0,1.0
2053,1292,1.0,1.0
1530,1934,1.0,1.0
1596,1599,1.0,1.0
668,1245,1.0,1.0
1743,521,1.0,1.0
475,260,0.0,1.0
222,224,1.0,1.0
1439,1896,1.0,1.0
673,861,1.0,1.0
2210,1102,1.0,1.0
197,476,1.0,1.0
681,309,1.0,1.0
392,896,1.0,1.0
233,539,1.0,1.0
1312,1129,1.0,1.0
259,266,1.0,1.0
87,250,1.0,1.0
992,1306,1.0,1.0
1505,769,0.0,1.0
1103,703,1.0,1.0
960,254,1.0,1.0
800,149,1.0,1.0
1646,1956,1.0,1.0
534,73,1.0,1.0
315,101,1.0,1.0
2015,2164,1.0,1.0
2127,2128,1.0,1.0
2030,2175,1.0,1.0
