edge_index0,edge_index1,pred,gr
1021,632,1.0,1.0
403,26,1.0,1.0
486,849,1.0,1.0
461,818,0.0,1.0
144,145,1.0,1.0
376,634,1.0,1.0
958,1092,1.0,1.0
474,107,1.0,1.0
685,1080,1.0,1.0
890,878,1.0,1.0
66,314,1.0,1.0
53,118,0.0,1.0
827,395,1.0,1.0
1223,1237,1.0,1.0
423,95,0.0,1.0
78,6,1.0,1.0
789,277,1.0,1.0
464,238,1.0,1.0
250,483,1.0,1.0
230,103,1.0,1.0
780,1163,1.0,1.0
460,816,1.0,1.0
66,303,1.0,1.0
425,754,0.0,1.0
324,604,1.0,1.0
343,781,1.0,1.0
578,140,1.0,1.0
229,231,1.0,1.0
6,78,1.0,1.0
329,359,1.0,1.0
194,90,1.0,1.0
43,209,1.0,1.0
692,1095,1.0,1.0
825,98,1.0,1.0
582,716,1.0,1.0
616,956,1.0,1.0
626,1009,1.0,1.0
47,104,1.0,1.0
506,872,1.0,1.0
88,200,1.0,1.0
361,411,1.0,1.0
352,1036,1.0,1.0
245,255,1.0,1.0
91,201,1.0,1.0
267,504,0.0,1.0
745,210,0.0,1.0
303,308,1.0,1.0
973,322,1.0,1.0
154,141,1.0,1.0
1064,984,1.0,1.0
787,226,1.0,1.0
370,673,1.0,1.0
232,103,1.0,1.0
1215,533,1.0,1.0
107,463,1.0,1.0
439,441,1.0,1.0
1265,1267,0.0,1.0
586,579,1.0,1.0
104,236,1.0,1.0
67,144,1.0,1.0
127,288,1.0,1.0
903,835,1.0,1.0
26,316,1.0,1.0
804,1187,1.0,1.0
411,1050,1.0,1.0
917,483,1.0,1.0
107,135,1.0,1.0
850,849,1.0,1.0
505,503,1.0,1.0
317,588,1.0,1.0
560,66,1.0,1.0
587,586,1.0,1.0
479,480,1.0,1.0
199,144,1.0,1.0
938,307,1.0,1.0
107,835,1.0,1.0
484,485,1.0,1.0
351,166,0.0,1.0
597,201,1.0,1.0
463,107,1.0,1.0
144,71,1.0,1.0
300,96,1.0,1.0
738,1134,0.0,1.0
26,147,1.0,1.0
1105,1055,1.0,1.0
175,311,1.0,1.0
89,88,1.0,1.0
1176,789,1.0,1.0
950,66,1.0,1.0
1096,383,0.0,1.0
689,1087,1.0,1.0
247,1241,1.0,1.0
808,398,1.0,1.0
479,845,1.0,1.0
1116,307,1.0,1.0
906,843,1.0,1.0
645,1040,1.0,1.0
552,308,1.0,1.0
912,107,1.0,1.0
593,1023,1.0,1.0
675,180,1.0,1.0
647,664,0.0,1.0
626,1011,1.0,1.0
310,577,1.0,1.0
169,71,1.0,1.0
1166,932,1.0,1.0
352,166,1.0,1.0
1123,728,1.0,1.0
12,10,0.0,1.0
370,615,1.0,1.0
515,789,1.0,1.0
932,1165,1.0,1.0
624,1003,1.0,1.0
49,108,1.0,1.0
1261,421,1.0,1.0
534,901,1.0,1.0
316,27,1.0,1.0
299,1027,1.0,1.0
276,519,0.0,1.0
901,107,1.0,1.0
1062,369,1.0,1.0
963,342,1.0,1.0
1186,1126,1.0,1.0
1122,409,1.0,1.0
619,1001,1.0,1.0
77,166,0.0,1.0
66,309,1.0,1.0
924,789,1.0,1.0
107,546,1.0,1.0
66,611,1.0,1.0
227,1176,1.0,1.0
889,58,0.0,1.0
678,1072,1.0,1.0
733,1126,1.0,1.0
876,875,0.0,1.0
208,416,1.0,1.0
0,21,0.0,1.0
565,225,1.0,1.0
1190,1192,1.0,1.0
225,979,1.0,1.0
800,353,1.0,1.0
66,556,1.0,1.0
19,58,0.0,1.0
790,449,1.0,1.0
1055,665,1.0,1.0
107,524,1.0,1.0
496,97,1.0,1.0
994,616,1.0,1.0
954,154,1.0,1.0
107,226,1.0,1.0
723,408,1.0,1.0
435,765,1.0,1.0
143,39,1.0,1.0
118,117,0.0,1.0
188,400,1.0,1.0
456,455,1.0,1.0
808,1193,0.0,1.0
745,210,0.0,1.0
1151,1165,1.0,1.0
66,315,1.0,1.0
442,441,1.0,1.0
1156,596,1.0,1.0
473,835,1.0,1.0
459,813,1.0,1.0
86,187,1.0,1.0
238,15,1.0,1.0
464,60,1.0,1.0
310,73,1.0,1.0
560,552,1.0,1.0
744,92,1.0,1.0
1017,450,0.0,1.0
592,318,1.0,1.0
1261,1270,1.0,1.0
792,227,1.0,1.0
277,273,1.0,1.0
126,283,1.0,1.0
895,395,1.0,1.0
38,85,1.0,1.0
6,33,1.0,1.0
1030,1027,1.0,1.0
766,764,1.0,1.0
436,772,0.0,1.0
1229,478,1.0,1.0
277,520,0.0,1.0
1205,810,1.0,1.0
1047,767,0.0,1.0
