edge_index0,edge_index1,pred,gr
256,483,1.0,1.0
401,96,1.0,1.0
589,75,1.0,1.0
1011,657,1.0,1.0
274,502,1.0,1.0
359,362,1.0,1.0
127,271,1.0,1.0
64,833,1.0,1.0
732,108,1.0,1.0
899,297,1.0,1.0
375,383,1.0,1.0
757,99,1.0,1.0
603,863,1.0,1.0
568,307,1.0,1.0
578,240,1.0,1.0
290,542,0.0,1.0
1064,469,1.0,1.0
433,216,1.0,1.0
70,83,1.0,1.0
326,580,1.0,1.0
103,222,0.0,1.0
63,131,1.0,1.0
635,934,0.0,1.0
85,179,1.0,1.0
169,650,1.0,1.0
474,454,1.0,1.0
725,230,1.0,1.0
573,874,1.0,1.0
186,187,1.0,1.0
696,1005,1.0,1.0
880,627,1.0,1.0
148,566,1.0,1.0
540,836,0.0,1.0
168,619,0.0,1.0
82,86,1.0,1.0
664,5,0.0,1.0
642,751,1.0,1.0
70,305,1.0,1.0
487,716,1.0,1.0
993,421,1.0,1.0
551,837,1.0,1.0
543,293,1.0,1.0
417,203,1.0,1.0
483,774,1.0,1.0
922,741,1.0,1.0
151,315,1.0,1.0
104,224,1.0,1.0
261,128,1.0,1.0
387,392,1.0,1.0
334,374,1.0,1.0
961,940,0.0,1.0
56,487,1.0,1.0
714,275,1.0,1.0
194,192,1.0,1.0
67,66,1.0,1.0
384,343,1.0,1.0
853,863,1.0,1.0
15,220,1.0,1.0
729,401,0.0,1.0
509,510,1.0,1.0
535,829,1.0,1.0
279,345,1.0,1.0
117,489,1.0,1.0
1028,56,1.0,1.0
737,1052,0.0,1.0
303,70,1.0,1.0
59,1039,1.0,1.0
684,682,1.0,1.0
617,626,1.0,1.0
56,47,1.0,1.0
990,859,1.0,1.0
640,943,1.0,1.0
156,328,0.0,1.0
193,399,1.0,1.0
174,372,1.0,1.0
500,794,0.0,1.0
664,41,1.0,1.0
287,528,1.0,1.0
56,61,1.0,1.0
808,1071,1.0,1.0
56,115,1.0,1.0
700,699,1.0,1.0
293,544,1.0,1.0
1072,694,1.0,1.0
40,39,0.0,1.0
21,121,1.0,1.0
477,625,1.0,1.0
63,281,1.0,1.0
335,599,1.0,1.0
244,234,1.0,1.0
184,274,1.0,1.0
516,63,1.0,1.0
299,300,1.0,1.0
172,363,1.0,1.0
661,971,0.0,1.0
1039,270,1.0,1.0
172,169,1.0,1.0
656,963,0.0,1.0
961,796,1.0,1.0
769,56,1.0,1.0
758,694,1.0,1.0
273,499,1.0,1.0
4,30,1.0,1.0
117,56,1.0,1.0
