edge_index0,edge_index1,pred,gr
1076,507,1.0,1.0
1277,1044,1.0,1.0
124,127,1.0,1.0
184,198,1.0,1.0
580,4,1.0,1.0
66,703,1.0,1.0
755,673,1.0,1.0
953,1090,1.0,1.0
971,967,1.0,1.0
621,1154,1.0,1.0
719,1290,1.0,1.0
253,1092,1.0,1.0
1047,252,1.0,1.0
573,79,1.0,1.0
250,247,1.0,1.0
250,1159,1.0,1.0
243,242,1.0,1.0
1134,1143,1.0,1.0
654,276,1.0,1.0
463,448,1.0,1.0
1400,1401,1.0,1.0
328,725,1.0,1.0
1264,1230,1.0,1.0
401,404,1.0,1.0
563,557,1.0,1.0
1051,1288,1.0,1.0
185,484,1.0,1.0
1213,286,1.0,1.0
279,41,1.0,1.0
1141,930,1.0,1.0
215,26,1.0,1.0
220,543,1.0,1.0
625,1162,1.0,1.0
383,376,1.0,1.0
127,332,1.0,1.0
283,279,1.0,1.0
266,97,1.0,1.0
1379,1377,1.0,1.0
116,303,1.0,1.0
810,1404,1.0,1.0
41,106,1.0,1.0
1010,514,1.0,1.0
279,243,1.0,1.0
553,1085,1.0,1.0
744,1258,0.0,1.0
1251,1249,1.0,1.0
741,513,1.0,1.0
1185,639,1.0,1.0
509,1022,1.0,1.0
46,125,1.0,1.0
182,476,0.0,1.0
628,181,1.0,1.0
282,662,1.0,1.0
452,516,1.0,1.0
308,61,1.0,1.0
12,10,1.0,1.0
138,362,1.0,1.0
487,458,1.0,1.0
1193,1352,1.0,1.0
149,395,1.0,1.0
77,229,0.0,1.0
140,370,1.0,1.0
1406,820,1.0,1.0
179,307,1.0,1.0
1398,1247,1.0,1.0
711,1274,1.0,1.0
325,723,1.0,1.0
743,129,1.0,1.0
45,299,1.0,1.0
10,9,1.0,1.0
45,681,0.0,1.0
250,603,1.0,1.0
406,61,1.0,1.0
227,241,1.0,1.0
998,727,1.0,1.0
748,129,1.0,1.0
473,955,1.0,1.0
131,348,1.0,1.0
66,990,1.0,1.0
