edge_index0,edge_index1,pred,gr
626,26,1.0,1.0
796,793,1.0,1.0
748,1254,1.0,1.0
74,102,1.0,1.0
595,1049,0.0,1.0
798,1310,1.0,1.0
482,948,0.0,1.0
628,64,1.0,1.0
1169,380,1.0,1.0
69,194,1.0,1.0
53,136,1.0,1.0
669,351,1.0,1.0
106,109,1.0,1.0
86,6,1.0,1.0
67,384,1.0,1.0
684,338,1.0,1.0
352,685,1.0,1.0
123,337,1.0,1.0
69,190,1.0,1.0
687,1198,1.0,1.0
202,499,1.0,1.0
700,69,1.0,1.0
548,326,1.0,1.0
957,451,1.0,1.0
120,324,1.0,1.0
739,1241,1.0,1.0
1230,258,1.0,1.0
6,86,1.0,1.0
318,462,1.0,1.0
422,840,1.0,1.0
496,513,1.0,1.0
275,277,1.0,1.0
673,64,1.0,1.0
43,108,1.0,1.0
1111,588,0.0,1.0
1194,115,1.0,1.0
195,488,1.0,1.0
1029,950,1.0,1.0
517,997,1.0,1.0
64,424,1.0,1.0
47,575,1.0,1.0
424,426,1.0,1.0
793,1072,1.0,1.0
767,1269,0.0,1.0
98,283,1.0,1.0
882,1282,1.0,1.0
515,77,1.0,1.0
456,462,1.0,1.0
568,437,1.0,1.0
804,873,1.0,1.0
747,358,1.0,1.0
634,661,1.0,1.0
97,279,1.0,1.0
370,765,1.0,1.0
1168,298,1.0,1.0
190,456,1.0,1.0
242,554,1.0,1.0
1246,685,1.0,1.0
800,1200,0.0,1.0
1159,292,1.0,1.0
130,350,1.0,1.0
1193,1103,1.0,1.0
416,319,1.0,1.0
872,142,1.0,1.0
540,1213,1.0,1.0
420,842,1.0,1.0
529,530,1.0,1.0
585,536,0.0,1.0
336,337,1.0,1.0
1020,243,1.0,1.0
307,154,1.0,1.0
64,308,1.0,1.0
709,713,1.0,1.0
193,481,1.0,1.0
575,1228,1.0,1.0
212,74,1.0,1.0
187,188,1.0,1.0
148,394,1.0,1.0
1091,1090,0.0,1.0
26,210,1.0,1.0
77,227,1.0,1.0
64,172,1.0,1.0
1255,1254,1.0,1.0
766,764,1.0,1.0
211,508,1.0,1.0
476,69,1.0,1.0
938,193,1.0,1.0
733,731,1.0,1.0
528,74,1.0,1.0
64,836,1.0,1.0
1248,402,1.0,1.0
569,249,1.0,1.0
636,279,0.0,1.0
308,64,1.0,1.0
74,78,1.0,1.0
452,112,1.0,1.0
26,71,1.0,1.0
862,1277,1.0,1.0
382,801,1.0,1.0
257,489,1.0,1.0
95,98,1.0,1.0
534,69,1.0,1.0
1047,906,1.0,1.0
734,346,1.0,1.0
733,344,1.0,1.0
874,179,1.0,1.0
953,1251,1.0,1.0
424,427,1.0,1.0
946,909,1.0,1.0
187,456,1.0,1.0
666,64,1.0,1.0
521,1007,0.0,1.0
1017,263,0.0,1.0
1062,1079,1.0,1.0
517,996,0.0,1.0
549,1038,0.0,1.0
831,427,1.0,1.0
252,78,1.0,1.0
1232,335,1.0,1.0
457,69,1.0,1.0
568,249,1.0,1.0
868,569,1.0,1.0
1139,1142,1.0,1.0
12,10,1.0,1.0
373,770,1.0,1.0
585,1016,0.0,1.0
1055,67,1.0,1.0
335,723,1.0,1.0
1086,985,0.0,1.0
49,128,1.0,1.0
378,795,1.0,1.0
720,1230,1.0,1.0
797,634,1.0,1.0
697,187,1.0,1.0
210,27,1.0,1.0
450,900,0.0,1.0
383,807,1.0,1.0
466,909,1.0,1.0
26,75,1.0,1.0
1006,995,1.0,1.0
