edge_index0,edge_index1,pred,gr
893,440,1.0,1.0
566,110,1.0,1.0
951,81,1.0,1.0
382,761,0.0,1.0
522,520,0.0,1.0
399,64,1.0,1.0
159,147,1.0,1.0
65,1035,0.0,1.0
873,610,1.0,1.0
1115,128,1.0,1.0
550,445,1.0,1.0
898,440,1.0,1.0
561,1005,1.0,1.0
523,978,0.0,1.0
243,537,1.0,1.0
390,784,1.0,1.0
806,119,1.0,1.0
160,376,1.0,1.0
963,539,1.0,1.0
65,181,1.0,1.0
378,327,0.0,1.0
276,599,1.0,1.0
748,395,1.0,1.0
633,302,1.0,1.0
70,95,1.0,1.0
275,590,1.0,1.0
481,935,1.0,1.0
123,306,1.0,1.0
64,764,1.0,1.0
88,241,1.0,1.0
234,986,0.0,1.0
763,737,1.0,1.0
331,653,1.0,1.0
915,926,0.0,1.0
1078,395,1.0,1.0
375,158,1.0,1.0
652,318,1.0,1.0
256,98,1.0,1.0
799,395,1.0,1.0
917,899,1.0,1.0
69,419,1.0,1.0
233,506,1.0,1.0
92,247,1.0,1.0
1007,5,1.0,1.0
870,1080,1.0,1.0
70,75,1.0,1.0
138,347,1.0,1.0
608,609,0.0,1.0
800,120,1.0,1.0
912,913,0.0,1.0
827,178,0.0,1.0
830,404,1.0,1.0
570,269,1.0,1.0
215,443,1.0,1.0
124,311,1.0,1.0
421,873,1.0,1.0
361,160,1.0,1.0
695,56,1.0,1.0
263,260,1.0,1.0
120,297,1.0,1.0
56,138,1.0,1.0
772,792,1.0,1.0
202,206,1.0,1.0
100,259,1.0,1.0
68,67,1.0,1.0
538,447,1.0,1.0
881,539,1.0,1.0
15,304,1.0,1.0
1110,566,1.0,1.0
470,923,0.0,1.0
388,773,1.0,1.0
1092,902,0.0,1.0
753,390,1.0,1.0
400,819,1.0,1.0
156,348,1.0,1.0
717,56,1.0,1.0
1086,1083,1.0,1.0
196,70,1.0,1.0
60,152,1.0,1.0
485,937,0.0,1.0
56,47,1.0,1.0
470,77,0.0,1.0
409,838,1.0,1.0
222,489,0.0,1.0
265,564,1.0,1.0
469,924,0.0,1.0
245,542,1.0,1.0
784,204,1.0,1.0
478,79,1.0,1.0
1007,41,1.0,1.0
394,292,1.0,1.0
691,56,1.0,1.0
56,62,1.0,1.0
772,778,1.0,1.0
879,844,1.0,1.0
56,356,1.0,1.0
605,1039,1.0,1.0
404,829,0.0,1.0
40,39,1.0,1.0
21,57,1.0,1.0
1073,840,1.0,1.0
349,694,1.0,1.0
64,754,1.0,1.0
495,545,1.0,1.0
685,321,1.0,1.0
253,382,1.0,1.0
781,64,1.0,1.0
192,430,1.0,1.0
238,524,0.0,1.0
995,554,1.0,1.0
152,366,1.0,1.0
238,234,0.0,1.0
1060,291,1.0,1.0
291,621,1.0,1.0
724,56,1.0,1.0
65,941,0.0,1.0
364,745,1.0,1.0
452,453,1.0,1.0
4,30,1.0,1.0
60,157,1.0,1.0
156,56,1.0,1.0
902,917,1.0,1.0
62,161,1.0,1.0
670,934,1.0,1.0
36,496,1.0,1.0
638,298,1.0,1.0
56,332,1.0,1.0
56,121,1.0,1.0
295,558,1.0,1.0
1008,600,1.0,1.0
410,847,1.0,1.0
972,1058,1.0,1.0
170,397,1.0,1.0
975,518,0.0,1.0
480,378,1.0,1.0
238,527,1.0,1.0
500,964,1.0,1.0
164,63,1.0,1.0
121,731,1.0,1.0
501,84,1.0,1.0
618,1061,1.0,1.0
528,185,0.0,1.0
10,9,1.0,1.0
560,256,1.0,1.0
808,201,1.0,1.0
924,120,1.0,1.0
221,219,1.0,1.0
336,684,1.0,1.0
287,1057,0.0,1.0
937,931,0.0,1.0
132,129,1.0,1.0
138,309,1.0,1.0
748,173,1.0,1.0
772,1104,1.0,1.0
201,456,1.0,1.0
272,579,1.0,1.0
792,390,1.0,1.0
551,243,1.0,1.0
845,56,0.0,1.0
1089,1087,1.0,1.0
870,607,1.0,1.0
178,413,1.0,1.0
56,1101,1.0,1.0
633,634,1.0,1.0
121,1103,1.0,1.0
1120,663,1.0,1.0
243,245,1.0,1.0
416,433,0.0,1.0
770,400,1.0,1.0
440,439,1.0,1.0
137,339,1.0,1.0
558,630,1.0,1.0
98,260,1.0,1.0
642,633,1.0,1.0
684,683,1.0,1.0
164,518,1.0,1.0
492,949,0.0,1.0
178,412,0.0,1.0
1049,872,1.0,1.0
558,120,1.0,1.0
213,80,1.0,1.0
160,145,1.0,1.0
515,238,1.0,1.0
216,31,1.0,1.0
338,340,1.0,1.0
352,56,1.0,1.0
742,741,1.0,1.0
287,613,1.0,1.0
1030,1008,1.0,1.0
722,350,1.0,1.0
804,276,0.0,1.0
378,422,0.0,1.0
156,369,1.0,1.0
748,55,1.0,1.0
230,36,1.0,1.0
390,783,1.0,1.0
779,863,1.0,1.0
56,143,1.0,1.0
1038,605,1.0,1.0
764,990,1.0,1.0
318,56,1.0,1.0
1133,820,1.0,1.0
64,381,0.0,1.0
683,152,1.0,1.0
488,966,1.0,1.0
145,160,1.0,1.0
582,335,1.0,1.0
125,317,1.0,1.0
245,189,1.0,1.0
1000,120,1.0,1.0
421,189,1.0,1.0
871,184,0.0,1.0
425,188,1.0,1.0
248,1014,1.0,1.0
390,776,1.0,1.0
276,804,0.0,1.0
287,614,1.0,1.0
106,268,1.0,1.0
98,263,1.0,1.0
498,958,1.0,1.0
437,436,1.0,1.0
474,931,0.0,1.0
196,26,1.0,1.0
115,274,1.0,1.0
213,221,1.0,1.0
394,64,1.0,1.0
70,193,1.0,1.0
120,591,1.0,1.0
566,1110,1.0,1.0
