edge_index0,edge_index1,pred,gr
156,385,1.0,1.0
114,305,1.0,1.0
634,1131,1.0,1.0
640,637,1.0,1.0
187,60,1.0,1.0
1204,685,1.0,1.0
256,644,0.0,1.0
314,663,1.0,1.0
560,703,1.0,1.0
18,50,1.0,1.0
326,682,1.0,1.0
216,525,1.0,1.0
256,265,1.0,1.0
31,30,1.0,1.0
855,57,1.0,1.0
262,360,1.0,1.0
995,1206,0.0,1.0
1049,101,1.0,1.0
385,386,1.0,1.0
42,1092,0.0,1.0
648,713,1.0,1.0
372,374,1.0,1.0
197,473,1.0,1.0
984,518,1.0,1.0
264,604,1.0,1.0
496,115,1.0,1.0
595,1078,1.0,1.0
143,753,1.0,1.0
183,430,1.0,1.0
161,837,1.0,1.0
385,812,1.0,1.0
76,30,1.0,1.0
142,349,1.0,1.0
1195,250,0.0,1.0
79,212,1.0,1.0
1048,1091,1.0,1.0
73,71,1.0,1.0
199,481,1.0,1.0
1133,117,1.0,1.0
964,942,1.0,1.0
749,57,1.0,1.0
72,200,1.0,1.0
120,308,1.0,1.0
347,114,1.0,1.0
65,430,1.0,1.0
417,448,1.0,1.0
425,212,1.0,1.0
231,37,1.0,1.0
765,57,1.0,1.0
430,852,1.0,1.0
845,942,1.0,1.0
65,8,1.0,1.0
564,1031,1.0,1.0
458,455,1.0,1.0
684,1163,1.0,1.0
143,765,1.0,1.0
126,317,1.0,1.0
243,508,1.0,1.0
24,61,1.0,1.0
110,41,1.0,1.0
387,501,1.0,1.0
106,259,1.0,1.0
451,809,1.0,1.0
1202,685,1.0,1.0
363,759,1.0,1.0
402,439,1.0,1.0
29,30,1.0,1.0
971,483,1.0,1.0
518,520,0.0,1.0
305,118,1.0,1.0
30,76,1.0,1.0
828,829,1.0,1.0
1088,426,1.0,1.0
1037,58,1.0,1.0
216,524,1.0,1.0
608,110,1.0,1.0
1037,1183,1.0,1.0
9,35,1.0,1.0
114,617,1.0,1.0
1119,115,1.0,1.0
752,753,1.0,1.0
257,1127,1.0,1.0
1108,652,1.0,1.0
60,64,0.0,1.0
299,301,1.0,1.0
1029,1094,1.0,1.0
48,125,1.0,1.0
624,114,1.0,1.0
418,61,1.0,1.0
238,361,1.0,1.0
498,956,0.0,1.0
24,431,1.0,1.0
574,1055,1.0,1.0
869,711,1.0,1.0
748,335,1.0,1.0
238,559,1.0,1.0
1116,1082,1.0,1.0
345,121,1.0,1.0
37,91,1.0,1.0
917,1119,1.0,1.0
723,57,1.0,1.0
1071,256,1.0,1.0
1087,212,1.0,1.0
245,567,1.0,1.0
1117,115,1.0,1.0
991,890,1.0,1.0
617,266,1.0,1.0
103,238,1.0,1.0
798,797,1.0,1.0
143,363,1.0,1.0
332,568,1.0,1.0
405,834,1.0,1.0
1062,353,1.0,1.0
586,617,1.0,1.0
40,106,1.0,1.0
614,1110,1.0,1.0
894,191,1.0,1.0
797,238,1.0,1.0
1032,382,1.0,1.0
1092,42,0.0,1.0
335,328,1.0,1.0
442,873,1.0,1.0
24,827,1.0,1.0
22,17,1.0,1.0
981,215,1.0,1.0
1198,785,1.0,1.0
114,626,1.0,1.0
553,237,1.0,1.0
774,362,1.0,1.0
347,641,1.0,1.0
463,898,1.0,1.0
314,659,1.0,1.0
648,138,1.0,1.0
339,335,1.0,1.0
699,567,1.0,1.0
1084,1199,1.0,1.0
97,239,1.0,1.0
431,63,1.0,1.0
370,772,1.0,1.0
101,246,1.0,1.0
748,747,1.0,1.0
438,65,1.0,1.0
389,143,1.0,1.0
1058,576,1.0,1.0
198,74,1.0,1.0
672,675,1.0,1.0
362,755,1.0,1.0
1198,1197,1.0,1.0
212,507,1.0,1.0
785,782,1.0,1.0
159,741,0.0,1.0
377,783,1.0,1.0
421,845,1.0,1.0
57,763,1.0,1.0
729,1046,0.0,1.0
949,1117,1.0,1.0
47,125,1.0,1.0
306,114,1.0,1.0
262,114,1.0,1.0
122,313,1.0,1.0
63,437,1.0,1.0
631,640,1.0,1.0
448,185,1.0,1.0
1039,685,1.0,1.0
1134,400,1.0,1.0
500,958,1.0,1.0
916,927,1.0,1.0
724,57,1.0,1.0
632,1127,1.0,1.0
482,480,1.0,1.0
120,303,1.0,1.0
250,1195,0.0,1.0
468,161,1.0,1.0
372,774,1.0,1.0
46,0,1.0,1.0
121,122,1.0,1.0
360,750,1.0,1.0
58,815,1.0,1.0
973,936,1.0,1.0
335,701,1.0,1.0
478,216,1.0,1.0
543,229,1.0,1.0
467,183,1.0,1.0
114,883,1.0,1.0
101,1053,1.0,1.0
1175,1050,1.0,1.0
554,237,1.0,1.0
286,347,1.0,1.0
426,850,1.0,1.0
574,1056,1.0,1.0
240,95,1.0,1.0
305,309,1.0,1.0
392,807,1.0,1.0
828,852,0.0,1.0
51,131,1.0,1.0
637,1136,1.0,1.0
415,163,1.0,1.0
410,839,1.0,1.0
381,382,1.0,1.0
605,1092,1.0,1.0
953,955,1.0,1.0
251,574,1.0,1.0
191,465,1.0,1.0
500,956,1.0,1.0
30,76,1.0,1.0
