edge_index0,edge_index1,pred,gr
686,1220,1.0,1.0
1129,954,1.0,1.0
1477,784,1.0,1.0
364,354,1.0,1.0
1657,1606,0.0,1.0
462,461,1.0,1.0
1096,64,1.0,1.0
576,579,1.0,1.0
1520,428,1.0,1.0
179,191,1.0,1.0
569,651,1.0,1.0
137,429,1.0,1.0
818,321,1.0,1.0
1500,1920,1.0,1.0
64,428,1.0,1.0
880,745,1.0,1.0
87,11,1.0,1.0
1349,1811,1.0,1.0
366,650,1.0,1.0
1713,1443,1.0,1.0
1485,1971,0.0,1.0
118,115,1.0,1.0
1259,1822,1.0,1.0
330,38,1.0,1.0
672,1205,1.0,1.0
1723,1681,1.0,1.0
339,859,1.0,1.0
1368,1893,1.0,1.0
168,419,1.0,1.0
633,1271,1.0,1.0
1234,380,1.0,1.0
80,261,1.0,1.0
67,229,0.0,1.0
1937,902,1.0,1.0
1831,1832,1.0,1.0
1294,1282,1.0,1.0
1816,840,1.0,1.0
981,1684,1.0,1.0
499,1082,1.0,1.0
1234,1369,1.0,1.0
1912,1920,1.0,1.0
1017,923,1.0,1.0
1180,1793,1.0,1.0
1137,523,1.0,1.0
581,683,1.0,1.0
817,1502,1.0,1.0
191,504,1.0,1.0
369,922,1.0,1.0
1629,2042,1.0,1.0
1091,1749,1.0,1.0
1202,1808,1.0,1.0
370,371,1.0,1.0
381,126,1.0,1.0
1719,1044,1.0,1.0
1396,616,1.0,1.0
315,94,1.0,1.0
1382,781,1.0,1.0
452,531,1.0,1.0
1611,1951,1.0,1.0
156,488,1.0,1.0
1912,1406,1.0,1.0
1555,884,1.0,1.0
27,76,1.0,1.0
387,585,1.0,1.0
2075,535,1.0,1.0
985,544,1.0,1.0
1391,1912,1.0,1.0
453,46,0.0,1.0
2040,949,1.0,1.0
766,1438,1.0,1.0
621,619,1.0,1.0
2072,652,1.0,1.0
65,1217,1.0,1.0
1987,885,1.0,1.0
663,1338,1.0,1.0
1009,1522,1.0,1.0
101,336,1.0,1.0
985,137,1.0,1.0
222,627,1.0,1.0
630,1271,1.0,1.0
97,331,1.0,1.0
988,1675,1.0,1.0
35,32,1.0,1.0
731,740,1.0,1.0
454,539,1.0,1.0
