edge_index0,edge_index1,pred,gr
658,351,1.0,1.0
528,197,1.0,1.0
248,247,1.0,1.0
705,234,1.0,1.0
106,237,1.0,1.0
102,234,1.0,1.0
407,338,1.0,1.0
77,11,1.0,1.0
830,829,1.0,1.0
205,95,1.0,1.0
329,38,1.0,1.0
131,284,1.0,1.0
676,424,1.0,1.0
69,151,1.0,1.0
781,783,1.0,1.0
294,568,1.0,1.0
780,283,1.0,1.0
267,527,1.0,1.0
835,512,1.0,1.0
177,84,1.0,1.0
395,470,1.0,1.0
123,277,1.0,1.0
27,73,1.0,1.0
426,534,1.0,1.0
416,679,1.0,1.0
309,308,1.0,1.0
63,138,1.0,1.0
314,605,1.0,1.0
617,717,1.0,1.0
35,32,1.0,1.0
704,640,1.0,1.0
466,480,1.0,1.0
298,289,1.0,1.0
704,341,1.0,1.0
65,141,1.0,1.0
268,575,1.0,1.0
407,726,1.0,1.0
44,212,1.0,1.0
395,712,1.0,1.0
102,213,1.0,1.0
351,651,1.0,1.0
298,136,1.0,1.0
788,425,1.0,1.0
57,102,1.0,1.0
44,98,0.0,1.0
759,431,1.0,1.0
205,424,1.0,1.0
447,782,1.0,1.0
63,587,1.0,1.0
225,59,1.0,1.0
560,292,1.0,1.0
489,821,1.0,1.0
77,167,1.0,1.0
678,180,1.0,1.0
870,426,1.0,1.0
43,210,1.0,1.0
307,591,1.0,1.0
776,609,1.0,1.0
164,344,1.0,1.0
267,529,1.0,1.0
700,425,1.0,1.0
585,382,1.0,1.0
33,34,1.0,1.0
298,560,1.0,1.0
709,758,1.0,1.0
577,607,1.0,1.0
586,295,1.0,1.0
852,851,1.0,1.0
610,396,1.0,1.0
836,788,0.0,1.0
350,354,1.0,1.0
870,753,1.0,1.0
474,810,0.0,1.0
338,798,1.0,1.0
444,776,1.0,1.0
591,141,1.0,1.0
117,255,1.0,1.0
308,309,1.0,1.0
91,26,1.0,1.0
448,102,1.0,1.0
653,77,1.0,1.0
449,780,1.0,1.0
782,268,1.0,1.0
466,483,1.0,1.0
645,297,1.0,1.0
471,236,1.0,1.0
44,96,1.0,1.0
46,100,1.0,1.0
263,257,1.0,1.0
258,509,1.0,1.0
559,560,1.0,1.0
577,138,1.0,1.0
255,821,1.0,1.0
241,108,1.0,1.0
102,469,1.0,1.0
527,730,1.0,1.0
526,856,1.0,1.0
281,280,1.0,1.0
363,663,1.0,1.0
268,855,1.0,1.0
505,484,1.0,1.0
102,763,1.0,1.0
97,216,1.0,1.0
113,247,1.0,1.0
12,9,1.0,1.0
99,220,1.0,1.0
505,504,1.0,1.0
120,263,1.0,1.0
464,461,1.0,1.0
136,298,1.0,1.0
249,504,1.0,1.0
509,118,1.0,1.0
652,646,1.0,1.0
384,416,1.0,1.0
380,691,1.0,1.0
207,700,1.0,1.0
74,158,1.0,1.0
132,273,1.0,1.0
392,85,1.0,1.0
838,183,1.0,1.0
512,513,1.0,1.0
451,102,1.0,1.0
401,720,1.0,1.0
63,560,1.0,1.0
381,695,1.0,1.0
352,350,1.0,1.0
867,347,1.0,1.0
425,750,1.0,1.0
226,106,1.0,1.0
75,637,1.0,1.0
504,505,1.0,1.0
287,554,1.0,1.0
431,429,1.0,1.0
354,656,1.0,1.0
678,737,1.0,1.0
169,351,1.0,1.0
188,145,1.0,1.0
801,183,1.0,1.0
591,306,1.0,1.0
341,594,1.0,1.0
382,698,1.0,1.0
397,714,1.0,1.0
130,280,1.0,1.0
860,334,1.0,1.0
857,879,1.0,1.0
59,127,1.0,1.0
354,350,1.0,1.0
591,143,1.0,1.0
692,82,1.0,1.0
750,425,1.0,1.0
238,475,1.0,1.0
730,267,1.0,1.0
621,69,1.0,1.0
180,692,1.0,1.0
724,412,1.0,1.0
506,253,1.0,1.0
246,490,1.0,1.0
501,53,1.0,0.0
407,313,1.0,0.0
336,337,1.0,0.0
505,659,1.0,0.0
319,107,1.0,0.0
222,67,1.0,0.0
693,876,0.0,0.0
342,608,1.0,0.0
772,169,1.0,0.0
798,545,1.0,0.0
438,253,0.0,0.0
665,349,1.0,0.0
73,37,1.0,0.0
143,720,0.0,0.0
472,767,0.0,0.0
542,704,0.0,0.0
582,167,0.0,0.0
345,470,0.0,0.0
710,11,1.0,0.0
248,57,0.0,0.0
513,0,1.0,0.0
434,17,1.0,0.0
629,479,0.0,0.0
217,857,1.0,0.0
536,155,1.0,0.0
26,244,0.0,0.0
185,416,0.0,0.0
851,547,0.0,0.0
71,253,1.0,0.0
663,26,0.0,0.0
752,137,0.0,0.0
549,349,1.0,0.0
143,609,0.0,0.0
793,746,0.0,0.0
56,168,1.0,0.0
747,185,0.0,0.0
500,513,1.0,0.0
707,275,0.0,0.0
880,236,0.0,0.0
473,533,0.0,0.0
457,202,0.0,0.0
452,756,1.0,0.0
641,124,1.0,0.0
312,286,1.0,0.0
56,806,1.0,0.0
213,590,1.0,0.0
348,124,1.0,0.0
200,754,1.0,0.0
708,485,0.0,0.0
169,546,1.0,0.0
739,130,0.0,0.0
75,57,1.0,0.0
101,598,1.0,0.0
