edge_index0,edge_index1,pred,gr
64,528,1.0,1.0
210,213,1.0,1.0
107,220,1.0,1.0
248,4,1.0,1.0
587,168,1.0,1.0
234,410,1.0,1.0
106,42,1.0,1.0
512,449,1.0,1.0
366,273,1.0,1.0
454,452,1.0,1.0
147,293,1.0,1.0
221,312,1.0,1.0
61,34,1.0,1.0
277,495,1.0,1.0
269,138,1.0,1.0
323,325,1.0,1.0
169,625,1.0,1.0
250,434,1.0,1.0
441,251,1.0,1.0
614,140,1.0,1.0
372,196,1.0,1.0
83,181,1.0,1.0
154,309,0.0,1.0
453,455,1.0,1.0
615,207,1.0,1.0
17,45,1.0,1.0
90,189,1.0,1.0
280,320,1.0,1.0
61,121,0.0,1.0
586,84,1.0,1.0
118,238,1.0,1.0
510,281,1.0,1.0
166,240,1.0,1.0
530,208,1.0,1.0
324,323,1.0,1.0
221,406,1.0,1.0
417,152,1.0,1.0
130,254,1.0,1.0
232,418,1.0,1.0
346,179,1.0,1.0
134,460,1.0,1.0
151,157,1.0,1.0
75,148,0.0,1.0
548,223,1.0,1.0
186,86,1.0,1.0
42,79,1.0,1.0
409,109,1.0,1.0
34,149,1.0,1.0
56,111,1.0,1.0
28,66,1.0,1.0
194,366,1.0,1.0
139,265,1.0,1.0
306,537,1.0,1.0
460,135,1.0,1.0
501,497,1.0,1.0
34,24,1.0,1.0
327,323,1.0,1.0
146,523,1.0,1.0
232,299,1.0,1.0
111,112,1.0,1.0
233,415,1.0,1.0
341,582,1.0,1.0
78,327,1.0,1.0
285,511,1.0,1.0
324,167,1.0,1.0
416,58,1.0,1.0
91,191,1.0,1.0
8,34,0.0,1.0
498,530,1.0,1.0
177,178,1.0,1.0
410,151,1.0,1.0
338,394,1.0,1.0
107,57,1.0,1.0
394,85,1.0,1.0
249,433,1.0,1.0
391,591,1.0,1.0
317,77,1.0,1.0
625,169,1.0,1.0
165,561,1.0,1.0
123,34,1.0,1.0
351,251,0.0,1.0
131,256,1.0,1.0
251,445,1.0,1.0
196,366,1.0,1.0
253,451,1.0,1.0
173,53,1.0,1.0
58,237,1.0,1.0
80,329,1.0,1.0
500,499,1.0,1.0
394,338,1.0,1.0
84,181,1.0,1.0
141,417,1.0,1.0
225,108,1.0,1.0
572,582,1.0,1.0
72,113,1.0,1.0
445,251,1.0,1.0
55,109,1.0,1.0
565,205,1.0,1.0
112,111,1.0,1.0
282,506,1.0,1.0
76,161,1.0,1.0
559,562,1.0,1.0
268,138,1.0,1.0
172,335,1.0,1.0
257,458,1.0,1.0
231,75,1.0,1.0
579,251,1.0,1.0
34,113,1.0,1.0
51,79,1.0,1.0
82,173,1.0,1.0
252,444,1.0,1.0
196,372,1.0,1.0
213,395,1.0,1.0
138,265,1.0,1.0
251,351,0.0,1.0
538,498,1.0,1.0
391,205,1.0,1.0
417,146,1.0,1.0
74,152,1.0,1.0
71,146,1.0,1.0
411,389,1.0,1.0
51,100,1.0,1.0
184,502,1.0,1.0
343,582,1.0,1.0
251,440,1.0,1.0
263,465,1.0,1.0
415,58,1.0,1.0
55,59,1.0,1.0
509,99,1.0,1.0
79,106,1.0,1.0
47,88,1.0,1.0
174,202,1.0,1.0
402,215,1.0,1.0
207,526,1.0,1.0
55,61,1.0,1.0
265,468,1.0,1.0
84,178,1.0,1.0
141,490,1.0,1.0
377,96,1.0,1.0
175,343,1.0,1.0
44,84,1.0,1.0
113,34,1.0,1.0
371,621,1.0,1.0
427,150,0.0,1.0
51,394,1.0,1.0
329,381,1.0,1.0
607,196,1.0,1.0
382,204,1.0,1.0
156,151,1.0,1.0
333,332,1.0,1.0
579,146,1.0,1.0
232,412,1.0,1.0
149,34,1.0,1.0
324,78,1.0,1.0
55,113,1.0,1.0
402,336,1.0,1.0
453,452,1.0,1.0
287,530,1.0,1.0
212,394,1.0,1.0
246,430,1.0,1.0
37,9,1.0,1.0
144,285,1.0,1.0
560,166,1.0,1.0
51,359,1.0,1.0
154,153,1.0,1.0
316,312,1.0,1.0
523,253,1.0,1.0
608,616,0.0,1.0
271,484,1.0,1.0
113,300,1.0,1.0
428,427,1.0,1.0
261,66,1.0,1.0
347,51,1.0,1.0
259,460,1.0,1.0
72,148,1.0,1.0
319,552,1.0,1.0
579,552,1.0,1.0
24,57,1.0,1.0
231,410,1.0,1.0
213,396,1.0,1.0
392,51,1.0,1.0
196,612,1.0,1.0
403,218,1.0,1.0
82,171,1.0,1.0
54,51,1.0,1.0
111,75,1.0,1.0
299,533,0.0,1.0
184,79,1.0,1.0
385,526,1.0,1.0
51,202,1.0,1.0
564,80,1.0,1.0
71,147,1.0,1.0
10,37,1.0,1.0
61,55,1.0,1.0
526,386,1.0,1.0
300,73,1.0,1.0
91,87,1.0,1.0
161,316,1.0,1.0
51,200,1.0,1.0
310,409,1.0,1.0
348,336,1.0,1.0
378,348,1.0,1.0
138,268,1.0,1.0
251,447,1.0,1.0
249,64,1.0,1.0
573,340,1.0,1.0
366,611,1.0,1.0
345,585,1.0,1.0
51,214,1.0,1.0
329,566,1.0,1.0
17,21,1.0,1.0
84,180,1.0,1.0
24,123,1.0,1.0
196,429,1.0,1.0
318,550,1.0,1.0
617,367,1.0,1.0
605,360,1.0,1.0
22,17,1.0,1.0
117,237,1.0,1.0
40,51,1.0,1.0
543,251,1.0,1.0
451,288,1.0,1.0
323,166,1.0,1.0
380,587,1.0,1.0
317,320,1.0,1.0
77,317,1.0,1.0
166,560,1.0,1.0
612,609,1.0,1.0
53,104,1.0,1.0
348,80,1.0,1.0
205,209,1.0,1.0
336,348,1.0,1.0
145,33,1.0,1.0
526,61,1.0,1.0
287,518,1.0,1.0
582,572,1.0,1.0
115,233,1.0,1.0
354,356,1.0,1.0
416,299,1.0,1.0
549,163,1.0,1.0
144,286,1.0,1.0
66,461,1.0,1.0
342,340,1.0,1.0
571,212,1.0,1.0
175,343,1.0,1.0
175,582,1.0,1.0
528,64,1.0,1.0
358,600,1.0,1.0
60,25,1.0,1.0
327,562,1.0,1.0
