edge_index0,edge_index1,pred,gr
133,218,1.0,1.0
578,110,1.0,1.0
119,239,1.0,1.0
30,76,0.0,1.0
224,221,1.0,1.0
1011,250,0.0,1.0
1055,542,0.0,1.0
868,870,1.0,1.0
400,787,0.0,1.0
774,478,1.0,1.0
928,934,1.0,1.0
201,466,0.0,1.0
886,1115,1.0,1.0
57,133,1.0,1.0
314,312,0.0,1.0
610,1075,1.0,1.0
697,325,0.0,1.0
193,457,0.0,1.0
59,1005,0.0,1.0
59,690,0.0,1.0
702,905,1.0,1.0
161,162,1.0,1.0
621,57,1.0,1.0
793,64,1.0,1.0
44,256,0.0,1.0
250,343,0.0,1.0
259,1018,1.0,1.0
329,665,0.0,1.0
731,360,1.0,1.0
412,799,0.0,1.0
701,398,1.0,1.0
469,201,0.0,1.0
657,1121,1.0,1.0
122,302,1.0,1.0
243,540,0.0,1.0
128,314,0.0,1.0
277,589,1.0,1.0
628,1085,0.0,1.0
262,133,0.0,1.0
197,465,0.0,1.0
19,56,0.0,1.0
230,516,1.0,1.0
329,963,0.0,1.0
460,713,0.0,1.0
514,941,0.0,1.0
721,250,0.0,1.0
516,950,1.0,1.0
77,657,1.0,1.0
371,740,1.0,1.0
794,172,1.0,1.0
314,51,0.0,1.0
570,257,1.0,1.0
234,522,1.0,1.0
205,204,0.0,1.0
317,53,0.0,1.0
480,537,0.0,1.0
922,193,0.0,1.0
359,708,1.0,1.0
393,666,1.0,1.0
890,1040,0.0,1.0
646,561,1.0,1.0
101,256,0.0,1.0
987,250,0.0,1.0
761,366,1.0,1.0
868,869,1.0,1.0
253,105,1.0,1.0
465,875,1.0,1.0
181,433,1.0,1.0
104,107,1.0,1.0
209,492,1.0,1.0
90,229,1.0,1.0
285,114,0.0,1.0
122,305,1.0,1.0
290,292,1.0,1.0
133,338,1.0,1.0
593,1054,0.0,1.0
286,243,0.0,1.0
26,62,1.0,1.0
128,311,0.0,1.0
417,804,0.0,1.0
579,1041,1.0,1.0
915,82,1.0,1.0
647,329,0.0,1.0
1000,123,1.0,1.0
231,87,1.0,1.0
681,287,1.0,1.0
567,1018,1.0,1.0
518,719,1.0,1.0
312,18,0.0,1.0
60,758,1.0,1.0
507,595,0.0,1.0
666,693,1.0,1.0
76,197,0.0,1.0
342,682,0.0,1.0
901,1028,1.0,1.0
133,880,0.0,1.0
90,227,1.0,1.0
110,1042,1.0,1.0
310,632,0.0,1.0
922,211,0.0,1.0
178,37,1.0,1.0
339,681,1.0,1.0
570,430,1.0,1.0
871,869,1.0,1.0
325,649,1.0,1.0
384,383,1.0,1.0
1096,1093,0.0,1.0
308,617,1.0,1.0
133,820,1.0,1.0
227,423,1.0,1.0
281,133,1.0,1.0
409,408,0.0,1.0
1004,361,0.0,1.0
1037,434,1.0,1.0
223,69,1.0,1.0
355,501,0.0,1.0
1128,60,1.0,1.0
253,44,1.0,1.0
360,731,1.0,1.0
686,134,0.0,1.0
152,372,1.0,1.0
518,734,1.0,1.0
479,897,1.0,1.0
154,98,1.0,1.0
1069,536,0.0,1.0
296,291,1.0,1.0
1132,131,0.0,1.0
715,371,1.0,1.0
587,671,1.0,1.0
69,71,1.0,1.0
782,845,1.0,1.0
301,612,1.0,1.0
794,972,1.0,1.0
1042,268,1.0,1.0
121,123,1.0,1.0
664,59,0.0,1.0
872,11,1.0,1.0
1004,280,0.0,1.0
657,77,1.0,1.0
420,176,1.0,1.0
900,901,1.0,1.0
360,712,1.0,1.0
534,984,0.0,1.0
388,171,1.0,1.0
1019,259,1.0,1.0
983,1053,1.0,1.0
368,959,1.0,1.0
394,773,1.0,1.0
621,616,1.0,1.0
143,347,1.0,1.0
295,154,1.0,1.0
796,366,1.0,1.0
507,133,1.0,1.0
176,65,1.0,1.0
1134,326,0.0,1.0
343,1004,0.0,1.0
133,1050,0.0,1.0
371,60,1.0,1.0
110,271,1.0,1.0
26,179,1.0,1.0
913,929,1.0,1.0
273,272,1.0,1.0
171,64,1.0,1.0
354,699,1.0,1.0
692,823,1.0,1.0
888,515,1.0,1.0
212,217,1.0,1.0
455,4,1.0,1.0
518,436,1.0,1.0
257,564,1.0,1.0
167,207,1.0,1.0
567,1020,0.0,1.0
497,811,0.0,1.0
715,60,1.0,1.0
537,987,0.0,1.0
59,552,0.0,1.0
480,259,1.0,1.0
501,846,0.0,1.0
272,587,1.0,1.0
1144,693,1.0,1.0
36,82,1.0,1.0
625,628,0.0,1.0
153,374,1.0,1.0
420,90,1.0,1.0
572,905,1.0,1.0
209,496,0.0,1.0
65,167,1.0,1.0
921,458,0.0,1.0
1070,292,1.0,1.0
37,225,1.0,1.0
366,734,1.0,1.0
906,1024,1.0,1.0
164,163,1.0,1.0
454,209,1.0,1.0
604,1002,1.0,1.0
1022,468,0.0,1.0
229,387,1.0,1.0
189,454,0.0,1.0
654,60,1.0,1.0
244,43,0.0,1.0
501,927,0.0,1.0
246,154,1.0,1.0
468,201,0.0,1.0
953,697,0.0,1.0
429,812,1.0,1.0
252,688,0.0,1.0
403,537,0.0,1.0
898,896,1.0,1.0
230,232,1.0,1.0
812,514,0.0,1.0
255,484,0.0,1.0
482,902,1.0,1.0
521,92,0.0,1.0
329,1102,0.0,1.0
1125,965,1.0,1.0
287,601,1.0,1.0
640,637,0.0,1.0
663,259,0.0,1.0
338,515,1.0,1.0
587,113,1.0,1.0
37,64,1.0,1.0
387,769,0.0,1.0
