edge_index0,edge_index1,pred,gr
637,638,1.0,1.0
1208,456,1.0,1.0
692,371,1.0,1.0
205,428,1.0,1.0
253,252,1.0,1.0
908,62,1.0,1.0
576,572,1.0,1.0
311,310,1.0,1.0
76,11,0.0,1.0
1237,670,1.0,1.0
699,1068,0.0,1.0
215,89,0.0,1.0
196,38,1.0,1.0
330,937,1.0,1.0
1062,905,1.0,1.0
619,809,0.0,1.0
824,820,1.0,1.0
705,454,0.0,1.0
961,799,1.0,1.0
1128,405,1.0,1.0
492,857,0.0,1.0
285,842,1.0,1.0
705,1071,0.0,1.0
1235,1150,0.0,1.0
760,336,1.0,1.0
1085,736,1.0,1.0
852,459,1.0,1.0
208,435,1.0,1.0
883,1251,0.0,1.0
765,207,1.0,1.0
446,450,1.0,1.0
869,515,1.0,1.0
178,82,1.0,1.0
1019,668,0.0,1.0
413,543,1.0,1.0
121,281,1.0,1.0
1160,423,1.0,1.0
27,70,1.0,1.0
1224,853,1.0,1.0
475,479,1.0,1.0
1248,529,1.0,1.0
728,707,1.0,1.0
63,579,1.0,1.0
497,742,1.0,1.0
475,102,1.0,1.0
87,415,0.0,1.0
292,550,1.0,1.0
35,32,0.0,1.0
741,1163,0.0,1.0
245,486,1.0,1.0
776,1160,1.0,1.0
878,185,1.0,1.0
1178,995,1.0,1.0
411,582,1.0,1.0
741,439,1.0,1.0
206,364,1.0,1.0
571,925,1.0,1.0
65,603,1.0,1.0
710,383,1.0,1.0
998,628,1.0,1.0
792,1181,0.0,1.0
272,307,1.0,1.0
1250,884,1.0,1.0
44,95,1.0,1.0
413,242,1.0,1.0
1113,26,1.0,1.0
62,226,1.0,1.0
371,686,0.0,1.0
411,303,1.0,1.0
57,62,1.0,1.0
215,454,1.0,1.0
63,588,1.0,1.0
925,583,1.0,1.0
935,305,1.0,1.0
648,1015,0.0,1.0
76,171,0.0,1.0
715,713,1.0,1.0
614,741,1.0,1.0
708,181,1.0,1.0
880,1248,1.0,1.0
43,203,1.0,1.0
62,850,1.0,1.0
149,991,1.0,1.0
397,736,1.0,1.0
317,318,1.0,1.0
355,668,1.0,1.0
208,429,1.0,1.0
718,1088,1.0,1.0
1029,910,1.0,1.0
786,364,1.0,1.0
295,557,1.0,1.0
33,34,1.0,1.0
987,993,1.0,1.0
411,935,1.0,1.0
750,1129,0.0,1.0
761,1146,1.0,1.0
1162,304,1.0,1.0
802,801,1.0,1.0
420,88,1.0,1.0
514,323,1.0,1.0
315,595,1.0,1.0
1115,1190,0.0,1.0
880,881,1.0,1.0
841,1209,1.0,1.0
612,971,0.0,1.0
351,236,1.0,1.0
90,205,1.0,1.0
318,603,1.0,1.0
114,259,1.0,1.0
152,26,1.0,1.0
1213,484,0.0,1.0
71,764,0.0,1.0
303,139,1.0,1.0
924,284,1.0,1.0
1101,443,0.0,1.0
245,487,0.0,1.0
589,933,1.0,1.0
235,476,0.0,1.0
678,1040,0.0,1.0
163,359,1.0,1.0
44,97,1.0,1.0
46,98,0.0,1.0
941,305,0.0,1.0
267,261,1.0,1.0
239,222,1.0,1.0
303,574,1.0,1.0
545,474,0.0,1.0
