edge_index0,edge_index1,pred,gr
527,854,1.0,1.0
114,233,1.0,1.0
588,936,1.0,1.0
391,672,1.0,1.0
193,376,0.0,1.0
64,535,1.0,1.0
818,911,0.0,1.0
532,203,0.0,1.0
151,522,0.0,1.0
160,324,1.0,1.0
149,542,1.0,1.0
52,196,1.0,1.0
183,359,0.0,1.0
249,4,1.0,1.0
573,920,1.0,1.0
916,565,1.0,1.0
321,163,1.0,1.0
111,225,1.0,1.0
106,42,1.0,1.0
850,521,1.0,1.0
613,966,0.0,1.0
512,813,1.0,1.0
364,629,1.0,1.0
623,981,1.0,1.0
526,527,1.0,1.0
286,445,0.0,1.0
161,917,0.0,1.0
52,647,1.0,1.0
144,297,1.0,1.0
150,73,1.0,1.0
106,211,0.0,1.0
61,34,1.0,1.0
281,496,0.0,1.0
273,135,1.0,1.0
408,700,1.0,1.0
323,568,1.0,1.0
558,899,0.0,1.0
401,109,1.0,1.0
194,377,0.0,1.0
444,744,0.0,1.0
317,347,1.0,1.0
628,137,1.0,1.0
84,173,1.0,1.0
721,483,1.0,1.0
409,366,0.0,1.0
630,432,1.0,1.0
17,45,1.0,1.0
657,658,0.0,1.0
347,318,1.0,1.0
953,688,1.0,1.0
92,180,1.0,1.0
283,314,1.0,1.0
596,85,1.0,1.0
655,52,1.0,1.0
432,411,1.0,1.0
227,418,0.0,1.0
510,284,1.0,1.0
569,442,1.0,1.0
454,759,1.0,1.0
517,489,1.0,1.0
917,323,1.0,1.0
150,307,0.0,1.0
961,702,0.0,1.0
954,688,1.0,1.0
493,537,1.0,1.0
228,419,0.0,1.0
346,99,1.0,1.0
262,760,1.0,1.0
415,714,1.0,1.0
416,145,1.0,1.0
549,543,1.0,1.0
453,66,1.0,1.0
177,87,1.0,1.0
42,80,1.0,1.0
430,74,0.0,1.0
34,146,1.0,1.0
713,293,0.0,1.0
28,66,1.0,1.0
185,364,1.0,1.0
136,269,1.0,1.0
760,132,1.0,1.0
806,488,1.0,1.0
872,406,0.0,1.0
453,758,0.0,1.0
506,829,1.0,1.0
34,24,1.0,1.0
160,323,1.0,1.0
100,375,1.0,1.0
143,292,1.0,1.0
228,406,1.0,1.0
950,688,1.0,1.0
670,158,1.0,1.0
293,244,0.0,1.0
604,650,1.0,1.0
208,398,1.0,1.0
110,223,1.0,1.0
338,591,1.0,1.0
79,160,1.0,1.0
564,158,1.0,1.0
288,511,1.0,1.0
377,374,0.0,1.0
309,547,1.0,1.0
917,322,1.0,1.0
234,304,1.0,1.0
