edge_index0,edge_index1,pred,gr
1243,751,1.0,1.0
110,258,0.0,1.0
590,603,1.0,1.0
988,768,1.0,1.0
398,732,0.0,1.0
94,464,1.0,1.0
504,243,1.0,1.0
94,221,1.0,1.0
476,834,1.0,1.0
594,592,1.0,1.0
337,639,1.0,1.0
1231,815,1.0,1.0
274,124,0.0,1.0
346,655,0.0,1.0
183,404,0.0,1.0
131,115,1.0,1.0
348,445,1.0,1.0
235,852,0.0,1.0
358,864,1.0,1.0
354,164,1.0,1.0
74,382,1.0,1.0
67,423,1.0,1.0
187,366,1.0,1.0
81,182,1.0,1.0
768,67,1.0,1.0
252,514,1.0,1.0
923,1339,0.0,1.0
799,1148,1.0,1.0
314,67,1.0,1.0
698,314,1.0,1.0
500,882,1.0,1.0
639,637,1.0,1.0
986,67,1.0,1.0
1022,109,1.0,1.0
153,344,0.0,1.0
1153,405,1.0,1.0
486,850,0.0,1.0
826,1245,0.0,1.0
700,67,1.0,1.0
1139,109,1.0,1.0
34,80,0.0,1.0
459,464,0.0,1.0
327,423,1.0,1.0
561,937,0.0,1.0
1126,1278,0.0,1.0
1367,1371,1.0,1.0
689,1310,1.0,1.0
215,26,1.0,1.0
173,384,1.0,1.0
529,113,0.0,1.0
939,235,0.0,1.0
306,311,1.0,1.0
544,920,0.0,1.0
635,157,1.0,1.0
50,112,1.0,1.0
1296,497,0.0,1.0
789,1078,1.0,1.0
1,24,0.0,1.0
376,695,0.0,1.0
780,72,1.0,1.0
360,669,1.0,1.0
557,549,0.0,1.0
55,121,0.0,1.0
342,1034,1.0,1.0
1019,1018,0.0,1.0
553,118,0.0,1.0
1087,696,1.0,1.0
88,367,0.0,1.0
667,1062,1.0,1.0
375,641,1.0,1.0
68,956,1.0,1.0
107,49,0.0,1.0
40,446,1.0,1.0
68,616,1.0,1.0
781,813,1.0,1.0
578,530,0.0,1.0
357,71,1.0,1.0
146,328,1.0,1.0
608,320,1.0,1.0
323,491,1.0,1.0
832,109,1.0,1.0
1359,294,0.0,1.0
887,246,1.0,1.0
235,236,0.0,1.0
109,229,0.0,1.0
260,250,0.0,1.0
125,283,0.0,1.0
119,275,0.0,1.0
1357,561,0.0,1.0
53,118,0.0,1.0
544,124,0.0,1.0
502,885,0.0,1.0
302,258,0.0,1.0
529,908,0.0,1.0
999,623,0.0,1.0
875,1301,0.0,1.0
808,1226,1.0,1.0
109,519,1.0,1.0
320,608,1.0,1.0
109,534,1.0,1.0
980,330,1.0,1.0
754,380,1.0,1.0
145,324,1.0,1.0
556,557,0.0,1.0
495,870,0.0,1.0
1069,494,1.0,1.0
391,715,0.0,1.0
311,587,1.0,1.0
635,109,1.0,1.0
561,936,0.0,1.0
72,161,1.0,1.0
329,145,1.0,1.0
264,263,0.0,1.0
448,806,1.0,1.0
71,353,1.0,1.0
271,117,0.0,1.0
563,944,0.0,1.0
894,311,1.0,1.0
109,887,1.0,1.0
86,201,0.0,1.0
874,872,1.0,1.0
739,1143,0.0,1.0
176,177,0.0,1.0
180,396,0.0,1.0
85,197,0.0,1.0
955,1359,0.0,1.0
581,485,0.0,1.0
314,589,1.0,1.0
616,982,1.0,1.0
1199,294,0.0,1.0
1316,109,1.0,1.0
330,145,1.0,1.0
320,589,1.0,1.0
829,737,1.0,1.0
960,140,0.0,1.0
939,1242,0.0,1.0
44,32,0.0,1.0
493,862,0.0,1.0
927,1344,0.0,1.0
675,1071,0.0,1.0
1088,659,1.0,1.0
682,203,0.0,1.0
845,508,0.0,1.0
110,257,0.0,1.0
1145,404,0.0,1.0
390,179,0.0,1.0
1174,759,0.0,1.0
1141,81,0.0,1.0
778,775,0.0,1.0
96,13,0.0,1.0
109,20,1.0,1.0
1331,1332,0.0,1.0
622,146,1.0,1.0
870,869,0.0,1.0
1135,186,1.0,1.0
311,306,1.0,1.0
1377,1051,1.0,1.0
147,329,1.0,1.0
768,1179,0.0,1.0
1088,284,1.0,1.0
344,652,0.0,1.0
191,192,0.0,1.0
852,235,0.0,1.0
346,1046,0.0,1.0
67,768,1.0,1.0
631,1007,0.0,1.0
922,1336,1.0,1.0
254,518,1.0,1.0
188,417,0.0,1.0
1216,1188,0.0,1.0
473,831,0.0,1.0
18,53,0.0,1.0
955,294,0.0,1.0
173,1132,0.0,1.0
1097,1159,0.0,1.0
794,495,0.0,1.0
91,434,1.0,1.0
1339,925,0.0,1.0
109,640,1.0,1.0
59,129,0.0,1.0
904,106,1.0,1.0
673,1068,1.0,1.0
1,25,1.0,1.0
244,247,1.0,1.0
163,365,1.0,1.0
317,596,1.0,1.0
370,369,0.0,1.0
1134,743,1.0,1.0
993,67,1.0,1.0
1289,868,0.0,1.0
549,924,0.0,1.0
87,203,1.0,1.0
106,907,1.0,1.0
705,872,1.0,1.0
376,1086,1.0,1.0
134,291,0.0,1.0
548,282,0.0,1.0
931,932,0.0,1.0
92,177,0.0,1.0
48,106,1.0,1.0
886,1308,0.0,1.0
380,1374,1.0,1.0
509,888,0.0,1.0
857,375,1.0,1.0
467,823,0.0,1.0
813,781,1.0,1.0
455,812,1.0,1.0
537,109,1.0,1.0
871,701,0.0,1.0
429,780,1.0,1.0
1364,946,1.0,1.0
373,687,1.0,1.0
863,1009,0.0,1.0
0,21,0.0,1.0
889,251,0.0,1.0
619,235,0.0,1.0
457,816,1.0,1.0
422,195,1.0,1.0
669,360,1.0,1.0
633,68,0.0,1.0
260,227,0.0,1.0
997,781,1.0,1.0
423,67,1.0,1.0
726,1125,0.0,1.0
874,154,1.0,1.0
104,1088,1.0,1.0
67,660,1.0,1.0
461,462,1.0,1.0
1045,154,1.0,1.0
817,459,0.0,1.0
179,393,0.0,1.0
1368,958,0.0,1.0
523,530,1.0,1.0
1363,1359,0.0,1.0
220,44,1.0,1.0
1366,1368,0.0,1.0
532,898,0.0,1.0
1160,173,1.0,1.0
864,358,1.0,1.0
67,1003,1.0,1.0
1243,1159,1.0,1.0
277,547,0.0,1.0
9,10,0.0,1.0
1123,467,0.0,1.0
1081,1083,1.0,1.0
803,816,1.0,1.0
823,1242,0.0,1.0
363,184,1.0,1.0
477,824,1.0,1.0
911,912,1.0,1.0
938,939,0.0,1.0
109,255,1.0,1.0
1086,1087,1.0,1.0
146,320,1.0,1.0
754,1299,1.0,1.0
491,423,1.0,1.0
160,214,1.0,1.0
1234,395,0.0,0.0
346,740,0.0,0.0
526,189,1.0,0.0
1279,879,0.0,0.0
402,813,1.0,0.0
1319,1381,1.0,0.0
1261,296,0.0,0.0
507,951,1.0,0.0
719,1286,0.0,0.0
1131,286,0.0,0.0
1286,133,1.0,0.0
899,498,1.0,0.0
8,362,1.0,0.0
113,1036,0.0,0.0
434,1108,0.0,0.0
828,934,0.0,0.0
1334,117,0.0,0.0
1223,188,1.0,0.0
1199,1243,0.0,0.0
776,150,0.0,0.0
1213,373,1.0,0.0
996,1005,1.0,0.0
720,736,0.0,0.0
799,604,1.0,0.0
1171,1328,1.0,0.0
195,622,1.0,0.0
834,513,0.0,0.0
1032,90,1.0,0.0
646,1328,1.0,0.0
1362,314,0.0,0.0
481,960,0.0,0.0
288,271,0.0,0.0
989,373,1.0,0.0
33,1017,1.0,0.0
1181,895,1.0,0.0
440,351,1.0,0.0
185,1200,0.0,0.0
1308,128,0.0,0.0
629,617,0.0,0.0
1162,418,0.0,0.0
607,1083,1.0,0.0
170,899,1.0,0.0
738,1276,0.0,0.0
536,906,1.0,0.0
1196,538,0.0,0.0
431,338,0.0,0.0
1110,506,0.0,0.0
148,490,0.0,0.0
300,986,1.0,0.0
236,715,0.0,0.0
560,445,0.0,0.0
295,1368,0.0,0.0
1371,504,1.0,0.0
1339,795,0.0,0.0
650,295,0.0,0.0
994,615,1.0,0.0
208,321,1.0,0.0
213,788,0.0,0.0
308,584,1.0,0.0
496,1336,1.0,0.0
783,1118,0.0,0.0
959,328,1.0,0.0
489,888,0.0,0.0
126,1193,0.0,0.0
310,682,0.0,0.0
941,819,0.0,0.0
631,577,0.0,0.0
924,573,0.0,0.0
757,866,1.0,0.0
286,536,0.0,0.0
609,864,1.0,0.0
65,484,0.0,0.0
168,224,1.0,0.0
356,762,0.0,0.0
210,391,0.0,0.0
545,159,1.0,0.0
866,568,1.0,0.0
471,203,1.0,0.0
726,82,1.0,0.0
1207,218,0.0,0.0
310,957,0.0,0.0
548,1098,0.0,0.0
1237,1212,0.0,0.0
1060,302,1.0,0.0
971,111,1.0,0.0
794,208,1.0,0.0
1120,861,0.0,0.0
558,1083,0.0,0.0
842,386,0.0,0.0
1095,1186,0.0,0.0
1097,440,0.0,0.0
1199,431,0.0,0.0
568,276,0.0,0.0
124,1219,0.0,0.0
1025,148,0.0,0.0
509,1094,0.0,0.0
1161,871,0.0,0.0
94,1335,0.0,0.0
485,1198,0.0,0.0
600,214,1.0,0.0
334,378,0.0,0.0
244,1384,1.0,0.0
1146,1072,0.0,0.0
482,433,0.0,0.0
330,403,1.0,0.0
1135,119,0.0,0.0
863,292,0.0,0.0
88,768,1.0,0.0
911,1252,1.0,0.0
273,819,0.0,0.0
55,1332,0.0,0.0
599,215,1.0,0.0
440,701,1.0,0.0
488,265,0.0,0.0
618,246,1.0,0.0
844,695,0.0,0.0
1308,616,0.0,0.0
594,784,1.0,0.0
1090,319,1.0,0.0
41,895,0.0,0.0
964,759,1.0,0.0
889,263,0.0,0.0
478,399,0.0,0.0
436,1105,0.0,0.0
1167,1039,0.0,0.0
216,493,0.0,0.0
534,1088,1.0,0.0
1211,1279,0.0,0.0
934,893,0.0,0.0
739,357,1.0,0.0
1142,957,0.0,0.0
354,390,0.0,0.0
1114,602,1.0,0.0
1349,625,0.0,0.0
1331,1130,0.0,0.0
753,1128,0.0,0.0
656,333,0.0,0.0
3,8,0.0,0.0
1207,1246,0.0,0.0
1098,640,0.0,0.0
1358,379,0.0,0.0
331,1017,1.0,0.0
782,491,0.0,0.0
