edge_index0,edge_index1,pred,gr
1093,584,1.0,1.0
850,457,1.0,1.0
678,1068,1.0,1.0
194,414,1.0,1.0
820,821,1.0,1.0
252,251,1.0,1.0
730,300,1.0,1.0
291,619,1.0,1.0
106,1264,1.0,1.0
709,176,1.0,1.0
76,11,0.0,1.0
897,1308,1.0,1.0
686,1083,1.0,1.0
645,38,1.0,1.0
641,1341,1.0,1.0
133,288,1.0,1.0
608,997,1.0,1.0
759,631,1.0,1.0
65,1241,0.0,1.0
1212,782,1.0,1.0
1134,383,1.0,1.0
506,872,1.0,1.0
569,943,1.0,1.0
608,999,1.0,1.0
517,948,1.0,1.0
735,963,1.0,1.0
372,707,1.0,1.0
835,287,1.0,1.0
271,550,1.0,1.0
748,198,1.0,1.0
204,98,1.0,1.0
901,536,1.0,1.0
170,83,1.0,1.0
795,654,1.0,1.0
391,737,1.0,1.0
124,460,1.0,1.0
27,68,1.0,1.0
491,494,1.0,1.0
244,46,1.0,1.0
1337,555,1.0,1.0
715,1113,1.0,1.0
1140,1139,1.0,1.0
63,595,1.0,1.0
513,468,1.0,1.0
491,106,1.0,1.0
410,648,1.0,1.0
499,846,1.0,1.0
35,32,1.0,1.0
719,658,1.0,1.0
485,860,1.0,1.0
1309,177,1.0,1.0
389,137,1.0,1.0
719,343,1.0,1.0
203,432,1.0,1.0
65,313,1.0,1.0
1011,294,1.0,1.0
693,362,1.0,1.0
1200,1197,1.0,1.0
1329,1009,1.0,1.0
272,983,1.0,1.0
1340,932,1.0,1.0
44,211,1.0,1.0
391,868,1.0,1.0
1119,26,1.0,1.0
101,212,1.0,1.0
108,244,1.0,1.0
1285,1242,1.0,1.0
389,452,1.0,1.0
617,777,1.0,1.0
1180,1179,1.0,1.0
753,1175,1.0,1.0
57,101,1.0,1.0
44,97,0.0,1.0
781,428,1.0,1.0
731,1148,0.0,1.0
586,295,1.0,1.0
1150,994,1.0,1.0
512,513,1.0,1.0
76,351,1.0,1.0
697,696,1.0,1.0
928,1337,1.0,1.0
101,866,1.0,1.0
374,707,1.0,1.0
1047,1014,1.0,1.0
819,740,1.0,1.0
339,654,1.0,1.0
271,196,1.0,1.0
701,1102,1.0,1.0
1042,861,1.0,1.0
760,432,1.0,1.0
422,777,1.0,1.0
33,34,1.0,1.0
389,586,1.0,1.0
725,780,1.0,1.0
298,593,1.0,1.0
922,920,1.0,1.0
191,188,1.0,1.0
902,617,1.0,1.0
769,1197,1.0,1.0
674,675,1.0,1.0
1121,1228,1.0,1.0
928,929,1.0,1.0
633,490,0.0,1.0
307,380,1.0,1.0
92,194,1.0,1.0
454,819,1.0,1.0
1014,313,1.0,1.0
117,258,1.0,1.0
1139,1140,1.0,1.0
86,26,1.0,1.0
853,500,1.0,1.0
149,747,1.0,1.0
452,600,1.0,1.0
142,306,1.0,1.0
1057,438,1.0,1.0
691,1086,1.0,1.0
485,577,1.0,1.0
310,618,1.0,1.0
236,237,1.0,1.0
779,1208,1.0,1.0
649,70,1.0,1.0
44,95,1.0,1.0
46,99,1.0,1.0
480,146,1.0,1.0
452,315,1.0,1.0
261,533,1.0,1.0
889,888,1.0,1.0
294,586,1.0,1.0
70,153,1.0,1.0
298,595,1.0,1.0
258,513,1.0,1.0
861,1270,1.0,1.0
239,108,1.0,1.0
1248,836,1.0,1.0
550,90,1.0,1.0
543,909,1.0,1.0
346,176,1.0,1.0
796,804,1.0,1.0
290,289,1.0,1.0
356,679,1.0,1.0
272,268,1.0,1.0
1002,1326,1.0,1.0
343,611,1.0,1.0
529,507,1.0,1.0
101,560,1.0,1.0
1052,1222,1.0,1.0
96,214,1.0,1.0
118,251,1.0,1.0
12,9,1.0,1.0
307,102,1.0,1.0
529,528,1.0,1.0
452,389,1.0,1.0
253,528,1.0,1.0
439,1226,1.0,1.0
533,119,1.0,1.0
1065,352,1.0,1.0
1276,864,1.0,1.0
1086,884,1.0,1.0
375,715,1.0,1.0
702,1103,1.0,1.0
200,422,1.0,1.0
101,831,1.0,1.0
73,155,1.0,1.0
556,933,1.0,1.0
775,776,1.0,1.0
387,84,1.0,1.0
904,176,1.0,1.0
536,537,1.0,1.0
892,864,1.0,1.0
1235,200,1.0,1.0
1032,439,1.0,1.0
63,586,1.0,1.0
464,466,1.0,1.0
269,1142,1.0,1.0
747,38,1.0,1.0
309,615,1.0,1.0
603,497,1.0,1.0
354,674,1.0,1.0
777,778,1.0,1.0
495,106,1.0,1.0
693,1091,1.0,1.0
338,4,1.0,1.0
1333,925,1.0,1.0
317,200,1.0,1.0
654,795,1.0,1.0
74,655,1.0,1.0
528,529,1.0,1.0
749,7,1.0,1.0
1239,222,1.0,1.0
108,242,1.0,1.0
1074,356,1.0,1.0
944,987,1.0,1.0
480,108,1.0,1.0
415,714,1.0,1.0
428,426,1.0,1.0
203,431,1.0,1.0
675,672,1.0,1.0
1067,1068,1.0,1.0
200,1205,1.0,1.0
181,146,1.0,1.0
1339,94,1.0,1.0
948,1217,1.0,1.0
857,176,1.0,1.0
1014,623,1.0,1.0
868,869,1.0,1.0
588,968,1.0,1.0
596,293,1.0,1.0
591,584,1.0,1.0
669,1061,1.0,1.0
343,1015,1.0,1.0
374,712,1.0,1.0
1028,26,1.0,1.0
392,323,1.0,1.0
814,1234,1.0,1.0
135,289,1.0,1.0
472,471,1.0,1.0
438,792,1.0,1.0
130,61,1.0,1.0
675,674,1.0,1.0
372,81,1.0,1.0
778,777,1.0,1.0
238,492,1.0,1.0
63,585,1.0,1.0
472,831,1.0,1.0
434,575,1.0,1.0
200,921,1.0,1.0
617,871,1.0,1.0
90,271,1.0,1.0
873,1019,0.0,1.0
1219,787,1.0,1.0
846,498,1.0,1.0
401,189,1.0,1.0
173,372,1.0,1.0
389,870,0.0,1.0
63,972,1.0,1.0
531,256,1.0,1.0
250,508,1.0,1.0
466,464,1.0,1.0
1082,1006,0.0,0.0
1304,53,0.0,0.0
963,1239,0.0,0.0
978,577,1.0,0.0
331,336,0.0,0.0
856,1055,1.0,0.0
839,881,1.0,0.0
612,716,0.0,0.0
321,905,0.0,0.0
569,1160,0.0,0.0
1109,389,0.0,0.0
409,107,0.0,0.0
1151,994,1.0,0.0
57,443,0.0,0.0
219,71,0.0,0.0
52,1126,0.0,0.0
572,786,1.0,0.0
1121,1055,0.0,0.0
966,843,0.0,0.0
814,1067,1.0,0.0
1,684,1.0,0.0
205,99,0.0,0.0
1124,1011,1.0,0.0
1218,872,0.0,0.0
771,390,1.0,0.0
291,1124,1.0,0.0
1243,532,1.0,0.0
490,286,0.0,0.0
1201,1124,1.0,0.0
450,256,0.0,0.0
436,977,0.0,0.0
1012,1126,1.0,0.0
681,163,1.0,0.0
1079,774,0.0,0.0
68,37,1.0,0.0
154,1033,1.0,0.0
322,483,0.0,0.0
52,1171,1.0,0.0
484,441,0.0,0.0
235,812,0.0,0.0
501,719,0.0,0.0
553,244,1.0,0.0
406,726,0.0,0.0
269,1225,0.0,0.0
73,756,0.0,0.0
817,351,0.0,0.0
421,1197,0.0,0.0
1204,975,0.0,0.0
713,733,1.0,0.0
510,1310,0.0,0.0
165,707,0.0,0.0
241,806,0.0,0.0
282,305,0.0,0.0
830,1027,0.0,0.0
786,276,1.0,0.0
640,39,0.0,0.0
386,950,1.0,0.0
833,307,1.0,0.0
757,149,0.0,0.0
312,346,1.0,0.0
726,11,1.0,0.0
252,57,1.0,0.0
537,0,1.0,0.0
671,1021,0.0,0.0
445,17,1.0,0.0
688,838,1.0,0.0
394,247,0.0,0.0
215,438,1.0,0.0
197,249,0.0,0.0
698,552,0.0,0.0
26,248,0.0,0.0
178,715,1.0,0.0
466,251,0.0,0.0
735,864,0.0,0.0
920,578,0.0,0.0
131,1062,0.0,0.0
644,1212,0.0,0.0
100,797,0.0,0.0
72,256,0.0,0.0
679,26,0.0,0.0
161,1019,0.0,0.0
562,975,0.0,0.0
703,1151,0.0,0.0
1180,90,0.0,0.0
1080,229,0.0,0.0
1153,786,0.0,0.0
923,833,0.0,0.0
