edge_index0,edge_index1,pred,gr
366,643,1.0,1.0
202,373,1.0,1.0
63,435,1.0,1.0
239,409,1.0,1.0
208,378,1.0,1.0
152,300,1.0,1.0
52,960,1.0,1.0
190,356,1.0,1.0
170,327,1.0,1.0
955,781,1.0,1.0
109,220,1.0,1.0
107,42,1.0,1.0
621,970,1.0,1.0
817,240,1.0,1.0
360,633,1.0,1.0
627,234,1.0,1.0
276,920,1.0,1.0
166,919,1.0,1.0
52,655,1.0,1.0
430,428,1.0,1.0
143,249,1.0,1.0
723,535,1.0,1.0
52,203,0.0,1.0
154,74,1.0,1.0
61,34,1.0,1.0
888,837,1.0,1.0
263,134,1.0,1.0
322,915,1.0,1.0
562,910,1.0,1.0
743,318,1.0,1.0
398,692,0.0,1.0
839,169,1.0,1.0
632,136,1.0,1.0
159,637,1.0,1.0
52,100,0.0,1.0
328,583,1.0,1.0
429,431,1.0,1.0
634,436,1.0,1.0
275,559,1.0,1.0
17,45,1.0,1.0
169,341,1.0,1.0
90,188,1.0,1.0
244,426,1.0,1.0
371,383,1.0,1.0
273,318,1.0,1.0
608,84,1.0,1.0
959,52,1.0,1.0
436,568,1.0,1.0
541,892,1.0,1.0
489,274,1.0,1.0
407,703,1.0,1.0
570,413,0.0,1.0
444,761,1.0,1.0
498,310,1.0,1.0
919,322,1.0,1.0
154,301,1.0,1.0
965,850,0.0,1.0
415,155,1.0,1.0
123,245,1.0,1.0
533,532,1.0,1.0
345,179,1.0,1.0
131,256,1.0,1.0
148,295,1.0,1.0
147,144,1.0,1.0
713,627,1.0,1.0
255,65,1.0,1.0
185,86,1.0,1.0
42,79,1.0,1.0
34,145,1.0,1.0
107,215,1.0,1.0
28,65,1.0,1.0
193,360,1.0,1.0
135,259,1.0,1.0
309,542,1.0,1.0
256,130,1.0,1.0
890,830,1.0,1.0
255,268,1.0,1.0
34,24,1.0,1.0
730,322,1.0,1.0
101,205,1.0,1.0
592,942,1.0,1.0
533,292,1.0,1.0
558,244,1.0,1.0
343,546,1.0,1.0
427,178,1.0,1.0
652,296,1.0,1.0
833,310,1.0,1.0
108,218,1.0,1.0
336,596,1.0,1.0
78,730,1.0,1.0
530,149,1.0,1.0
404,705,1.0,1.0
278,490,1.0,1.0
313,551,1.0,1.0
529,870,1.0,1.0
919,566,1.0,1.0
290,110,1.0,1.0
540,888,1.0,1.0
402,194,1.0,1.0
191,91,1.0,1.0
565,52,1.0,1.0
8,34,0.0,1.0
836,498,1.0,1.0
513,849,1.0,1.0
400,693,1.0,1.0
181,97,1.0,1.0
220,148,1.0,1.0
382,383,0.0,1.0
152,58,1.0,1.0
352,622,1.0,1.0
383,85,1.0,1.0
238,124,1.0,1.0
540,245,1.0,1.0
377,372,1.0,1.0
283,305,1.0,1.0
699,501,1.0,1.0
781,456,1.0,1.0
315,77,1.0,1.0
52,212,1.0,1.0
567,741,1.0,1.0
111,34,1.0,1.0
781,508,1.0,1.0
239,416,1.0,1.0
126,251,1.0,1.0
169,900,1.0,1.0
999,1001,1.0,1.0
659,553,1.0,1.0
423,738,1.0,1.0
195,360,1.0,1.0
