edge_index0,edge_index1,pred,gr
20,0,1.0,1.0
21,0,1.0,1.0
22,0,1.0,1.0
23,0,1.0,1.0
24,1,1.0,1.0
25,1,1.0,1.0
26,2,1.0,1.0
27,2,1.0,1.0
28,3,1.0,1.0
29,4,1.0,1.0
30,4,1.0,1.0
31,4,1.0,1.0
32,6,1.0,1.0
33,6,1.0,1.0
34,7,0.0,1.0
35,7,0.0,1.0
36,8,1.0,1.0
37,8,1.0,1.0
38,8,1.0,1.0
39,9,1.0,1.0
40,9,1.0,1.0
12,9,1.0,1.0
9,10,1.0,1.0
39,10,1.0,1.0
41,11,1.0,1.0
9,12,1.0,1.0
10,12,1.0,1.0
42,13,1.0,1.0
43,13,1.0,1.0
44,14,1.0,1.0
45,14,0.0,1.0
46,15,1.0,1.0
47,15,1.0,1.0
48,16,1.0,1.0
49,16,1.0,1.0
22,17,1.0,1.0
21,17,1.0,1.0
20,17,1.0,1.0
23,17,1.0,1.0
50,18,1.0,1.0
51,18,1.0,1.0
52,18,1.0,1.0
53,19,1.0,1.0
54,19,1.0,1.0
55,19,1.0,1.0
0,20,1.0,1.0
17,20,1.0,1.0
56,21,1.0,1.0
17,21,1.0,1.0
57,21,1.0,1.0
58,21,1.0,1.0
59,21,1.0,1.0
60,21,1.0,1.0
61,22,1.0,1.0
17,22,1.0,1.0
62,23,1.0,1.0
1,24,1.0,1.0
63,24,1.0,1.0
64,24,1.0,1.0
65,24,1.0,1.0
66,24,1.0,1.0
1,25,1.0,1.0
67,26,1.0,1.0
67,26,1.0,1.0
2,26,1.0,1.0
68,26,1.0,1.0
70,27,1.0,1.0
74,27,1.0,1.0
69,27,1.0,1.0
196,27,1.0,1.0
71,27,1.0,1.0
68,27,1.0,1.0
77,27,1.0,1.0
72,27,1.0,1.0
73,27,1.0,1.0
75,27,1.0,1.0
76,27,1.0,1.0
2,27,1.0,1.0
190,27,1.0,1.0
74,27,1.0,1.0
3,28,1.0,1.0
4,29,1.0,1.0
78,29,1.0,1.0
79,30,1.0,1.0
80,31,1.0,1.0
4,31,1.0,1.0
81,32,1.0,1.0
82,32,1.0,1.0
82,32,1.0,1.0
33,32,1.0,1.0
82,33,1.0,1.0
6,33,1.0,1.0
82,33,1.0,1.0
32,33,1.0,1.0
7,34,0.0,1.0
83,34,1.0,1.0
84,34,1.0,1.0
85,35,1.0,1.0
86,35,1.0,1.0
7,35,0.0,1.0
87,35,0.0,1.0
8,36,1.0,1.0
88,36,1.0,1.0
92,36,1.0,1.0
180,36,1.0,1.0
238,36,1.0,1.0
231,36,1.0,1.0
878,36,1.0,1.0
228,36,1.0,1.0
89,36,0.0,1.0
90,36,1.0,1.0
91,36,1.0,1.0
27,36,1.0,1.0
93,36,1.0,1.0
527,36,1.0,1.0
94,36,1.0,1.0
95,36,1.0,1.0
96,37,1.0,1.0
8,37,1.0,1.0
9,39,1.0,1.0
10,39,1.0,1.0
39,40,1.0,1.0
9,40,1.0,1.0
97,41,1.0,1.0
98,41,1.0,1.0
99,41,1.0,1.0
11,41,1.0,1.0
264,41,1.0,1.0
100,41,1.0,1.0
101,41,1.0,1.0
102,41,1.0,1.0
103,41,1.0,1.0
104,41,1.0,1.0
105,41,1.0,1.0
43,42,1.0,1.0
13,42,1.0,1.0
42,43,1.0,1.0
13,43,1.0,1.0
106,44,1.0,1.0
