edge_index0,edge_index1,pred,gr
770,761,1.0,1.0
813,490,1.0,1.0
566,1083,0.0,1.0
318,718,1.0,1.0
792,375,1.0,1.0
1076,600,1.0,1.0
61,168,1.0,1.0
712,1310,1.0,1.0
350,349,1.0,1.0
219,526,1.0,1.0
411,855,1.0,1.0
405,154,1.0,1.0
510,1012,1.0,1.0
517,214,1.0,1.0
605,1139,1.0,1.0
793,798,1.0,1.0
327,44,1.0,1.0
1144,89,1.0,1.0
318,717,1.0,1.0
66,1276,1.0,1.0
624,1168,1.0,1.0
1364,1313,1.0,1.0
711,117,1.0,1.0
276,273,1.0,1.0
70,207,1.0,1.0
509,208,1.0,1.0
1345,778,1.0,1.0
357,136,0.0,1.0
387,578,1.0,1.0
447,467,1.0,1.0
1177,891,1.0,1.0
626,1173,1.0,1.0
140,369,1.0,1.0
1278,938,1.0,1.0
885,774,1.0,1.0
913,479,0.0,1.0
78,37,1.0,1.0
115,300,1.0,1.0
1110,247,1.0,1.0
859,414,1.0,1.0
470,906,1.0,1.0
12,9,1.0,1.0
515,1021,1.0,1.0
1248,1415,1.0,1.0
958,962,1.0,1.0
1225,831,1.0,1.0
271,537,1.0,1.0
1397,789,1.0,1.0
495,124,1.0,1.0
455,922,1.0,1.0
700,1296,1.0,1.0
552,553,1.0,1.0
769,133,1.0,1.0
1361,773,1.0,1.0
490,995,1.0,1.0
787,1379,1.0,1.0
243,583,1.0,1.0
111,13,1.0,1.0
389,157,1.0,1.0
173,429,1.0,1.0
1023,501,1.0,1.0
1138,245,1.0,1.0
10,12,1.0,1.0
706,316,1.0,1.0
868,1363,1.0,1.0
283,653,1.0,1.0
376,808,1.0,1.0
97,218,1.0,1.0
77,26,1.0,1.0
273,516,1.0,1.0
414,764,1.0,1.0
1280,856,1.0,1.0
446,65,1.0,1.0
195,172,1.0,1.0
528,1035,1.0,1.0
65,1065,1.0,1.0
695,1283,0.0,1.0
728,730,1.0,1.0
179,440,1.0,1.0
479,913,0.0,1.0
343,436,1.0,1.0
138,367,1.0,1.0
155,402,1.0,1.0
63,161,1.0,1.0
698,703,1.0,1.0
705,591,1.0,1.0
1099,387,1.0,1.0
466,310,1.0,1.0
533,1044,1.0,1.0
1211,637,1.0,1.0
1109,250,1.0,1.0
1137,789,1.0,1.0
487,691,1.0,1.0
619,1159,1.0,1.0
560,250,1.0,1.0
727,1327,0.0,1.0
63,773,1.0,1.0
1219,1002,1.0,1.0
226,535,1.0,1.0
407,641,1.0,1.0
1332,1333,1.0,1.0
314,701,1.0,1.0
850,461,1.0,1.0
32,31,1.0,1.0
1414,1353,0.0,1.0
964,475,1.0,1.0
793,367,1.0,1.0
103,110,1.0,1.0
1384,1380,1.0,1.0
938,1278,1.0,1.0
63,1367,1.0,1.0
896,387,1.0,1.0
679,677,1.0,1.0
633,513,1.0,1.0
89,251,0.0,1.0
1169,1219,1.0,1.0
65,446,1.0,1.0
769,354,1.0,1.0
414,770,1.0,1.0
79,82,1.0,1.0
133,759,1.0,1.0
480,297,1.0,1.0
520,1029,1.0,1.0
41,108,1.0,1.0
230,241,1.0,1.0
668,1236,1.0,1.0
297,189,1.0,1.0
288,41,1.0,1.0
748,346,1.0,1.0
558,700,1.0,1.0
