edge_index0,edge_index1,pred,gr
331,629,1.0,1.0
1197,446,1.0,1.0
677,357,1.0,1.0
525,428,1.0,1.0
248,247,1.0,1.0
1730,61,1.0,1.0
1277,910,1.0,1.0
1287,556,1.0,1.0
605,977,1.0,1.0
717,1093,1.0,1.0
61,910,1.0,1.0
780,341,1.0,1.0
77,11,1.0,1.0
208,931,1.0,1.0
855,659,1.0,1.0
697,1072,1.0,1.0
207,92,1.0,1.0
1514,1166,1.0,1.0
614,38,1.0,1.0
324,624,1.0,1.0
1066,1431,1.0,1.0
610,1259,0.0,1.0
1355,1641,1.0,1.0
800,798,1.0,1.0
703,437,1.0,1.0
757,760,1.0,1.0
64,1276,1.0,1.0
1520,791,1.0,1.0
1751,1752,1.0,1.0
1639,1348,1.0,1.0
974,400,0.0,1.0
484,843,1.0,1.0
549,1279,1.0,1.0
703,1075,1.0,1.0
1459,1093,1.0,1.0
1215,1142,1.0,1.0
1333,1496,1.0,1.0
807,919,1.0,1.0
743,328,1.0,1.0
721,728,1.0,1.0
556,450,0.0,1.0
1734,1735,1.0,1.0
267,524,1.0,1.0
687,1056,1.0,1.0
755,1240,1.0,1.0
1813,1815,1.0,1.0
206,96,1.0,1.0
1227,862,1.0,1.0
1774,64,0.0,1.0
177,84,1.0,1.0
1050,644,1.0,1.0
408,554,1.0,1.0
1172,1034,1.0,1.0
124,277,1.0,1.0
1459,1733,1.0,1.0
1136,753,1.0,1.0
27,67,1.0,1.0
365,301,1.0,1.0
1201,479,1.0,1.0
1239,1459,1.0,1.0
1257,531,1.0,1.0
729,705,1.0,1.0
1789,1122,1.0,1.0
62,1132,1.0,1.0
1120,1745,1.0,1.0
407,749,1.0,1.0
491,845,1.0,1.0
1165,1512,1.0,1.0
1201,105,1.0,1.0
1525,795,1.0,1.0
1135,1486,1.0,1.0
415,759,1.0,1.0
481,826,1.0,1.0
35,32,1.0,1.0
634,1312,0.0,1.0
895,1522,1.0,1.0
1140,1136,1.0,1.0
1220,184,1.0,1.0
1422,990,1.0,1.0
406,1297,1.0,1.0
634,345,1.0,1.0
1504,1245,1.0,1.0
581,932,1.0,1.0
64,1118,1.0,1.0
948,305,1.0,1.0
143,305,1.0,1.0
1077,1718,1.0,1.0
707,377,1.0,1.0
733,1111,1.0,1.0
994,622,1.0,1.0
1058,1615,1.0,1.0
268,934,0.0,1.0
780,1159,1.0,1.0
689,686,1.0,1.0
44,97,1.0,1.0
408,750,1.0,1.0
1105,26,1.0,1.0
1252,1584,1.0,1.0
61,445,1.0,1.0
1212,1211,1.0,1.0
357,669,1.0,1.0
406,301,1.0,1.0
348,653,1.0,1.0
1764,1763,1.0,1.0
593,786,1.0,1.0
1364,1648,1.0,1.0
358,671,1.0,1.0
1237,1006,1.0,1.0
57,61,1.0,1.0
387,705,1.0,1.0
44,98,1.0,1.0
790,444,1.0,1.0
207,437,0.0,1.0
457,808,1.0,1.0
62,943,1.0,1.0
932,941,1.0,1.0
680,1040,1.0,1.0
924,298,1.0,1.0
1323,1076,1.0,1.0
493,491,1.0,1.0
77,169,1.0,1.0
1120,1436,0.0,1.0
1028,711,1.0,1.0
1341,634,1.0,1.0
706,180,1.0,1.0
883,1257,1.0,1.0
1592,462,1.0,1.0
43,205,1.0,1.0
153,620,1.0,1.0
1361,1645,1.0,1.0
1394,180,1.0,1.0
390,728,0.0,1.0
399,736,1.0,1.0
802,752,1.0,1.0
342,644,1.0,1.0
1076,1665,1.0,1.0
267,526,1.0,1.0
306,596,1.0,1.0
875,1245,1.0,1.0
1784,630,1.0,1.0
746,390,1.0,1.0
208,1169,1.0,1.0
913,1190,1.0,1.0
33,34,1.0,1.0
984,989,1.0,1.0
406,924,1.0,1.0
602,789,1.0,1.0
1224,1557,1.0,1.0
1641,1689,1.0,1.0
1715,1111,1.0,1.0
925,1299,1.0,1.0
1310,572,1.0,1.0
424,89,1.0,1.0
513,795,1.0,1.0
582,946,1.0,1.0
