edge_index0,edge_index1,pred,gr
1067,1428,1.0,1.0
1160,766,1.0,1.0
527,867,1.0,1.0
1528,814,1.0,1.0
422,1533,1.0,1.0
459,776,1.0,1.0
64,571,1.0,1.0
909,1614,1.0,1.0
1218,857,0.0,1.0
1594,1283,1.0,1.0
1533,335,1.0,1.0
491,825,1.0,1.0
210,213,1.0,1.0
243,128,1.0,1.0
72,1500,1.0,1.0
51,617,1.0,1.0
142,1159,1.0,1.0
817,4,1.0,1.0
171,348,1.0,1.0
1347,344,1.0,1.0
1166,857,1.0,1.0
1202,965,1.0,1.0
339,341,1.0,1.0
1133,768,1.0,1.0
108,42,1.0,1.0
1299,1616,1.0,1.0
614,981,1.0,1.0
655,1015,1.0,1.0
554,490,1.0,1.0
382,282,1.0,1.0
1227,764,1.0,1.0
664,1197,1.0,1.0
1066,1067,1.0,1.0
293,548,1.0,1.0
963,601,1.0,1.0
1595,901,1.0,1.0
1082,1307,1.0,1.0
1229,520,1.0,1.0
453,116,1.0,1.0
299,1288,1.0,1.0
1181,1179,1.0,1.0
148,303,1.0,1.0
1200,801,1.0,1.0
984,1342,1.0,1.0
1353,711,1.0,1.0
51,1419,1.0,1.0
151,75,0.0,1.0
61,34,1.0,1.0
1666,1374,1.0,1.0
286,538,1.0,1.0
935,470,1.0,1.0
280,139,1.0,1.0
1231,520,1.0,1.0
1307,1366,1.0,1.0
331,330,1.0,1.0
51,1422,1.0,1.0
349,674,1.0,1.0
597,952,1.0,1.0
1310,324,1.0,1.0
226,111,1.0,1.0
1446,1173,1.0,1.0
992,1677,1.0,1.0
1194,1365,1.0,1.0
482,807,1.0,1.0
786,780,1.0,1.0
366,167,1.0,1.0
669,141,1.0,1.0
83,343,1.0,1.0
153,672,1.0,1.0
346,623,1.0,1.0
694,384,1.0,1.0
1180,1182,1.0,1.0
670,201,1.0,1.0
1425,688,1.0,1.0
17,45,1.0,1.0
1346,1654,1.0,1.0
1081,1019,1.0,1.0
90,187,1.0,1.0
265,1279,1.0,1.0
1127,418,1.0,1.0
290,324,1.0,1.0
141,1254,1.0,1.0
616,51,1.0,1.0
201,440,1.0,1.0
1597,901,1.0,1.0
585,937,1.0,1.0
550,291,1.0,1.0
1524,1670,1.0,1.0
1361,167,1.0,1.0
329,252,0.0,1.0
835,1212,1.0,1.0
573,202,1.0,1.0
709,51,1.0,1.0
601,331,1.0,1.0
1624,567,1.0,1.0
1061,1059,1.0,1.0
674,1046,1.0,1.0
151,311,1.0,1.0
1287,1603,1.0,1.0
880,1258,1.0,1.0
1273,656,1.0,1.0
1500,1317,0.0,1.0
1010,924,1.0,1.0
1139,857,1.0,1.0
1372,655,1.0,1.0
1226,1130,1.0,1.0
536,152,1.0,1.0
131,811,1.0,1.0
1580,613,1.0,1.0
309,582,1.0,1.0
338,178,1.0,1.0
684,1059,1.0,1.0
268,503,1.0,1.0
674,1054,1.0,1.0
235,448,1.0,1.0
113,234,1.0,1.0
647,1006,1.0,1.0
588,307,1.0,1.0
1229,1230,1.0,1.0
1210,66,1.0,1.0
184,86,1.0,1.0
1594,1595,1.0,1.0
1374,1081,1.0,1.0
42,79,1.0,1.0
1315,1433,1.0,1.0
770,74,1.0,1.0
1144,464,1.0,1.0
34,250,1.0,1.0
108,221,1.0,1.0
58,114,1.0,1.0
28,66,1.0,1.0
938,1625,1.0,1.0
192,382,1.0,1.0
1374,1664,1.0,1.0
51,1252,1.0,1.0
1652,992,1.0,1.0
140,276,1.0,1.0
316,586,0.0,1.0
503,269,1.0,1.0
1143,781,1.0,1.0
936,483,1.0,1.0
926,438,0.0,1.0
1210,881,1.0,1.0
34,24,1.0,1.0
327,331,1.0,1.0
147,259,1.0,1.0
686,1006,1.0,1.0
309,438,0.0,1.0
728,182,1.0,1.0
1289,299,1.0,1.0
1069,1443,1.0,1.0
114,115,1.0,1.0
1348,99,1.0,1.0
569,1640,1.0,1.0
220,430,1.0,1.0
265,964,1.0,1.0
1240,857,1.0,1.0
1511,202,1.0,1.0
357,208,1.0,1.0
78,327,1.0,1.0
204,207,1.0,1.0
1287,1466,1.0,1.0
641,182,1.0,1.0
1187,1518,1.0,1.0
295,551,1.0,1.0
714,51,1.0,1.0
1459,410,1.0,1.0
974,1268,1.0,1.0
1591,1183,1.0,1.0
320,932,1.0,1.0
1090,1454,1.0,1.0
1405,1575,1.0,1.0
