edge_index0,edge_index1,pred,gr
143,329,1.0,1.0
579,427,1.0,1.0
262,565,1.0,1.0
70,770,1.0,1.0
387,731,0.0,1.0
296,300,0.0,1.0
219,453,0.0,1.0
232,504,1.0,1.0
80,199,1.0,1.0
52,112,1.0,1.0
190,435,1.0,1.0
380,4,0.0,1.0
238,527,0.0,1.0
1014,820,1.0,1.0
499,525,1.0,1.0
163,217,1.0,1.0
133,42,1.0,1.0
855,388,1.0,1.0
572,428,1.0,1.0
1006,372,1.0,1.0
872,874,1.0,1.0
274,589,0.0,1.0
342,675,1.0,1.0
355,147,1.0,1.0
781,779,1.0,1.0
196,398,1.0,1.0
78,82,1.0,1.0
133,310,0.0,1.0
517,949,0.0,1.0
67,34,1.0,1.0
434,834,1.0,1.0
422,187,1.0,1.0
492,920,0.0,1.0
52,952,1.0,1.0
336,146,1.0,1.0
744,663,1.0,1.0
941,233,1.0,1.0
1010,189,1.0,1.0
581,266,1.0,1.0
95,253,1.0,1.0
208,1012,1.0,1.0
528,961,1.0,1.0
812,574,1.0,1.0
780,782,1.0,1.0
1011,656,1.0,1.0
17,45,1.0,1.0
605,606,0.0,1.0
233,494,0.0,1.0
103,260,1.0,1.0
399,771,1.0,1.0
128,297,1.0,1.0
441,488,1.0,1.0
481,895,0.0,1.0
67,160,1.0,1.0
501,96,1.0,1.0
600,52,1.0,1.0
656,319,0.0,1.0
853,442,1.0,1.0
234,374,0.0,1.0
860,475,1.0,1.0
618,52,1.0,1.0
507,492,0.0,1.0
78,197,1.0,1.0
710,820,0.0,1.0
706,207,1.0,1.0
173,401,1.0,1.0
514,631,1.0,1.0
156,368,1.0,1.0
500,251,1.0,1.0
182,786,1.0,1.0
213,215,1.0,1.0
84,202,1.0,1.0
734,1006,1.0,1.0
824,521,0.0,1.0
885,201,1.0,1.0
411,72,1.0,1.0
257,98,0.0,1.0
42,91,0.0,1.0
137,79,0.0,1.0
34,203,1.0,1.0
133,305,0.0,1.0
57,135,1.0,1.0
413,72,1.0,1.0
28,72,1.0,1.0
264,572,1.0,1.0
537,967,0.0,1.0
188,418,0.0,1.0
473,888,0.0,1.0
786,183,1.0,1.0
844,891,1.0,1.0
411,424,1.0,1.0
34,24,1.0,1.0
232,492,1.0,1.0
195,869,1.0,1.0
236,521,1.0,1.0
156,366,1.0,1.0
909,399,1.0,1.0
386,749,1.0,1.0
135,136,1.0,1.0
273,481,1.0,1.0
306,648,0.0,1.0
399,774,1.0,1.0
542,290,1.0,1.0
90,232,1.0,1.0
624,218,1.0,1.0
927,227,1.0,1.0
445,692,1.0,1.0
284,118,0.0,1.0
953,951,0.0,1.0
507,491,1.0,1.0
330,64,1.0,1.0
464,65,1.0,1.0
393,265,1.0,1.0
102,104,1.0,1.0
520,52,1.0,1.0
8,34,1.0,1.0
372,288,0.0,1.0
149,356,1.0,1.0
280,607,0.0,1.0
248,110,1.0,1.0
217,213,1.0,1.0
292,297,0.0,1.0
80,64,1.0,1.0
560,993,1.0,1.0
297,97,1.0,1.0
388,760,0.0,1.0
381,174,1.0,1.0
886,401,1.0,1.0
636,270,1.0,1.0
449,470,1.0,1.0
451,868,0.0,1.0
820,802,1.0,1.0
289,625,0.0,1.0
485,89,1.0,1.0
52,301,1.0,1.0
688,233,1.0,1.0
226,516,1.0,1.0
138,34,1.0,1.0
792,790,1.0,1.0
393,392,0.0,1.0
820,912,0.0,1.0
387,753,1.0,1.0
176,404,1.0,1.0
233,930,1.0,1.0
531,905,1.0,1.0
611,511,1.0,1.0
148,219,1.0,1.0
266,572,1.0,1.0
169,386,1.0,1.0
124,55,0.0,1.0
65,361,1.0,1.0
92,238,1.0,1.0
450,843,1.0,1.0
297,292,0.0,1.0
357,703,1.0,1.0
96,253,1.0,1.0
190,706,1.0,1.0
233,688,1.0,1.0
116,283,1.0,1.0
315,650,1.0,1.0
541,290,1.0,1.0
81,141,1.0,1.0
930,233,1.0,1.0
58,79,0.0,1.0
528,634,1.0,1.0
282,616,1.0,1.0
136,135,1.0,1.0
443,847,1.0,1.0
424,815,1.0,1.0
88,222,0.0,1.0
927,233,1.0,1.0
922,229,1.0,1.0
421,187,1.0,1.0
244,524,0.0,1.0
820,1014,1.0,1.0
139,138,1.0,1.0
185,414,1.0,1.0
326,84,1.0,1.0
668,674,1.0,1.0
998,170,1.0,1.0
836,449,1.0,1.0
527,612,1.0,1.0
631,233,1.0,1.0
575,902,1.0,1.0
